id	length	og
AL7G49470	5857	OG0000042
AL7G52890	815	OG0000042
AL7G53030	1231	OG0000042
AL7G53060	1195	OG0000042
AL7G53090	2048	OG0000042
AL7G53100	1111	OG0000042
AL7G53110	1361	OG0000042
AL8G39760	1113	OG0000042
AL1G46390	1206	OG0000045
AL1G47590	597	OG0000045
AL1G51920	3130	OG0000045
AL1G64730	5106	OG0000045
AL5G18740	400	OG0000045
AL1G66000	920	OG0000046
AL2G13390	1683	OG0000046
AL2G13790	1595	OG0000046
AL2G13820	4258	OG0000046
AL2G13840	1904	OG0000046
AL2G13900	1430	OG0000046
AL2G13990	1996	OG0000046
AL2G14050	2133	OG0000046
AL2G14060	1479	OG0000046
AL2G14070	2042	OG0000046
AL2G14080	1695	OG0000046
AL2G14090	1464	OG0000046
AL2G14100	1745	OG0000046
AL2G14110	1743	OG0000046
AL5G22030	1044	OG0000046
AL5G26170	1595	OG0000046
AL6G35250	1720	OG0000046
AL8G20000	1373	OG0000046
AL3G46650	3382	OG0000047
AL4G21250	5768	OG0000047
AL5G23250	5931	OG0000047
AL5G26330	3392	OG0000047
AL5G26340	3375	OG0000047
AL5G26350	3369	OG0000047
AL5G26360	3338	OG0000047
AL5G26370	3490	OG0000047
AL5G26810	4026	OG0000047
AL5G26820	2247	OG0000047
AL5G26840	1552	OG0000047
AL5G26860	3331	OG0000047
AL5G26870	4410	OG0000047
AL6G32010	4140	OG0000047
AL8G24400	3474	OG0000047
AL285U10010	5788	OG0000049
AL48U10010	3756	OG0000049
AL48U10030	4428	OG0000049
AL48U10040	3695	OG0000049
AL5G25850	3297	OG0000049
AL5G25860	3325	OG0000049
AL5G25870	1899	OG0000049
AL8G26340	2897	OG0000049
AL8G34670	3025	OG0000049
AL8G35110	2931	OG0000049
AL8G35120	2853	OG0000049
AL8G35130	2698	OG0000049
AL8G35140	11486	OG0000049
AL8G35190	1700	OG0000049
AL8G35560	3703	OG0000049
AL8G35570	3268	OG0000049
AL8G35580	3162	OG0000049
AL8G35600	3309	OG0000049
AL8G35620	1054	OG0000049
AL1G66260	6321	OG0000054
AL1G66330	8283	OG0000054
AL1G66350	3071	OG0000054
AL1G66380	448	OG0000054
AL2G11205	3527	OG0000054
AL2G11220	3501	OG0000054
AL2G11240	3823	OG0000054
AL2G11260	4038	OG0000054
AL2G11380	3838	OG0000054
AL2G11390	3534	OG0000054
AL3G49580	3872	OG0000054
AL1G47430	1581	OG0000060
AL1G51180	2244	OG0000060
AL1G60090	3675	OG0000060
AL3G30210	1572	OG0000060
AL3G40680	3245	OG0000060
AL3G42580	1770	OG0000060
AL3G43290	5452	OG0000060
AL4G10770	1651	OG0000060
AL4G17640	3286	OG0000060
AL4G18390	1112	OG0000060
AL5G16910	1055	OG0000060
AL5G16920	2185	OG0000060
AL6G41380	6698	OG0000060
AL6G43460	4135	OG0000060
AL7G43910	5541	OG0000060
AL8G21960	4019	OG0000060
AL2G19370	4545	OG0000065
AL3G20910	4285	OG0000065
AL3G46070	12995	OG0000065
AL6G29600	3052	OG0000065
AL8G11910	5647	OG0000065
AL8G11920	4651	OG0000065
AL8G11930	5987	OG0000065
AL8G11940	3722	OG0000065
AL8G11950	1845	OG0000065
AL8G11960	4903	OG0000065
AL8G12190	6005	OG0000065
	2540	OG0000074
AL7G37990	554	OG0000075
AL1G55940	4094	OG0000077
AL1G59850	4902	OG0000077
AL1G59870	4575	OG0000077
AL3G41990	4106	OG0000077
AL5G25230	4451	OG0000077
AL5G25240	6838	OG0000077
AL5G25250	4727	OG0000077
AL5G35340	1490	OG0000083
AL8G20100	796	OG0000083
AL8G23770	1552	OG0000083
AL281U10020	1564	OG0000086
AL5G19750	2954	OG0000086
AL8G28624	730	OG0000086
AL1G63190	6790	OG0000087
AL1G66070	3824	OG0000087
AL1G66310	1790	OG0000087
AL2G20190	1130	OG0000087
AL3G49730	249	OG0000087
AL5G18020	2026	OG0000087
AL5G18610	1953	OG0000087
AL6G37670	2476	OG0000087
AL1G55520	3238	OG0000090
AL1G55540	759	OG0000090
AL1G55550	2795	OG0000090
AL4G13120	3124	OG0000090
AL8G15000	2747	OG0000090
AL8G15010	2595	OG0000090
AL90U10010	1700	OG0000090
AL9U10450	1522	OG0000090
AL9U10470	1569	OG0000090
AL3G36200	3536	OG0000093
AL3G36220	1560	OG0000093
AL3G38320	3037	OG0000093
AL2G13960	1225	OG0000095
AL6G32670	1101	OG0000095
AL4G14040	1843	OG0000096
AL5G23490	2335	OG0000096
AL6G44610	5664	OG0000096
AL5G18060	1040	OG0000100
AL1G13160	1416	OG0000103
AL3G14640	2600	OG0000103
AL6G39950	1063	OG0000103
AL6G49410	2473	OG0000103
AL6G49420	2335	OG0000103
AL7G41810	1820	OG0000103
AL7G41820	4330	OG0000103
AL1G63060	1589	OG0000106
AL2G21240	2227	OG0000106
AL2G21890	2105	OG0000106
AL4G28930	1907	OG0000106
AL6G12540	2003	OG0000106
AL6G32160	2187	OG0000106
AL6G35910	1868	OG0000106
AL6G48650	1524	OG0000106
AL6G48900	1255	OG0000106
AL6G48930	2007	OG0000106
AL6G49350	1250	OG0000106
AL6G50030	2193	OG0000106
AL7G44880	2101	OG0000106
AL1G40990	1452	OG0000107
AL1G41000	1282	OG0000107
AL1G41010	1284	OG0000107
AL1G41020	1280	OG0000107
AL2G26330	3612	OG0000107
AL3G43390	867	OG0000107
AL3G43980	876	OG0000107
AL3G44020	1438	OG0000107
AL3G44030	1543	OG0000107
AL3G44060	1559	OG0000107
AL3G46030	864	OG0000107
AL4G14150	1275	OG0000107
AL4G14170	1453	OG0000107
AL6G37020	1735	OG0000107
AL6G37130	1374	OG0000107
AL2G19800	620	OG0000118
AL3G23800	682	OG0000118
AL7G18580	262	OG0000118
AL7G45480	426	OG0000118
AL8G15920	639	OG0000118
AL8G33020	583	OG0000118
AL1G17600	1570	OG0000126
AL41U10050	1535	OG0000126
AL41U10060	2887	OG0000126
AL4G23710	1469	OG0000126
AL4G23730	1362	OG0000126
AL4G23850	1262	OG0000126
AL4G23910	2416	OG0000126
AL4G23920	2055	OG0000126
AL4G23930	1445	OG0000126
AL6G16010	1925	OG0000126
AL84U10010	2280	OG0000126
AL7G42590	2843	OG0000141
AL7G42710	2714	OG0000141
AL1G43240	662	OG0000142
AL1G43260	589	OG0000142
AL1G43270	598	OG0000142
AL1G43320	1438	OG0000142
AL4G34310	1565	OG0000147
AL4G36610	1381	OG0000147
AL4G37620	1473	OG0000147
AL4G37630	388	OG0000147
AL4G41930	1415	OG0000147
AL4G41950	1725	OG0000147
AL4G42180	1347	OG0000147
AL5G41700	1388	OG0000147
AL5G41710	541	OG0000147
AL7G36780	1309	OG0000147
AL1G45620	1366	OG0000150
AL2G14000	1417	OG0000150
AL2G14020	1516	OG0000150
AL4G22300	1237	OG0000150
AL4G27390	1532	OG0000150
AL4G27770	886	OG0000150
AL5G29210	5331	OG0000150
AL5G29234	1234	OG0000150
AL5G29300	678	OG0000150
AL8G43560	1561	OG0000150
AL5G43410	3406	OG0000158
AL1G49160	3345	OG0000159
AL2G28900	3107	OG0000159
AL2G40360	2022	OG0000159
AL2G40380	2144	OG0000159
AL3G39500	3405	OG0000159
AL3G52410	2864	OG0000159
AL3G52430	280	OG0000159
AL3G52440	2703	OG0000159
AL5G15010	2210	OG0000164
AL5G15040	1969	OG0000164
AL5G15050	2235	OG0000164
AL5G15060	1975	OG0000164
AL5G15070	1883	OG0000164
AL5G15090	1922	OG0000164
AL5G15100	1833	OG0000164
AL8G33230	1710	OG0000164
AL4G14510	2132	OG0000166
AL4G14520	1695	OG0000166
AL4G14530	1769	OG0000166
AL4G15500	4205	OG0000166
AL4G15530	2030	OG0000166
AL4G15555	1078	OG0000166
AL4G15560	2025	OG0000166
AL4G15600	991	OG0000166
AL4G15620	1786	OG0000166
AL4G15660	1474	OG0000166
AL4G18480	1181	OG0000166
AL4G18490	711	OG0000166
AL4G18500	1025	OG0000166
AL4G18510	1657	OG0000166
AL4G18540	4984	OG0000166
AL4G18550	1885	OG0000166
AL4G18560	2236	OG0000166
AL4G18570	1526	OG0000166
AL2G13870	1495	OG0000167
AL3G43130	1725	OG0000167
AL4G44290	1445	OG0000167
AL5G42950	1360	OG0000167
AL6G48090	1700	OG0000167
AL7G31720	1605	OG0000167
AL7G38430	1945	OG0000167
AL1G47470	523	OG0000170
AL1G57350	531	OG0000170
AL1G61980	1415	OG0000170
AL1G65170	1434	OG0000170
AL2G18420	542	OG0000170
AL2G23340	529	OG0000170
AL3G37720	1422	OG0000170
AL3G38140	520	OG0000170
AL4G24150	526	OG0000170
AL5G12220	531	OG0000170
AL5G19650	527	OG0000170
AL5G23180	529	OG0000170
AL6G42710	534	OG0000170
AL6G47390	627	OG0000170
AL77U10040	535	OG0000170
AL8G10130	244	OG0000170
AL8G13660	530	OG0000170
AL8G20430	518	OG0000170
AL8G23090	1105	OG0000170
AL8G45390	529	OG0000170
AL9U10210	533	OG0000170
AL1G53500	1734	OG0000182
AL1G53520	1875	OG0000182
AL1G53540	2587	OG0000182
AL3G47440	1777	OG0000182
AL3G52270	1976	OG0000182
AL3G52280	1698	OG0000182
AL3G52290	2434	OG0000182
AL4G10320	1550	OG0000182
AL4G13020	1433	OG0000182
AL5G12460	1559	OG0000182
AL5G12470	1804	OG0000182
AL5G12480	1917	OG0000182
AL5G12490	1627	OG0000182
AL5G19300	699	OG0000182
AL9U10990	1607	OG0000182
AL9U11000	1454	OG0000182
AL199U10010	2657	OG0000184
AL3G40650	2819	OG0000184
AL3G40700	2914	OG0000184
AL3G40730	2967	OG0000184
AL3G41940	2945	OG0000184
AL4G16860	2927	OG0000184
AL4G28600	2739	OG0000184
AL4G28610	2728	OG0000184
AL4G28630	2441	OG0000184
AL4G28950	2817	OG0000184
AL7G37050	5865	OG0000184
AL6G46030	1400	OG0000185
AL7G30210	5854	OG0000185
AL7G30250	17459	OG0000185
AL7G30290	2953	OG0000185
AL7G30330	2848	OG0000185
AL7G30340	2709	OG0000185
AL4G14050	1450	OG0000186
AL8G21750	4502	OG0000186
AL1G21870	1417	OG0000188
AL1G35700	2161	OG0000188
AL1G39630	1319	OG0000188
AL1G40180	1622	OG0000188
AL275U10020	1481	OG0000188
AL2G13920	1282	OG0000188
AL2G18650	2925	OG0000188
AL3G25690	1441	OG0000188
AL3G25710	1419	OG0000188
AL3G25930	1490	OG0000188
AL3G27510	1255	OG0000188
AL3G33320	905	OG0000188
AL3G33370	1325	OG0000188
AL3G33690	1757	OG0000188
AL3G33700	1733	OG0000188
AL3G40230	1486	OG0000188
AL3G51580	1099	OG0000188
AL5G24990	1351	OG0000188
AL8G25210	1096	OG0000188
AL4G19930	517	OG0000192
AL7G50110	2225	OG0000192
AL3G26950	2145	OG0000196
AL3G26960	2225	OG0000196
AL3G26980	1435	OG0000196
AL3G27000	2150	OG0000196
AL1G53940	581	OG0000199
AL1G61300	723	OG0000199
AL3G23600	678	OG0000199
AL5G13870	612	OG0000199
AL5G13880	586	OG0000199
AL5G13890	580	OG0000199
AL5G13900	2473	OG0000199
AL5G13910	583	OG0000199
AL9U10560	598	OG0000199
AL4G22240	3768	OG0000200
AL7G47540	2561	OG0000200
AL7G47550	2322	OG0000200
AL7G47570	6976	OG0000200
AL7G47590	6984	OG0000200
AL7G47600	3525	OG0000200
AL7G47850	3794	OG0000200
AL7G47870	3497	OG0000200
AL7G47890	3899	OG0000200
AL7G48650	3732	OG0000200
AL7G48660	3708	OG0000200
AL7G48670	1254	OG0000200
AL5G24542	2933	OG0000202
AL7G30310	2639	OG0000202
AL7G30350	2353	OG0000202
	2540	OG0000205
AL1G52660	1177	OG0000206
AL7G38360	1420	OG0000206
AL7G38390	1421	OG0000206
AL7G46040	2092	OG0000206
AL7G46050	2116	OG0000206
AL7G46150	2155	OG0000206
AL7G46160	3022	OG0000206
AL5G28190	4385	OG0000207
AL5G28350	4384	OG0000207
AL7G46090	5755	OG0000207
AL7G46120	2797	OG0000207
AL7G47660	5168	OG0000207
AL7G48270	5162	OG0000207
AL7G48800	6143	OG0000207
AL7G49110	4182	OG0000207
AL7G49130	2355	OG0000207
AL7G49150	5570	OG0000207
AL7G49680	8665	OG0000207
AL7G49700	4587	OG0000207
AL7G49950	4044	OG0000207
AL1G64890	4742	OG0000210
AL2G34080	3532	OG0000210
AL4G16880	6075	OG0000210
AL3G24070	1104	OG0000213
AL3G24080	1189	OG0000213
AL3G24090	610	OG0000213
AL3G24100	760	OG0000213
AL3G53960	1034	OG0000213
AL4G22960	1461	OG0000213
AL4G27870	2604	OG0000213
AL4G32200	733	OG0000213
AL320U10010	2287	OG0000217
AL6G45160	2142	OG0000217
AL6G49050	1548	OG0000217
AL6G49084	1557	OG0000217
AL6G49090	2448	OG0000217
AL6G49140	1081	OG0000217
AL6G49150	1652	OG0000217
AL8G26930	800	OG0000217
AL9U10540	1873	OG0000217
AL9U10550	666	OG0000217
AL1G60840	1794	OG0000220
AL6G37030	432	OG0000220
AL7G30780	1435	OG0000220
AL7G31470	1235	OG0000220
AL7G31480	1329	OG0000220
AL7G31490	2840	OG0000220
AL7G31500	1286	OG0000220
AL7G31510	795	OG0000220
AL7G31520	2282	OG0000220
AL8G44570	574	OG0000220
AL3G49830	3099	OG0000224
AL9U10150	3115	OG0000224
AL3G46810	843	OG0000228
AL3G46820	311	OG0000228
AL7G45500	839	OG0000228
AL1G25630	2808	OG0000242
AL1G48230	1752	OG0000242
AL3G11550	1494	OG0000242
AL3G38420	1825	OG0000242
AL6G12550	1120	OG0000242
AL6G12860	1069	OG0000242
AL6G12880	1694	OG0000242
AL6G12890	1814	OG0000242
AL6G12910	1865	OG0000242
AL777U10010	3053	OG0000242
	2540	OG0000248
AL6G47530	1517	OG0000253
AL6G47540	1506	OG0000253
AL7G11590	1472	OG0000253
AL7G11600	1588	OG0000253
AL7G11690	1495	OG0000253
AL8G15990	1583	OG0000253
AL8G23920	1296	OG0000253
AL9U11020	2306	OG0000253
AL1G50240	8082	OG0000255
AL1G55600	3984	OG0000255
AL2G19950	6846	OG0000255
AL3G51040	2120	OG0000255
AL3G51050	1236	OG0000255
AL5G12680	1236	OG0000255
AL5G29740	1121	OG0000255
AL6G34520	2566	OG0000255
AL6G41950	3758	OG0000255
AL7G11670	4172	OG0000255
AL8G17270	5721	OG0000255
AL8G18820	1128	OG0000255
AL8G20940	2128	OG0000255
AL8G20950	1077	OG0000255
AL1G54030	1839	OG0000258
AL3G29670	1453	OG0000258
AL3G29750	1397	OG0000258
AL3G29760	1644	OG0000258
AL3G29770	1449	OG0000258
AL3G29780	1879	OG0000258
AL3G30470	1673	OG0000258
AL3G30700	319	OG0000258
AL3G30730	1675	OG0000258
AL3G30850	1304	OG0000258
AL3G53140	1608	OG0000258
AL3G53160	1455	OG0000258
AL4G21820	1469	OG0000258
AL1G29380	1343	OG0000261
AL1G51540	2435	OG0000261
AL1G53450	316	OG0000261
AL4G38120	1769	OG0000261
AL6G43180	1877	OG0000261
AL3G52210	600	OG0000264
AL6G16720	894	OG0000264
AL6G16730	202	OG0000264
AL7G42530	542	OG0000264
AL8G22510	1167	OG0000264
AL8G22520	892	OG0000264
AL9U10270	1460	OG0000264
AL6G28990	4133	OG0000266
AL7G14900	5539	OG0000266
AL8G13580	6442	OG0000266
AL8G13620	7986	OG0000266
AL8G13710	2562	OG0000266
AL8G13740	6222	OG0000266
AL8G14230	5168	OG0000266
AL8G14320	4278	OG0000266
AL8G14370	5008	OG0000266
AL5G15330	2872	OG0000269
AL6G11580	2233	OG0000269
AL4G22760	4834	OG0000271
AL8G38700	4902	OG0000271
AL8G38710	5072	OG0000271
AL5G28620	8152	OG0000272
AL4G21390	1942	OG0000276
AL5G19410	1489	OG0000276
AL5G20510	1176	OG0000276
AL5G33480	5596	OG0000276
AL6G53270	2362	OG0000276
AL7G43230	2381	OG0000276
AL8G30870	6272	OG0000276
AL7G34270	3306	OG0000297
AL7G34280	1696	OG0000297
AL7G34290	2365	OG0000297
AL1G49040	1115	OG0000298
AL8G30880	1190	OG0000298
AL8G30890	1224	OG0000298
AL8G30900	1251	OG0000298
AL8G30920	1745	OG0000298
AL1G38150	1725	OG0000299
AL1G52750	1545	OG0000299
AL1G52760	1411	OG0000299
AL1G52780	1269	OG0000299
AL3G19810	1255	OG0000299
AL3G21160	1394	OG0000299
AL3G21170	1338	OG0000299
AL3G23410	1582	OG0000299
AL3G28900	4541	OG0000299
AL4G24660	9545	OG0000299
AL5G29830	1299	OG0000299
AL7G51860	1367	OG0000299
AL7G51870	1325	OG0000299
AL8G27500	1520	OG0000299
AL2G32480	1118	OG0000319
AL2G32490	1894	OG0000319
AL3G14170	1636	OG0000320
AL4G22780	4311	OG0000320
AL5G29310	1673	OG0000325
AL5G29320	1605	OG0000325
AL5G29340	1630	OG0000325
AL8G12890	2073	OG0000329
AL1G22300	1490	OG0000338
AL1G22320	780	OG0000338
AL1G22350	1175	OG0000338
AL1G23150	1754	OG0000338
AL1G25470	893	OG0000338
AL1G37130	1455	OG0000338
AL1G58940	2401	OG0000338
AL4G18870	1257	OG0000338
AL5G16800	3912	OG0000338
AL5G38780	716	OG0000338
AL5G38790	1363	OG0000338
AL8G23030	1457	OG0000338
AL1G14840	2992	OG0000339
AL2G12050	2140	OG0000339
AL4G24690	3251	OG0000339
AL4G25900	1755	OG0000339
AL6G35130	1844	OG0000339
AL6G36280	3621	OG0000339
AL7G27750	1847	OG0000339
AL7G48980	1367	OG0000339
AL7G48990	1181	OG0000339
AL7G49240	1387	OG0000339
AL8G15660	1620	OG0000339
AL1G56710	981	OG0000343
AL1G65810	3261	OG0000343
AL3G39460	1672	OG0000343
AL4G17660	2586	OG0000343
AL4G17900	3400	OG0000343
AL4G17920	987	OG0000343
AL5G20810	1410	OG0000343
AL8G38260	1186	OG0000343
AL2G34810	1121	OG0000347
AL3G50380	1321	OG0000347
AL496U10010	1151	OG0000347
AL496U10020	1023	OG0000347
AL5G18790	2570	OG0000347
AL5G18800	1105	OG0000347
AL5G32600	1157	OG0000347
AL5G34240	1632	OG0000347
AL6G41670	790	OG0000347
AL6G41680	787	OG0000347
AL6G41690	1133	OG0000347
AL6G41700	1135	OG0000347
AL6G51840	1114	OG0000347
AL6G51870	1172	OG0000347
AL3G16300	3340	OG0000348
AL3G16310	3022	OG0000348
AL3G22620	2876	OG0000348
AL3G46870	3053	OG0000348
AL6G37850	3114	OG0000348
AL2G29250	787	OG0000360
AL2G29260	1183	OG0000360
AL2G29280	3416	OG0000360
AL2G29310	2598	OG0000360
AL2G29370	624	OG0000360
AL2G29390	470	OG0000360
AL5G35460	883	OG0000360
AL7G51140	803	OG0000360
AL1G46620	1079	OG0000361
AL1G46640	1393	OG0000361
AL1G46660	1486	OG0000361
AL1G53610	1496	OG0000361
AL1G53620	1421	OG0000361
AL3G29460	1394	OG0000361
AL3G29470	1339	OG0000361
AL3G46410	1297	OG0000361
AL3G46450	1222	OG0000361
AL8G22710	1215	OG0000361
AL132U10010	1726	OG0000367
AL6G45610	1335	OG0000367
AL8G33140	2322	OG0000367
AL8G34460	1411	OG0000367
AL8G34510	2235	OG0000367
AL5G14940	1800	OG0000372
AL5G14950	1848	OG0000372
AL5G22370	1820	OG0000372
AL5G34190	1921	OG0000372
AL5G34200	1914	OG0000372
AL7G32660	858	OG0000375
AL1G59700	585	OG0000382
AL1G59710	1458	OG0000382
AL1G59720	1306	OG0000382
AL3G47640	1275	OG0000382
AL6G12280	1315	OG0000382
AL6G12290	1473	OG0000382
AL6G12300	1292	OG0000382
AL6G12310	2335	OG0000382
AL1G30000	4345	OG0000384
AL1G50320	1408	OG0000384
AL1G57050	4785	OG0000384
AL1G58560	4795	OG0000384
AL1G58670	4760	OG0000384
AL3G51940	2866	OG0000384
AL4G19794	530	OG0000384
AL4G20020	4425	OG0000384
AL5G16890	4745	OG0000384
AL5G27080	3288	OG0000384
AL7G36270	2315	OG0000384
AL8G14210	4531	OG0000384
AL3G44890	577	OG0000385
AL1G47530	902	OG0000386
AL1G47540	1279	OG0000386
