Dsc	Family.ID	Aalpina	Ahalleri	Alyrata	Athaliana	Cpapaya	sig_fam.pvalue	Athal_fam
AT4G23140	OG0000185	10	4	6	5	0	0.009	Receptor kinase-like protein family
AT2G06425	OG0000186	1	19	2	3	0	0	NA
AT3G19880	OG0000188	0	2	19	4	0	0	NA
AT2G13770	OG0000192	8	10	2	3	1	0	NA
AT3G14610	OG0000196	5	8	4	7	0	0.006	Cytochrome P450
AT1G45190	OG0000199	1	3	9	11	0	0	NA
AT5G40910	OG0000200	6	5	12	1	0	0	NA
AT3G45860	OG0000202	7	9	3	5	0	0	Receptor kinase-like protein family
AT3G31430	OG0000205	18	3	0	2	0	0	NA
AT2G03010	OG0000206	5	2	7	9	0	0	NA
AT1G45100	OG0000207	3	4	13	3	0	0	NA
AT1G54470	OG0000210	4	9	3	7	0	0	NA
AT2G36110	OG0000213	3	3	8	7	2	0.006	NA
AT4G03635	OG0000217	7	2	10	4	0	0	NA
AT1G69090	OG0000220	2	2	10	9	0	0	NA
AT1G20400	OG0000224	0	20	2	1	0	0	NA
AT1G66100	OG0000228	13	2	3	4	0	0.001	NA
AALP_AA2G156900	OG0000236	1	5	16	0	0	0	NA
AT5G03480	OG0000242	2	8	10	2	0	0	NA
AT4G04110	OG0000248	18	2	0	1	0	0	NA
AT4G39550	OG0000253	10	1	8	2	0	0	NA
ATMG00240	OG0000254	10	7	0	2	2	0	NA
AT3G31550	OG0000255	2	4	14	1	0	0	NA
AT2G18780	OG0000258	4	2	13	2	0	0	NA
AT1G17150	OG0000261	1	2	5	10	3	0	Glycoside Hydrolase Gene Families
AT2G24980	OG0000264	6	3	7	5	0	0.006	NA
AT4G36140	OG0000266	4	4	9	4	0	0.002	NA
AT1G44050	OG0000269	1	3	2	15	0	0	NA
AT1G52430	OG0000271	4	6	3	8	0	0.005	C2H2 Transcription Factor Family
AT5G23960	OG0000272	1	1	1	1	17	0.008	NA
AT3G29790	OG0000276	0	9	7	4	1	0.002	NA
AALP_AA3G177000	OG0000292	1	2	17	0	0	0	NA
AT4G19720	OG0000297	2	5	3	9	1	0.006	Glycoside Hydrolase Gene Families
AT1G34490	OG0000298	3	2	5	9	1	0.001	Acyl Lipid Metabolism Family
AT3G08810	OG0000299	1	0	14	5	0	0	NA
AT1G72800	OG0000319	13	2	2	2	0	0.001	NA
AT3G04210	OG0000320	16	0	2	1	0	0	NA
AT1G54550	OG0000325	4	2	3	10	0	0	NA
AT1G58037	OG0000329	1	2	1	15	0	0	NA
AT1G11270	OG0000338	1	5	12	1	0	0	NA
AT1G05080	OG0000339	2	2	11	3	1	0	NA
AT1G30140	OG0000343	0	5	8	6	0	0.001	NA
AT1G45063	OG0000347	0	2	14	3	0	0	NA
AT2G15042	OG0000348	0	5	5	9	0	0.001	NA
AT1G70020	OG0000360	1	4	8	5	0	0.005	NA
AT1G32430	OG0000361	1	3	10	4	0	0	NA
AT1G73490	OG0000367	8	4	5	1	0	0.004	NA
AT3G26190	OG0000372	2	3	5	8	0	0.006	Cytochrome P450
AT5G42905	OG0000375	2	12	1	1	2	0	NA
AT2G44030	OG0000382	1	1	8	8	0	0	NA
AT2G07190	OG0000384	1	2	12	3	0	0	NA
AT4G05553	OG0000385	0	16	1	1	0	0	NA
AT1G33220	OG0000386	0	4	10	4	0	0	Glycoside Hydrolase Gene Families
AT1G57650	OG0000388	0	10	7	1	0	0	NA
AT1G23810	OG0000402	1	2	7	7	0	0	NA
AT5G03390	OG0000418	11	2	3	1	0	0.001	NA
AT4G22280	OG0000419	5	8	3	1	0	0	NA
AT2G37800	OG0000422	2	3	8	4	0	0.002	NA
AALP_AA5G135300	OG0000428	1	15	1	0	0	0	NA
AT4G05360	OG0000432	3	12	1	1	0	0	NA
AT1G49920	OG0000434	1	4	8	4	0	0.005	NA
AT1G30790	OG0000440	0	3	12	2	0	0	NA
AT1G21835	OG0000442	0	1	1	15	0	0	NA
AT1G36970	OG0000445	0	12	2	3	0	0	NA
AT1G14800	OG0000448	5	1	8	2	0	0	NA
AT5G32613	OG0000452	13	1	1	1	0	0	NA
AT1G06340	OG0000453	1	0	1	1	13	0.009	NA
AALP_AA2G029700	OG0000462	1	5	10	0	0	0	NA
AT1G35610	OG0000473	3	1	1	11	0	0	NA
AALP_AA6G018200	OG0000489	9	1	6	0	0	0	NA
AT2G30680	OG0000496	2	0	2	1	11	0.008	NA
AALP_AAs63547U000100	OG0000498	2	5	9	0	0	0	NA
AT1G19260	OG0000500	1	4	2	9	0	0	NA
AT1G51370	OG0000501	0	5	9	2	0	0	NA
AT1G29355	OG0000503	0	12	2	2	0	0	NA
AT1G35150	OG0000504	0	4	3	9	0	0	NA
AT3G27473	OG0000510	0	4	4	8	0	0.005	NA
AT1G23037	OG0000513	0	1	11	4	0	0	NA
AT1G75830	OG0000534	6	3	1	5	0	0.007	Plant defensins superfamily
AT1G60500	OG0000535	3	3	7	2	0	0.006	NA
AT1G67160	OG0000546	1	1	6	7	0	0	NA
AT2G18620	OG0000549	5	0	5	4	1	0	NA
AALP_AAs42227U000100	OG0000584	2	12	1	0	0	0	NA
AT2G11035	OG0000589	0	10	4	1	0	0	NA
AT1G06740	OG0000591	0	2	6	2	5	0.004	NA
AT1G23201	OG0000594	0	2	11	2	0	0	NA
AT1G24090	OG0000598	0	3	7	3	2	0.006	NA
AT2G18770	OG0000599	0	2	11	2	0	0	Miscellaneous Membrane Protein Families
AT4G16857	OG0000601	0	3	1	11	0	0	NA
AT1G25141	OG0000605	0	1	11	3	0	0	Carbohydrate Esterase Gene Families
AT5G25850	OG0000606	0	4	8	3	0	0	NA
AT1G32375	OG0000618	4	6	1	3	0	0.001	NA
AT3G23010	OG0000620	2	2	7	3	0	0.002	NA
AT1G31150	OG0000621	1	10	2	1	0	0	NA
AT1G71390	OG0000639	6	1	5	2	0	0.001	NA
AT1G50190	OG0000679	1	2	2	9	0	0	NA
AT2G24870	OG0000692	1	1	5	7	0	0	NA
AT2G23142	OG0000712	1	2	7	4	0	0	NA
AT5G60840	OG0000720	1	2	10	1	0	0	NA
AT4G03566	OG0000724	1	3	8	2	0	0	NA
AT3G44780	OG0000725	1	4	8	1	0	0	NA
AT1G52990	OG0000728	0	6	3	5	0	0.005	NA
AT1G47730	OG0000731	0	2	5	7	0	0	NA
AT2G43220	OG0000736	0	2	1	11	0	0	NA
AT1G54775	OG0000739	0	1	4	9	0	0	NA
AT1G24807	OG0000761	1	1	4	6	1	0.005	NA
AT3G29670	OG0000792	9	1	2	1	0	0.006	NA
AT3G05450	OG0000817	1	4	7	1	0	0.001	NA
AT3G20980	OG0000822	1	1	8	2	1	0	NA
AT4G35670	OG0000846	1	0	4	4	4	0.002	Glycoside Hydrolase Gene Families
AALP_AA5G116600	OG0000850	1	1	11	0	0	0	NA
AT1G35710	OG0000857	2	7	2	2	0	0.001	NA
AT3G29785	OG0000862	1	10	0	1	1	0	NA
AT3G53690	OG0000865	1	1	10	1	0	0	NA
AT5G67360	OG0000887	1	1	5	1	5	0.005	Subtilisin-like Serine Proteases
AT3G32960	OG0000893	1	6	5	1	0	0.008	NA
AALP_AAs56513U000200	OG0000894	2	10	1	0	0	0	NA
AT4G31640	OG0000907	0	2	6	5	0	0	REM Transcription Factor Family
AT1G18760	OG0000913	0	0	8	4	1	0	C3H Transcription Factor Family
AT1G27030	OG0000929	4	2	5	1	0	0.007	NA
AT5G26865	OG0000949	1	0	4	7	0	0	NA
AT2G27410	OG0000962	2	1	4	5	0	0.007	NA
AT3G25180	OG0001007	1	2	7	1	1	0	Cytochrome P450
AT3G59700	OG0001019	6	0	2	4	0	0.002	Receptor kinase-like protein family
AT2G02610	OG0001038	1	3	1	7	0	0.001	NA
AT5G18880	OG0001079	1	7	3	1	0	0	NA
AALP_AA8G311500	OG0001108	1	10	1	0	0	0	NA
AT1G34560	OG0001115	0	1	7	4	0	0	NA
AT1G52603	OG0001127	0	2	7	3	0	0	NA
AT5G38350	OG0001132	0	5	6	1	0	0.001	NA
AT1G36230	OG0001135	0	3	8	1	0	0	NA
AT2G38590	OG0001136	0	1	6	5	0	0	NA
AT1G66045	OG0001139	0	1	8	3	0	0	NA
AT5G25980	OG0001188	2	1	5	3	0	0.009	Glycoside Hydrolase Gene Families
AT2G43745	OG0001196	2	6	2	1	0	0.002	NA
AT1G61563	OG0001202	3	0	4	3	1	0.006	NA
AT3G18330	OG0001262	1	1	6	3	0	0	NA
AT5G38360	OG0001318	1	2	6	1	1	0.006	NA
AT4G27660	OG0001336	2	1	5	3	0	0.009	NA
AALP_AA8G128200	OG0001348	3	6	1	0	1	0	NA
AT1G26510	OG0001349	1	1	3	6	0	0.005	NA
AT1G40083	OG0001363	1	7	2	1	0	0	NA
AT5G18720	OG0001392	0	1	8	2	0	0	NA
AT1G62170	OG0001395	0	6	3	2	0	0.006	NA
AT1G67020	OG0001398	0	8	2	1	0	0	NA
AT2G27320	OG0001400	0	1	5	4	1	0.001	NA
AT2G31425	OG0001401	0	1	5	3	2	0.005	NA
AT5G28950	OG0001408	0	1	5	2	3	0.006	NA
AT5G64450	OG0001411	0	3	7	1	0	0	NA
AT5G57020	OG0001412	0	1	8	1	1	0	Acyl Lipid Metabolism Family
AT1G57570	OG0001688	1	0	2	7	0	0	NA
AALP_AA5G048400	OG0001728	2	3	5	0	0	0.006	NA
AT2G16505	OG0001769	3	0	4	3	0	0.002	NA
AALP_AA7G160900	OG0001798	1	2	0	0	7	0.007	NA
AT3G10510	OG0001813	1	1	6	2	0	0	NA
AT3G45840	OG0001820	2	0	1	7	0	0	NA
AT5G62510	OG0001841	2	0	6	2	0	0	NA
AT1G48145	OG0001885	0	2	1	7	0	0	NA
AT1G43415	OG0001893	0	8	1	1	0	0	NA
AT4G11485	OG0001901	0	2	6	2	0	0.001	NA
AT3G59070	OG0001911	0	1	7	2	0	0	NA
AT5G38270	OG0001918	0	3	6	1	0	0.001	NA
AT3G58820	OG0001923	0	3	6	1	0	0.001	NA
AT1G65190	OG0001927	0	1	6	3	0	0	NA
AT1G53550	OG0001928	0	1	5	4	0	0	NA
AT1G65050	OG0001929	0	1	6	3	0	0	NA
AT3G09160	OG0002178	3	0	5	1	0	0	NA
AT2G24615	OG0002370	2	0	4	3	0	0.002	NA
AALP_AA4G094500	OG0002512	1	2	5	0	1	0.006	NA
AT3G60470	OG0002564	2	5	1	1	0	0.004	NA
AT3G09330	OG0002742	2	0	3	4	0	0.005	AAAP family
AT1G33610	OG0002810	0	1	6	2	0	0	NA
AT5G28720	OG0002829	0	6	1	2	0	0	NA
AT2G42455	OG0002867	0	2	6	1	0	0	NA
AT2G03913	OG0002883	0	1	1	7	0	0	NA
AT1G47770	OG0002891	0	1	4	4	0	0.004	NA
AT1G60300	OG0002892	0	1	4	4	0	0.004	NAC Transcription Factor Family
AT5G28160	OG0002893	0	1	6	2	0	0	NA
AT1G21925	OG0002919	1	0	5	2	0	0	NA
AALP_AA5G163400	OG0003382	2	3	0	0	3	0.007	NA
AT5G43290	OG0003409	1	0	5	1	1	0	WRKY Transcription Factor Family
AT2G40790	OG0003680	0	6	1	1	0	0	NA
AT1G47620	OG0003687	0	1	5	2	0	0.002	Cytochrome P450
AT1G11145	OG0003691	0	2	5	1	0	0.006	NA
AT5G22660	OG0003730	0	5	1	2	0	0.002	NA
AT2G21930	OG0003767	0	1	5	2	0	0.002	NA
AT3G42170	OG0003807	0	1	5	1	1	0.004	NA
AT3G60980	OG0003808	0	2	5	1	0	0.006	NA
AT5G17080	OG0003820	0	1	5	2	0	0.002	NA
AALP_AA1G302100	OG0003952	2	0	4	0	1	0	NA
AT3G21170	OG0004081	1	0	5	1	0	0	NA
AT1G64030	OG0004132	1	0	5	1	0	0	NA
AT1G55947	OG0004303	1	0	4	2	0	0.004	NA
AT5G18160	OG0004694	0	1	5	1	0	0	NA
AT5G42232	OG0004872	0	1	5	1	0	0	NA
AALP_AA5G106300	OG0005725	1	1	4	0	0	0.006	NA
AT1G53790	OG0005764	1	0	4	1	0	0.002	NA
AALP_AA6G131200	OG0005878	1	4	1	0	0	0.006	NA
