id	length
AT1G49100	3978
AT1G51805	5562
AT1G51810	5286
AT1G51820	4747
AT1G51830	3501
AT1G51850	4117
AT2G04300	4008
AT2G29000	4270
AT3G21340	4318
AT3G46330	4352
AT3G46340	5240
AT3G46370	3995
AT3G46400	4357
AT3G46420	4427
AT5G16900	4941
AT5G59670	4536
AT1G43680	1139
AT2G02103	1396
AT2G13450	1503
AT2G13500	1164
AT2G13510	1107
AT2G16676	1878
AT2G17905	527
AT2G17920	1576
AT2G31590	1305
AT2G41590	1646
AT3G47920	903
AT3G57587	1372
AT4G02000	1302
AT4G04730	423
AT5G18636	1262
AT5G25200	1104
AT5G25600	1097
AT5G35737	372
AT5G36228	1910
AT5G51195	1163
AT5G53670	735
AT1G40087	2254
AT1G42700	662
AT3G30200	6511
AT5G28920	3344
AT1G48800	3343
AT1G48820	4293
AT1G66020	2642
AT1G70080	3112
AT2G23230	3250
AT3G29110	3852
AT3G29190	4145
AT4G13280	3632
AT4G13300	3524
AT4G15870	2576
AT4G20200	2480
AT4G20210	4902
AT4G20230	2734
AT5G44630	2854
AT5G48110	3547
AT3G21940	1604
AT3G21980	1058
AT3G21990	1356
AT3G22000	1663
AT3G22010	1452
AT3G22020	1034
AT3G22030	1422
AT3G22040	945
AT3G22050	1359
AT3G22053	1094
AT4G20530	1336
AT4G20540	1336
AT4G20550	1336
AT4G20560	1336
AT4G20570	1336
AT4G20580	1013
AT4G20590	1013
AT4G20600	1013
AT4G20610	1013
AT4G20620	1013
AT4G20630	1013
AT4G20640	1013
AT4G20645	1336
AT4G20670	1041
AT4G20680	1608
AT1G18050	1818
AT3G30370	540
AT1G29180	1335
AT1G34480	1863
AT1G44020	2685
AT1G44030	2516
AT1G45243	792
AT1G62030	2587
AT1G66440	2356
AT1G66450	2343
AT2G28460	2302
AT3G21210	2863
AT3G26240	3305
AT3G26250	1473
AT3G50010	2591
AT4G02540	2906
AT4G10560	2244
AT4G13130	2679
AT4G15070	2718
AT4G26380	3483
AT5G03355	2174
AT5G03360	3108
AT5G37210	2449
AT5G48320	3076
AT1G31960	522
AT2G11462	644
AT1G03660	2499
AT1G03670	2001
AT4G03440	3682
AT4G03450	2448
AT4G03460	3596
AT4G03470	2440
AT4G03480	3402
AT4G03490	4984
AT4G03495	937
AT4G03500	3613
AT4G03505	432
AT4G05040	3697
AT4G14390	2594
AT4G14400	5031
AT1G55060	693
AT1G65350	4758
AT4G02890	1637
AT4G05050	1434
AT4G05320	2332
AT5G03240	1856
AT5G20620	1957
AT5G37640	969
AT1G27540	1994
AT1G27550	518
AT1G27580	1269
AT2G14290	1333
AT2G14500	1044
AT2G24080	1176
AT5G25290	1248
AT5G25300	2836
AT1G04625	1990
AT1G27870	642
AT1G47497	1393
AT1G50160	222
AT1G77815	303
AT2G02650	1136
AT2G04420	762
AT2G11205	246
AT2G46460	483
AT3G09510	1455
AT3G25270	1032
AT3G32130	687
AT4G03292	752
AT4G09775	426
AT5G43755	796
AT2G29150	1250
AT2G29170	816
AT2G29260	1898
AT2G29290	2319
AT2G29350	1643
AT2G29360	1533
AT2G29370	1607
AT5G06060	2088
AT4G13810	3049
AT4G13820	2909
AT4G13880	2811
AT4G13920	3590
AT1G29420	723
AT1G29430	834
AT1G29440	602
AT1G29450	1043
AT1G29460	895
AT1G29490	671
AT1G29500	968
AT1G29510	817
AT5G27780	643
AT2G30385	1094
AT2G30615	1502
AT2G42955	887
AT2G43260	1680
AT2G43270	1317
AT2G43440	1427
AT2G43445	1704
AT4G17780	1197
AT1G46840	1522
AT1G46912	1109
AT1G46984	1113
AT2G19630	930
AT2G31470	1341
AT3G23960	1245
AT3G49450	1238
AT5G65850	1345
AT3G61170	2669
AT1G69730	2811
AT1G79680	2847
AT2G02580	1867
AT3G26290	2215
AT3G26300	1965
AT3G26310	1848
AT3G26320	1775
AT3G26330	1875
AT5G57260	1730
AT1G64840	1990
AT2G24250	1920
AT1G62040	1790
AT2G45170	1528
AT3G60640	1798
AT4G04620	2149
AT4G21980	1473
AT2G11015	441
AT4G06490	441
AT5G29050	592
AT5G33898	1180
AT1G47300	1412
AT1G47340	2718
AT1G47350	2276
AT1G60370	852
AT2G23160	1275
AT2G25440	2668
AT2G32680	2846
AT2G33020	2720
AT2G33050	3587
AT2G33060	2779
AT2G33080	2436
AT3G24900	2932
AT3G24982	3972
AT3G25010	2880
AT3G25020	3121
AT4G23140	3196
AT4G23150	2827
AT4G23160	4725
AT4G23180	2936
AT4G23230	2453
AT2G06425	816
AT4G04265	730
AT5G34581	653
AT3G19880	1170
AT3G20030	1209
AT4G05080	1176
AT5G60560	1224
AT2G13770	1294
AT3G29631	448
AT5G39980	2361
AT3G14610	2349
AT3G14630	2376
AT3G14640	2192
AT3G14650	2564
AT3G14660	2831
AT3G14680	2315
AT3G14690	2700
AT1G45190	654
AT1G47450	579
AT1G47470	604
AT1G52970	602
AT2G04031	624
AT2G04037	589
AT2G04041	564
AT3G11990	653
AT4G13261	581
AT4G13263	582
AT5G35405	583
AT5G40910	6028
AT3G45860	3174
AT4G23130	2730
AT4G23270	3343
AT4G23280	2844
AT4G23310	3593
AT3G31430	1011
AT3G42140	959
AT2G03010	2225
AT4G09440	534
AT4G16530	1824
AT5G37410	2113
AT5G37420	1255
AT5G37430	1879
AT5G37460	1890
AT5G37470	1971
AT5G37920	1830
AT1G45100	1559
AT3G10845	3518
AT5G41690	5186
AT1G54470	3400
AT1G74170	4943
AT1G74180	4986
AT1G74190	3579
AT1G74200	2450
AT2G25470	3723
AT5G49290	4573
AT2G36110	1089
AT3G12410	1004
AT3G12420	990
AT3G12430	1026
AT3G12440	1153
AT3G12460	1037
AT3G12470	867
AT4G03635	1467
AT4G05460	1944
AT4G05470	2141
AT4G05475	1996
AT1G69090	1257
AT4G14165	1162
AT4G22035	1131
AT4G22060	1427
AT4G22165	1092
AT4G22170	1296
AT4G22180	1272
AT4G22660	1191
AT5G66830	1437
AT1G20400	4428
AT1G66100	1185
AT1G72260	1113
AT2G15010	876
AT5G36910	1121
AT5G03480	1797
AT5G03495	1959
AT4G04110	1424
AT4G39550	1464
AT4G39560	1627
AT3G31550	828
AT2G18780	1403
AT3G16740	1682
AT1G17150	1789
AT1G43080	1834
AT1G43090	1954
AT1G43100	1955
AT2G15450	1721
AT2G15460	1714
AT2G15470	1722
AT2G26620	1767
AT2G40310	1647
AT4G13760	1591
AT2G24980	1914
AT4G08400	1769
AT4G13390	1576
AT5G06630	1544
AT5G35190	1274
AT4G36140	5965
AT5G17890	6633
AT5G45050	5080
AT5G45260	6718
AT1G44050	2461
AT1G53340	2243
AT2G13895	799
AT2G13900	2171
AT2G13950	1714
AT3G26550	2273
AT4G10370	2326
AT5G02330	2129
AT5G02340	1896
AT5G02350	2184
AT5G02360	1704
AT5G46670	1320
AT5G55770	2088
AT5G55780	2190
AT5G55800	1737
AT1G52430	5073
AT1G52450	4781
AT2G27630	5249
AT2G27650	4888
AT5G02660	2160
AT5G51530	4818
AT5G61940	5010
AT5G61950	5257
AT5G23960	2441
AT3G29790	528
AT3G33528	1707
AT3G43880	444
AT4G07526	1510
AT4G19720	1843
AT4G19730	1112
AT4G19740	1054
AT4G19750	1446
AT4G19760	1648
AT4G19770	893
AT4G19800	1275
AT4G19810	2590
AT4G19820	2232
AT1G34490	1056
AT1G34500	1026
AT1G34520	1075
AT5G51420	1344
AT5G55320	1337
AT5G55330	1414
AT5G55340	1402
AT5G55350	1169
AT5G55360	1212
AT3G08810	1239
AT3G09750	1025
AT5G38670	1086
AT5G38680	1717
AT5G51250	1107
AT1G72800	1412
AT4G08730	1390
AT3G04210	2603
AT1G54550	1336
AT1G59680	1205
AT1G66490	1129
AT1G67450	1197
AT1G67455	1551
AT3G13680	1463
AT3G14030	853
AT3G49510	1167
AT3G49520	1167
AT4G17200	1146
AT1G58037	2049
AT2G04500	1993
AT3G06990	1672
AT3G07000	2111
AT3G25850	777
AT4G14980	1792
AT5G16430	258
AT5G29624	1467
AT5G40320	1849
AT5G44770	1685
AT5G45730	2099
AT5G54020	1967
AT5G54030	2065
AT5G54040	1791
AT5G54050	2453
AT1G11270	6714
AT1G05080	1489
AT5G40750	1464
AT5G44850	1290
AT1G30140	1155
AT2G29880	1214
AT5G27260	988
AT5G28820	734
AT5G29613	534
AT5G35540	857
AT1G45063	1771
AT3G53330	1009
AT4G01380	929
AT2G15042	1801
AT2G15080	3742
AT3G05650	3861
AT3G05660	3307
AT3G11010	3490
AT3G11080	3382
AT3G28890	2924
AT5G25910	2518
AT5G27060	3501
AT1G70020	990
AT1G70040	899
AT1G70120	677
AT3G60700	1072
AT5G39330	2147
AT1G32430	1426
AT1G47390	1113
AT2G14710	1472
AT3G16580	1371
AT1G73490	1808
AT3G26190	1645
AT3G26200	1931
AT3G44250	1741
AT3G53280	1925
AT3G53290	1447
AT3G53300	1883
AT3G53305	1651
AT5G35715	1716
AT5G42905	910
AT2G44030	1143
AT2G45406	588
AT3G46050	1113
AT5G02990	783
AT5G02995	943
AT5G03000	1170
AT5G03010	1073
AT5G03020	1192
AT2G07190	1579
AT2G07200	674
AT4G04957	557
AT4G05553	613
AT1G33220	1008
AT5G20330	1602
AT5G20340	1140
AT5G20390	1498
AT1G57650	3146
AT1G23810	1072
AT1G24060	321
AT1G24230	1097
AT1G24250	1252
AT1G27260	1020
AT1G27270	1073
AT1G27280	964
AT5G03390	1893
AT4G22280	2183
AT2G37800	812
AT2G37805	854
AT2G37810	702
AT2G37820	1210
AT4G05360	4134
AT1G49920	2810
AT1G64253	2220
AT1G64255	2253
AT1G64260	2738
AT1G30790	1354
AT1G32660	1341
AT1G21835	273
AT1G34792	389
AT1G34795	488
AT1G34800	279
AT1G34805	279
AT1G34810	279
AT1G34815	279
AT1G34820	279
AT1G34825	484
AT1G34830	488
AT1G34840	264
AT1G34850	264
AT1G34860	279
AT1G34930	279
AT1G35035	279
AT1G36970	1972
AT3G31560	457
AT4G05555	2823
AT1G14800	2987
AT3G30730	849
AT5G32613	1787
AT1G06340	820
AT1G35610	1928
AT2G17590	2205
AT2G17600	1743
AT3G11370	2008
AT3G11385	2459
AT3G11390	2235
AT3G11402	2485
AT3G13760	2132
AT3G59120	2427
AT3G59130	1822
AT5G17960	1837
AT2G30680	1749
AT1G19260	2310
AT1G41920	3510
AT1G42710	976
AT2G06541	2105
AT3G29450	1914
AT3G29763	1518
AT3G29765	1611
AT3G31402	2609
AT4G09660	2162
AT1G51370	2460
AT5G53840	1525
AT1G29355	1835
AT1G43145	1491
AT1G35150	2081
AT2G06500	2506
AT2G16040	1667
AT2G19960	887
AT3G29638	2451
AT3G29794	1206
AT4G10200	2653
AT4G10820	901
AT5G35475	1075
AT3G27473	2938
AT3G27480	2385
AT3G27490	2284
AT3G27500	2469
AT3G27510	2215
AT3G28650	2761
AT3G45530	2327
AT5G42840	2293
AT1G23037	736
AT3G52320	1173
AT3G52330	1253
AT3G52510	1263
AT1G75830	542
AT2G26010	722
AT2G26020	683
AT5G44420	671
AT5G44430	658
AT1G60500	2383
AT1G60530	2007
AT1G67160	2280
AT3G03726	1124
AT3G03730	1182
AT3G22333	612
AT3G22345	1300
AT4G12810	1149
AT4G12820	2309
AT2G18620	1364
AT2G18640	1443
AT2G23800	1295
AT4G36810	1650
AT2G11035	2153
AT1G06740	2638
AT3G05850	2638
AT1G23201	932
AT1G36325	1342
AT1G24090	2751
AT3G01410	2315
AT5G51080	2291
AT2G18770	2081
AT5G05670	2475
AT4G16857	1485
AT4G16860	7372
AT4G16880	1331
AT4G16890	5702
AT4G16900	4830
AT4G16920	7851
AT4G16940	6546
AT4G16950	6523
AT4G16957	2551
AT4G16960	3627
AT5G51630	6813
AT1G25141	718
AT3G25460	1086
AT5G47300	1251
AT5G25850	1836
AT5G53635	1446
AT5G53640	772
AT1G32375	1954
AT5G50270	1510
AT5G56390	1484
AT3G23010	2571
AT3G23110	2508
AT3G23120	2398
AT1G31150	2849
AT1G71390	2575
AT1G71400	2806
AT1G50190	2571
AT1G55380	2104
AT1G55390	2268
AT1G55420	2449
AT1G55430	2296
AT1G55440	2098
AT1G55700	2050
AT2G23100	2705
AT5G42280	2858
AT2G24870	1047
AT2G24880	309
AT3G26860	826
AT3G26870	393
AT3G27329	369
AT3G27331	738
AT3G27680	405
AT2G23142	444
AT2G23148	548
AT5G38435	672
AT5G38440	402
AT5G60840	1323
AT4G03566	667
AT5G19270	1393
AT3G44780	1004
AT1G52990	3050
AT3G23320	576
AT5G44470	426
AT5G52115	1537
AT5G65005	815
AT1G47730	1176
AT1G47765	1187
AT1G47790	1170
AT1G48060	1008
AT1G50870	1191
AT1G50880	1146
AT3G10240	1170
AT2G43220	2465
AT4G01740	2035
AT4G01760	2170
AT4G01910	2303
AT4G01920	2463
AT4G01925	1278
AT4G01930	2149
AT4G02190	1980
AT4G11390	2752
AT4G11540	1695
AT4G11550	2947
AT1G54775	231
AT1G58242	407
AT1G58245	273
AT1G58248	276
AT3G24465	271
AT5G34828	276
AT5G36720	264
AT5G36805	264
AT5G38378	264
AT1G24807	2166
AT1G24909	2130
AT1G25083	1895
AT1G25155	2130
AT1G25220	2775
AT5G57890	2340
AT3G29670	1665
AT3G05450	2510
AT3G20980	2004
AT3G21000	1512
AT4G35670	2769
AT5G27530	3595
AT5G44830	1806
AT5G44840	2372
AT1G35710	4211
AT4G08850	4474
AT3G29785	330
AT3G53690	1448
AT5G67360	2960
AT3G32960	739
AT4G31640	1521
AT4G31650	2561
AT4G31680	1822
AT4G31685	660
AT4G31690	1191
AT1G18760	675
AT1G18770	679
AT1G21960	615
AT2G29840	1597
AT1G27030	2534
AT5G26865	616
AT5G26950	892
AT5G27050	363
AT5G27070	864
AT5G27090	958
AT5G27580	798
AT5G27944	675
AT2G27410	993
AT2G31420	773
AT2G31460	735
AT2G32645	1677
AT2G32905	695
AT3G25180	2164
AT3G59700	2274
AT3G59730	1766
AT3G59740	2072
AT3G59750	2008
AT2G02610	2202
AT2G02620	2134
AT2G02630	2056
AT2G02640	1981
AT2G02680	2900
AT2G02690	2035
AT2G02700	1565
AT5G18880	888
AT1G34560	819
AT1G35353	725
AT1G35365	754
AT3G27900	1414
AT1G52603	545
AT1G67235	598
AT5G33393	2159
AT5G38350	2960
AT1G36230	3067
AT2G38590	1288
AT4G33290	1293
AT5G41490	1164
AT5G41500	1212
AT5G41510	1203
AT1G66045	526
AT4G03040	2058
AT5G33330	1222
AT5G25980	3070
AT5G26000	2933
AT5G48375	2581
AT2G43745	1313
AT1G61563	528
AT1G61566	551
AT2G22055	650
AT3G18330	1263
AT3G18910	1493
AT3G19410	1122
AT5G38360	1931
AT4G27660	1090
AT5G54148	1320
AT5G54150	777
AT1G26510	1194
AT1G26515	1101
AT1G31000	1191
AT4G11590	1194
AT5G15660	1390
AT5G15670	813
AT1G40083	633
AT5G18720	2344
AT5G18730	2645
AT1G62170	1915
AT2G14540	1744
AT1G67020	2278
AT2G27320	2033
AT2G35250	2010
AT2G38255	2521
AT4G17505	1940
AT2G31425	1053
AT2G31430	1242
AT3G55680	631
AT5G28950	931
AT5G35695	822
AT5G64450	813
AT5G57020	2327
AT1G57570	3723
AT1G60095	2733
AT1G60110	2380
AT1G60130	2407
AT1G61230	1831
AT5G38540	4239
AT5G38550	3071
AT2G16505	932
AT2G16535	666
AT5G61605	629
AT3G10510	1332
AT4G38940	1441
AT3G45840	2041
AT3G48400	1912
AT4G01350	2293
AT5G22355	2266
AT5G59920	2591
AT5G59930	2441
AT5G59940	2259
AT5G62510	1263
AT5G62660	1140
AT1G48145	407
AT1G50745	1639
AT1G50750	1448
AT1G50760	363
AT1G50770	2045
AT1G50790	2816
AT1G50820	7156
AT1G43415	432
AT4G11485	964
AT4G11760	1263
AT3G59070	850
AT5G48750	768
AT5G38270	1221
AT3G58820	2149
AT1G65190	1846
AT1G65250	1633
AT1G67470	1739
AT1G53550	1227
AT1G53815	714
AT1G55070	1182
AT1G61060	1164
AT1G65050	1795
AT1G65150	1990
AT1G65370	1879
AT3G09160	1277
AT2G24615	1654
AT2G24625	947
AT5G39365	806
AT3G60470	2364
AT3G09330	2676
AT3G09340	2689
AT5G02170	3054
AT5G02180	2964
AT1G33610	1784
AT1G33670	1446
AT5G28720	822
AT5G28730	1216
AT2G42455	339
AT2G03913	446
AT2G03931	416
AT2G03933	513
AT2G03936	412
AT2G03937	502
AT2G03955	534
AT2G34123	503
AT1G47770	996
AT3G01345	1612
AT5G01080	555
AT5G35760	981
AT1G60300	969
AT1G60340	1666
AT1G60350	963
AT1G60380	957
AT5G28160	1088
AT5G28180	1161
AT1G21925	303
AT1G21928	303
AT5G43290	1414
AT2G40790	1350
AT1G47620	1839
AT1G66030	610
AT1G11145	635
AT5G22660	1817
AT5G22700	3913
AT2G21930	1538
AT5G44220	888
AT3G42170	3127
AT3G60980	1465
AT5G17080	1356
AT5G17140	444
AT3G21170	1450
AT1G64030	1560
AT1G55947	579
AT2G16810	1534
AT5G18160	1140
AT5G42232	500
AT1G53790	2384
