family_id	final_status	n
OG0000213	P	95
OG0000213	U	60
OG0000217	P	231
OG0000217	U	4
OG0000220	A	1
OG0000220	F	16
OG0000220	P	95
OG0000220	U	125
OG0000224	P	44
OG0000224	U	4
OG0000228	P	40
OG0000228	U	12
OG0000242	A	1
OG0000242	F	11
OG0000242	P	191
OG0000242	U	29
OG0000253	A	1
OG0000253	F	9
OG0000253	P	55
OG0000253	U	110
OG0000255	A	10
OG0000255	F	6
OG0000255	P	926
OG0000255	U	117
OG0000258	A	4
OG0000258	F	7
OG0000258	P	129
OG0000258	U	144
OG0000261	F	9
OG0000261	P	70
OG0000261	U	44
OG0000264	F	5
OG0000264	P	153
OG0000264	U	54
OG0000266	A	17
OG0000266	F	7
OG0000266	P	65
OG0000266	U	18
OG0000269	F	7
OG0000269	P	25
OG0000271	F	7
OG0000271	P	26
OG0000271	U	35
OG0000272	A	10
OG0000272	F	1
OG0000272	P	8
OG0000272	U	3
OG0000276	A	34
OG0000276	F	2
OG0000276	P	118
OG0000276	U	12
OG0000297	A	1
OG0000297	P	19
OG0000297	U	35
OG0000298	A	1
OG0000298	F	1
OG0000298	P	16
OG0000298	U	92
OG0000299	A	3
OG0000299	F	11
OG0000299	P	112
OG0000299	U	158
OG0000319	F	1
OG0000319	P	18
OG0000319	U	14
OG0000320	A	12
OG0000320	P	24
OG0000320	U	1
OG0000325	F	15
OG0000325	P	8
OG0000325	U	60
OG0000329	P	2
OG0000329	U	9
OG0000338	A	1
OG0000338	F	4
OG0000338	P	206
OG0000338	U	89
OG0000339	A	20
OG0000339	F	10
OG0000339	P	102
OG0000339	U	81
OG0000343	A	24
OG0000343	F	13
OG0000343	P	103
OG0000343	U	7
OG0000347	A	5
OG0000347	F	39
OG0000347	P	75
OG0000347	U	596
OG0000348	A	8
OG0000348	F	9
OG0000348	P	64
OG0000348	U	17
OG0000360	A	3
OG0000360	F	13
OG0000360	P	77
OG0000360	U	59
OG0000361	F	47
OG0000361	P	143
OG0000361	U	57
OG0000367	F	5
OG0000367	P	61
OG0000367	U	30
OG0000372	P	55
OG0000372	U	53
OG0000375	U	23
OG0000382	A	31
OG0000382	F	1
OG0000382	P	43
OG0000382	U	95
OG0000384	A	68
OG0000384	F	2
OG0000384	P	565
OG0000384	U	60
OG0000385	P	6
OG0000385	U	14
OG0000386	A	7
OG0000386	P	144
OG0000386	U	79
OG0000388	A	17
OG0000388	F	1
OG0000388	P	159
OG0000388	U	24
OG0000402	P	85
OG0000402	U	14
OG0000418	A	25
OG0000418	P	20
OG0000418	U	22
OG0000419	A	1
OG0000419	F	4
OG0000419	P	25
OG0000419	U	36
OG0000422	F	19
OG0000422	P	46
OG0000422	U	83
OG0000432	A	2
OG0000432	P	21
OG0000434	F	1
OG0000434	P	90
OG0000434	U	74
OG0000440	A	7
OG0000440	F	2
OG0000440	P	119
OG0000440	U	96
OG0000442	U	23
OG0000445	P	38
OG0000448	F	7
OG0000448	P	139
OG0000448	U	47
OG0000452	P	1
OG0000452	U	9
OG0000453	U	23
OG0000473	P	12
OG0000473	U	10
OG0000496	P	21
OG0000496	U	21
OG0000500	P	38
OG0000500	U	2
OG0000501	A	1
OG0000501	P	177
OG0000501	U	18
OG0000503	P	42
OG0000504	P	32
OG0000504	U	5
OG0000510	F	4
OG0000510	P	23
OG0000510	U	33
OG0000513	A	21
OG0000513	F	33
OG0000513	P	68
OG0000513	U	100
OG0000534	U	23
OG0000535	F	2
OG0000535	P	112
OG0000535	U	26
OG0000546	F	2
OG0000546	P	53
OG0000546	U	54
OG0000549	F	4
OG0000549	P	19
OG0000549	U	104
OG0000589	A	14
OG0000589	F	2
OG0000589	P	21
OG0000589	U	23
OG0000591	F	4
OG0000591	P	47
OG0000591	U	80
OG0000594	F	28
OG0000594	P	55
OG0000594	U	127
OG0000598	A	1
OG0000598	F	4
OG0000598	P	88
OG0000598	U	80
OG0000599	A	21
OG0000599	F	1
OG0000599	P	368
OG0000599	U	17
OG0000601	P	19
OG0000601	U	2
OG0000605	A	16
OG0000605	F	15
OG0000605	P	148
OG0000605	U	83
OG0000606	A	1
OG0000606	F	2
OG0000606	P	124
OG0000606	U	42
OG0000618	P	21
OG0000620	A	3
OG0000620	F	2
OG0000620	P	76
OG0000620	U	33
OG0000621	P	28
OG0000621	U	9
OG0000639	A	21
OG0000639	F	8
OG0000639	P	62
OG0000639	U	58
OG0000679	A	3
OG0000679	P	34
OG0000692	F	14
OG0000692	P	21
OG0000692	U	69
OG0000712	P	32
OG0000712	U	121
OG0000720	A	44
OG0000720	F	22
OG0000720	P	208
OG0000720	U	157
OG0000724	A	12
OG0000724	P	79
OG0000724	U	37
OG0000725	F	1
OG0000725	P	88
OG0000725	U	16
OG0000728	F	7
OG0000728	P	30
OG0000728	U	14
OG0000731	F	2
OG0000731	P	46
OG0000731	U	57
OG0000736	P	21
OG0000739	F	66
OG0000739	P	7
OG0000739	U	79
OG0000761	A	3
OG0000761	P	80
OG0000761	U	31
OG0000792	A	9
OG0000792	F	2
OG0000792	P	8
OG0000792	U	25
OG0000817	A	2
OG0000817	P	170
OG0000817	U	10
OG0000822	F	30
OG0000822	P	18
OG0000822	U	129
OG0000846	A	31
OG0000846	F	1
OG0000846	P	39
OG0000846	U	19
OG0000857	A	1
OG0000857	F	1
OG0000857	P	40
OG0000857	U	3
OG0000865	A	34
OG0000865	F	9
OG0000865	P	327
OG0000865	U	89
OG0000887	A	20
OG0000887	F	9
OG0000887	P	7
OG0000887	U	37
OG0000893	P	161
OG0000893	U	26
OG0000907	A	1
OG0000907	F	27
OG0000907	P	69
OG0000907	U	33
OG0000913	A	4
OG0000913	F	17
OG0000913	P	51
OG0000913	U	62
OG0000929	F	1
OG0000929	P	140
OG0000929	U	6
OG0000949	P	51
OG0000949	U	128
OG0000962	F	7
OG0000962	P	24
OG0000962	U	56
OG0001007	A	3
OG0001007	F	3
OG0001007	P	129
OG0001007	U	17
OG0001019	A	7
OG0001019	F	1
OG0001019	P	15
OG0001019	U	21
OG0001038	F	8
OG0001038	P	5
OG0001038	U	4
OG0001079	A	1
OG0001079	P	8
OG0001079	U	22
OG0001115	A	19
OG0001115	F	12
OG0001115	P	50
OG0001115	U	76
OG0001127	F	22
OG0001127	P	70
OG0001127	U	98
OG0001132	A	27
OG0001132	P	230
OG0001132	U	1
OG0001135	A	5
OG0001135	F	2
OG0001135	P	72
OG0001135	U	9
