"","gene","n_TE_hits","repeat_classes"
"57","AT1G33220",2,"LINE/unknown, LINE/L1"
"58","AT1G34792",1,"LTR/Gypsy"
"59","AT1G34795",2,"LTR/Gypsy"
"60","AT1G34800",3,"LTR/Gypsy"
"61","AT1G34805",3,"DNA/Helitron, LTR/Gypsy"
"62","AT1G34825",6,"DNA/Helitron, LTR/Gypsy"
"63","AT1G34830",4,"DNA/Helitron, LTR/Gypsy"
"64","AT1G34840",3,"DNA/Helitron, LTR/Gypsy"
"65","AT1G58242",2,"LTR/unknown, LTR/Copia"
"66","AT1G60095",1,"SINE/tRNA"
"67","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"68","AT1G62914",1,"LINE/unknown"
"69","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"70","AT2G03913",1,"LTR/Copia"
"71","AT2G14540",1,"LTR/Copia"
"72","AT2G15010",3,"LTR/Copia"
"73","AT2G24615",2,"DNA/Helitron"
"74","AT2G24625",1,"DNA/Helitron"
"75","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"76","AT2G29360",1,"SINE/tRNA"
"77","AT3G22040",1,"LTR/unknown"
"78","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"79","AT3G22053",3,"DNA/Helitron"
"80","AT3G60700",1,"LTR/Copia"
"81","AT4G04110",5,"LTR/Copia"
"82","AT4G11760",2,"LTR/Copia"
"83","AT4G19720",1,"SINE/tRNA"
"84","AT4G19730",1,"LTR/Gypsy"
"85","AT4G19740",1,"DNA/Helitron"
"86","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"87","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"88","AT4G19770",2,"LTR/Copia"
"89","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"90","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"91","AT5G38550",1,"LINE/L1"
"92","AT5G39330",1,"DNA/Helitron"
"93","AT5G41170",1,"DNA/Helitron"
"94","AT1G12300",1,"LINE/unknown"
"95","AT1G33220",1,"LINE/L1"
"96","AT1G34792",1,"LTR/Gypsy"
"97","AT1G34795",1,"LTR/Gypsy"
"98","AT1G34800",1,"LTR/Gypsy"
"99","AT1G34805",1,"LTR/Gypsy"
"100","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"101","AT1G34825",6,"DNA/Helitron, LTR/Gypsy"
"102","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"103","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"104","AT1G45063",1,"DNA/Helitron"
"105","AT1G57570",1,"LINE/unknown"
"106","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"107","AT1G60095",1,"SINE/tRNA"
"108","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"109","AT1G62914",1,"LINE/unknown"
"110","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"111","AT2G03913",2,"DNA/Helitron"
"112","AT2G03933",2,"DNA/Helitron"
"113","AT2G03937",3,"DNA/Helitron"
"114","AT2G15010",3,"LTR/Copia"
"115","AT2G24615",1,"DNA/Helitron"
"116","AT2G24625",1,"DNA/Helitron"
"117","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"118","AT2G29360",1,"SINE/tRNA"
"119","AT3G22040",1,"LTR/unknown"
"120","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"121","AT3G22053",3,"DNA/Helitron"
"122","AT3G60700",1,"LTR/Copia"
"123","AT4G04110",5,"LTR/Copia"
"124","AT4G19720",1,"SINE/tRNA"
"125","AT4G19730",1,"LTR/Gypsy"
"126","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"127","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"128","AT4G19770",2,"LTR/Copia"
"129","AT5G17890",3,"DNA/Helitron"
"130","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"131","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"132","AT5G38550",2,"LINE/L1"
"133","AT5G39330",1,"DNA/Helitron"
"134","AT5G41170",1,"DNA/Helitron"
"135","AT1G12300",1,"LINE/unknown"
"136","AT1G33220",2,"LINE/unknown, LINE/L1"
"137","AT1G34792",1,"LTR/Gypsy"
"138","AT1G34795",2,"LTR/Gypsy"
"139","AT1G34800",3,"LTR/Gypsy"
"140","AT1G34805",1,"LTR/Gypsy"
"141","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"142","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"143","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"144","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"145","AT1G58242",1,"LTR/unknown"
"146","AT1G60095",1,"SINE/tRNA"
"147","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"148","AT1G62914",1,"LINE/unknown"
"149","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"150","AT2G03913",3,"DNA/Helitron"
"151","AT2G03933",2,"DNA/Helitron"
"152","AT2G03937",3,"DNA/Helitron"
"153","AT2G15010",1,"LTR/Copia"
"154","AT2G24615",2,"DNA/Helitron"
"155","AT2G24625",1,"DNA/Helitron"
"156","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"157","AT2G29360",1,"SINE/tRNA"
"158","AT3G22040",4,"DNA/Helitron"
"159","AT3G22050",1,"LTR/unknown"
"160","AT3G60700",1,"LTR/Copia"
"161","AT4G04110",5,"LTR/Copia"
"162","AT4G11760",2,"LTR/Copia"
"163","AT4G19720",1,"SINE/tRNA"
"164","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"165","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"166","AT4G19770",2,"LTR/Copia"
"167","AT4G20530",1,"DNA/Helitron"
"168","AT4G20580",1,"DNA/Helitron"
"169","AT4G20670",1,"DNA/Helitron"
"170","AT5G34828",4,"LTR/unknown, LTR/Ty3, LTR/Copia"
"171","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"172","AT5G38550",2,"LINE/L1"
"173","AT5G39330",1,"DNA/Helitron"
"174","AT5G41170",1,"DNA/Helitron"
"175","AT1G12300",1,"LINE/unknown"
"176","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"177","AT1G34792",1,"LTR/Gypsy"
"178","AT1G34795",2,"LTR/Gypsy"
"179","AT1G34800",3,"LTR/Gypsy"
"180","AT1G34805",4,"DNA/Helitron, LTR/Gypsy"
"181","AT1G34825",7,"DNA/Helitron, LTR/Gypsy"
"182","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"183","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"184","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"185","AT1G60095",1,"SINE/tRNA"
"186","AT1G62910",1,"LINE/unknown"
"187","AT1G62914",3,"LTR/Copia, LINE/unknown"
"188","AT1G62930",5,"LTR/Copia, SINE/tRNA, LINE/unknown"
"189","AT2G03913",1,"DNA/Helitron"
"190","AT2G14540",1,"LTR/Copia"
"191","AT2G15010",1,"LTR/Copia"
"192","AT2G24615",1,"DNA/Helitron"
"193","AT2G24625",1,"DNA/Helitron"
"194","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"195","AT2G29360",1,"SINE/tRNA"
"196","AT3G22040",1,"LTR/unknown"
"197","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"198","AT3G22053",3,"DNA/Helitron"
"199","AT3G60700",1,"LINE/unknown"
"200","AT4G04110",5,"LTR/Copia"
"201","AT4G19720",1,"SINE/tRNA"
"202","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"203","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"204","AT4G19770",2,"LTR/Copia"
"205","AT4G20530",2,"DNA/Helitron"
"206","AT4G20540",1,"DNA/Helitron"
"207","AT4G20550",1,"DNA/Helitron"
"208","AT4G20560",1,"DNA/Helitron"
"209","AT4G20570",1,"DNA/Helitron"
"210","AT4G20580",7,"DNA/Helitron"
"211","AT4G20590",1,"DNA/Helitron"
"212","AT4G20600",1,"DNA/Helitron"
"213","AT4G20610",1,"DNA/Helitron"
"214","AT4G20620",1,"DNA/Helitron"
"215","AT4G20630",1,"DNA/Helitron"
"216","AT4G20640",1,"DNA/Helitron"
"217","AT4G20645",8,"DNA/Helitron"
"218","AT4G20670",15,"DNA/Helitron"
"219","AT5G17890",3,"DNA/Helitron"
"220","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"221","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"222","AT5G38540",2,"LTR/Copia"
"223","AT5G38550",2,"LTR/Copia, LINE/L1"
"224","AT5G39330",1,"DNA/Helitron"
"225","AT5G41170",1,"DNA/Helitron"
"226","AT1G12300",1,"LINE/unknown"
"227","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"228","AT1G34792",1,"LTR/Gypsy"
"229","AT1G34795",2,"LTR/Gypsy"
"230","AT1G34800",3,"LTR/Gypsy"
"231","AT1G34805",1,"LTR/Gypsy"
"232","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"233","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"234","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"235","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"236","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"237","AT1G60095",1,"SINE/tRNA"
"238","AT1G62680",1,"LTR/Copia"
"239","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"240","AT2G15010",1,"LTR/Copia"
"241","AT2G24615",1,"DNA/Helitron"
"242","AT2G24625",1,"DNA/Helitron"
"243","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"244","AT2G29360",1,"SINE/tRNA"
"245","AT3G22040",1,"LTR/unknown"
"246","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"247","AT3G22053",3,"DNA/Helitron"
"248","AT3G60700",1,"LINE/unknown"
"249","AT4G04110",5,"LTR/Copia"
"250","AT4G11760",2,"LTR/Copia"
"251","AT4G19720",1,"SINE/tRNA"
"252","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"253","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"254","AT4G19770",2,"LTR/Copia"
"255","AT4G20530",2,"LINE/L1, DNA/Helitron"
"256","AT4G20580",2,"LINE/L1, DNA/Helitron"
"257","AT4G20670",2,"LINE/L1, DNA/Helitron"
"258","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"259","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"260","AT5G38550",2,"LINE/L1"
"261","AT5G39330",1,"DNA/Helitron"
"262","AT5G41170",1,"DNA/Helitron"
"263","AT5G42232",1,"DNA/Helitron"
"264","AT5G44430",3,"DNA/Helitron"
"265","AT1G12300",1,"LINE/unknown"
"266","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"267","AT1G34792",1,"LTR/Gypsy"
"268","AT1G34795",2,"LTR/Gypsy"
"269","AT1G34800",3,"LTR/Gypsy"
"270","AT1G34805",1,"LTR/Gypsy"
"271","AT1G34810",4,"DNA/Helitron, LTR/Gypsy"
"272","AT1G34825",8,"DNA/Helitron, LTR/Gypsy"
"273","AT1G34830",6,"DNA/Helitron, LTR/Gypsy"
"274","AT1G34840",5,"DNA/Helitron, LTR/Gypsy"
"275","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"276","AT1G60095",1,"SINE/tRNA"
"277","AT1G62680",1,"LTR/Copia"
"278","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"279","AT1G64030",2,"LTR/unknown, LTR/Copia"
"280","AT2G15010",1,"LTR/Copia"
"281","AT2G24615",2,"DNA/Helitron"
"282","AT2G24625",1,"DNA/Helitron"
"283","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"284","AT2G29360",1,"SINE/tRNA"
"285","AT3G22040",1,"LTR/unknown"
"286","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"287","AT3G22053",3,"DNA/Helitron"
"288","AT3G60700",1,"LTR/Copia"
"289","AT4G04110",5,"LTR/Copia"
"290","AT4G11760",2,"LTR/Copia"
"291","AT4G19720",1,"SINE/tRNA"
"292","AT4G19730",1,"LTR/Gypsy"
"293","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"294","AT4G19770",2,"LTR/Copia"
"295","AT5G17890",3,"DNA/Helitron"
"296","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"297","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"298","AT5G38550",1,"LINE/L1"
"299","AT5G39330",1,"DNA/Helitron"
"300","AT5G41170",1,"DNA/Helitron"
"301","AT1G12300",1,"LINE/unknown"
"302","AT1G33220",3,"LINE/unknown, LINE/L1"
"303","AT1G34792",1,"LTR/Gypsy"
"304","AT1G34795",2,"LTR/Gypsy"
"305","AT1G34800",3,"LTR/Gypsy"
"306","AT1G34805",1,"LTR/Gypsy"
"307","AT1G34825",4,"LTR/Gypsy"
"308","AT1G34830",2,"LTR/Gypsy"
"309","AT1G34840",1,"LTR/Gypsy"
"310","AT1G35035",1,"LTR/Gypsy"
"311","AT1G45063",1,"DNA/Helitron"
"312","AT1G58242",2,"LTR/unknown, LTR/Copia"
"313","AT1G60095",1,"SINE/tRNA"
"314","AT1G62680",1,"LTR/Copia"
"315","AT1G62910",1,"LINE/unknown"
"316","AT1G62914",1,"LINE/unknown"
"317","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"318","AT1G64030",2,"LTR/unknown, LTR/Copia"
"319","AT2G03913",3,"DNA/Helitron"
"320","AT2G03933",2,"DNA/Helitron"
"321","AT2G03937",3,"DNA/Helitron"
"322","AT2G15010",1,"LTR/Copia"
"323","AT2G24615",1,"DNA/Helitron"
"324","AT2G24625",3,"DNA/Helitron, DNA/MULE-MuDR"
"325","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"326","AT2G29360",1,"SINE/tRNA"
"327","AT3G22040",1,"LTR/unknown"
"328","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"329","AT3G22053",3,"DNA/Helitron"
"330","AT3G60700",1,"LTR/Copia"
"331","AT4G04110",5,"LTR/Copia"
"332","AT4G19720",1,"SINE/tRNA"
"333","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"334","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"335","AT4G19770",2,"LTR/Copia"
"336","AT4G20530",1,"LINE/L1"
"337","AT4G20580",1,"LINE/L1"
"338","AT4G20670",1,"LINE/L1"
"339","AT5G17890",2,"DNA/Helitron"
"340","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"341","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"342","AT5G38550",1,"LINE/L1"
"343","AT5G39330",1,"DNA/Helitron"
"344","AT5G41170",1,"DNA/Helitron"
"345","AT1G12300",1,"LINE/unknown"
"346","AT1G33220",4,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"347","AT1G34792",1,"LTR/Gypsy"
"348","AT1G34795",2,"LTR/Gypsy"
"349","AT1G34800",3,"LTR/Gypsy"
"350","AT1G34805",1,"LTR/Gypsy"
"351","AT1G34810",1,"LTR/Gypsy"
"352","AT1G34825",6,"LTR/Gypsy"
"353","AT1G34830",4,"LTR/Gypsy"
"354","AT1G58242",2,"LTR/unknown, LTR/Copia"
"355","AT1G60095",1,"SINE/tRNA"
"356","AT1G62680",1,"LTR/Copia"
"357","AT1G62910",1,"LINE/unknown"
"358","AT1G62914",1,"LINE/unknown"
"359","AT1G62930",3,"LINE/L1, LTR/Copia, LINE/unknown"
"360","AT1G63400",1,"LINE/unknown"
"361","AT1G64030",2,"LTR/unknown, LTR/Copia"
"362","AT2G15010",1,"LTR/Copia"
"363","AT2G24615",1,"DNA/Helitron"
"364","AT2G24625",1,"DNA/Helitron"
"365","AT2G29350",1,"SINE/tRNA"
"366","AT2G29360",1,"SINE/tRNA"
"367","AT3G22040",1,"LTR/unknown"
"368","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"369","AT3G22053",3,"DNA/Helitron"
"370","AT3G60700",1,"LTR/Copia"
"371","AT4G04110",4,"LTR/Copia"
"372","AT4G19720",1,"SINE/tRNA"
"373","AT4G19730",1,"LTR/Gypsy"
"374","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"375","AT4G19770",2,"LTR/Copia"
"376","AT5G17890",3,"DNA/Helitron"
"377","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"378","AT5G38550",1,"LINE/L1"
"379","AT5G39330",1,"DNA/Helitron"
"380","AT5G41170",1,"LTR/Copia"
"381","AT1G12300",1,"LINE/unknown"
"382","AT1G27260",1,"LINE/unknown"
"383","AT1G33220",2,"LINE/L1"
"384","AT1G34792",1,"LTR/Gypsy"
"385","AT1G34795",2,"LTR/Gypsy"
"386","AT1G34800",2,"LTR/Gypsy"
"387","AT1G34825",2,"LTR/Gypsy"
"388","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"389","AT1G60095",1,"SINE/tRNA"
"390","AT1G62910",2,"SINE/tRNA, LTR/Copia"
"391","AT1G62914",1,"LINE/unknown"
"392","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"393","AT2G03913",1,"DNA/Helitron"
"394","AT2G15010",1,"LTR/Copia"
"395","AT2G24615",2,"DNA/Helitron"
"396","AT2G24625",1,"DNA/Helitron"
"397","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"398","AT2G29360",1,"SINE/tRNA"
"399","AT3G22040",1,"LTR/unknown"
"400","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"401","AT3G22053",3,"DNA/Helitron"
"402","AT3G60700",1,"LTR/Copia"
"403","AT4G04110",5,"LTR/Copia"
"404","AT4G19720",1,"SINE/tRNA"
"405","AT4G19730",1,"LTR/Gypsy"
"406","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"407","AT4G19760",2,"SINE/tRNA, LTR/Ty3"
"408","AT4G19770",2,"LTR/Copia"
"409","AT4G20530",2,"DNA/Helitron"
"410","AT4G20580",2,"DNA/Helitron"
"411","AT4G20670",2,"DNA/Helitron"
"412","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"413","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"414","AT5G38550",1,"LINE/L1"
"415","AT5G39330",1,"DNA/Helitron"
"416","AT5G41170",1,"DNA/Helitron"
"417","AT1G12300",1,"LINE/unknown"
"418","AT1G33220",3,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"419","AT1G34795",1,"LTR/Gypsy"
"420","AT1G34800",1,"LTR/Gypsy"
"421","AT1G34825",1,"LTR/Gypsy"
"422","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"423","AT1G60095",1,"SINE/tRNA"
"424","AT1G62910",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"425","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"426","AT2G15010",3,"LTR/Copia"
"427","AT2G24615",2,"DNA/Helitron"
"428","AT2G24625",3,"LTR/Gypsy, LTR/Ty3, DNA/Helitron"
"429","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"430","AT2G29360",1,"SINE/tRNA"
"431","AT3G22040",1,"LTR/unknown"
"432","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"433","AT3G22053",3,"DNA/Helitron"
"434","AT3G60700",1,"LTR/Copia"
"435","AT4G04110",5,"LTR/Copia"
"436","AT4G11760",2,"LTR/Copia"
"437","AT4G19720",1,"SINE/tRNA"
"438","AT4G19730",2,"LTR/Gypsy"
"439","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"440","AT4G19770",2,"LTR/Copia"
"441","AT5G17890",2,"DNA/Helitron"
"442","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"443","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"444","AT5G38550",1,"LINE/L1"
"445","AT5G39330",1,"DNA/Helitron"
"446","AT5G39365",2,"LTR/Copia"
"447","AT5G41170",1,"DNA/Helitron"
"448","AT5G44430",3,"DNA/Helitron"
"449","AT1G12300",1,"LINE/unknown"
"450","AT1G33220",3,"LINE/unknown, LINE/L1"
"451","AT1G34792",1,"LTR/Gypsy"
"452","AT1G34795",2,"LTR/Gypsy"
"453","AT1G34800",3,"LTR/Gypsy"
"454","AT1G34805",4,"DNA/Helitron, LTR/Gypsy"
"455","AT1G34825",7,"DNA/Helitron, LTR/Gypsy"
"456","AT1G34830",5,"DNA/Helitron, LTR/Gypsy"
"457","AT1G34840",4,"DNA/Helitron, LTR/Gypsy"
"458","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"459","AT1G60095",1,"SINE/tRNA"
"460","AT1G62680",1,"LTR/Copia"
"461","AT1G62910",1,"LINE/unknown"
"462","AT1G62914",1,"LINE/unknown"
"463","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"464","AT2G15010",1,"LTR/Copia"
"465","AT2G24615",2,"DNA/Helitron"
"466","AT2G24625",1,"DNA/Helitron"
"467","AT2G29350",2,"LINE/unknown, SINE/tRNA"
"468","AT2G29360",1,"SINE/tRNA"
"469","AT3G22040",1,"LTR/unknown"
"470","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"471","AT3G22053",3,"DNA/Helitron"
"472","AT3G60700",1,"LINE/unknown"
"473","AT4G04110",5,"LTR/Copia"
"474","AT4G19720",1,"SINE/tRNA"
"475","AT4G19730",3,"DNA/MULE-MuDR, LTR/Gypsy"
"476","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"477","AT4G19770",2,"LTR/Copia"
"478","AT4G20530",1,"DNA/Helitron"
"479","AT4G20580",1,"DNA/Helitron"
"480","AT4G20670",1,"DNA/Helitron"
"481","AT5G17890",3,"DNA/Helitron"
"482","AT5G34828",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"483","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"484","AT5G38550",2,"LINE/L1"
"485","AT5G39330",1,"DNA/Helitron"
"486","AT5G41170",1,"DNA/Helitron"
"487","AT1G12300",1,"LINE/unknown"
"488","AT1G33220",4,"LTR/Gypsy, LTR/Ty3, LINE/L1"
"489","AT1G34792",1,"LTR/Gypsy"
"490","AT1G34795",2,"LTR/Gypsy"
"491","AT1G34800",3,"LTR/Gypsy"
"492","AT1G34805",1,"LTR/Gypsy"
"493","AT1G34825",4,"LTR/Gypsy"
"494","AT1G34830",2,"LTR/Gypsy"
"495","AT1G45063",1,"DNA/Helitron"
"496","AT1G58242",2,"LTR/unknown, LTR/Copia"
"497","AT1G60095",2,"DNA/Helitron, SINE/tRNA"
"498","AT1G62170",2,"LTR/Copia"
"499","AT1G62680",1,"LTR/Copia"
"500","AT1G62910",1,"LINE/unknown"
"501","AT1G62930",3,"SINE/tRNA, LTR/Copia, LINE/unknown"
"502","AT2G03913",1,"DNA/Helitron"
"503","AT2G15010",1,"LTR/Copia"
"504","AT2G24615",1,"DNA/Helitron"
"505","AT2G24625",3,"DNA/Helitron, LTR/Ty3, LTR/Gypsy"
"506","AT2G29350",1,"SINE/tRNA"
"507","AT2G29360",1,"SINE/tRNA"
"508","AT3G22040",1,"LTR/unknown"
"509","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"510","AT3G22053",3,"DNA/Helitron"
"511","AT4G04110",5,"LTR/Copia"
"512","AT4G19720",1,"SINE/tRNA"
"513","AT4G19730",1,"LTR/Gypsy"
"514","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"515","AT4G19770",2,"LTR/Copia"
"516","AT5G17890",3,"DNA/Helitron"
"517","AT5G34828",5,"LTR/unknown, LTR/Copia, LTR/Ty3"
"518","AT5G36910",4,"LTR/unknown, LTR/Copia"
"519","AT5G38550",1,"LINE/L1"
"520","AT5G39330",1,"DNA/Helitron"
"521","AT5G39365",2,"LTR/Copia"
"522","AT5G41170",1,"DNA/Helitron"
"523","AT5G44430",3,"DNA/Helitron"
"524","AT1G12300",1,"LINE/unknown"
"525","AT1G33220",3,"LINE/unknown, LINE/L1"
"526","AT1G34792",1,"LTR/Gypsy"
"527","AT1G34795",2,"LTR/Gypsy"
"528","AT1G34800",3,"LTR/Gypsy"
"529","AT1G34805",3,"DNA/Helitron, LTR/Gypsy"
"530","AT1G34825",6,"DNA/Helitron, LTR/Gypsy"
"531","AT1G34830",4,"DNA/Helitron, LTR/Gypsy"
"532","AT1G34840",3,"DNA/Helitron, LTR/Gypsy"
"533","AT1G34930",1,"LTR/Gypsy"
"534","AT1G58242",4,"LTR/Ty3, LTR/unknown, LTR/Copia"
"535","AT1G60095",1,"SINE/tRNA"
"536","AT1G62910",1,"LINE/unknown"
