"assembly","gene","scaffold","start","end","length","max_length","copy","start_buffered","end_buffered","SW_score","perc_div","perc_del","perc_ins","te_start","te_end","query_left","strand","repeat_name","repeat_class","repeat_start","repeat_end","repeat_left","ID","V16"
"73_3a","AL8G14370","scaffold_8_RagTag",2261583,2266512,4929,6260,1,2260583,2267512,3724,32.1,3.2,4.7,2258927,2261198,"(20450259)","C","ATCOPIA35_I","LTR/Copia","(1818)",2393,"82",210973,""
"73_3a","AL8G14370","scaffold_8_RagTag",2261583,2266512,4929,6260,1,2260583,2267512,245,17.3,0,1.9,2261329,2261381,"(20450076)","C","ATCOPIA35_LTR","LTR/Copia","(9)",272,"221",210975,""
"73_3a","AL7G34270","scaffold_7_RagTag",10068670,10071979,3309,4132.5,1,10067670,10072979,506,14.3,0.8,1.9,10072732,10072842,"(18461467)","C","ATREP11","DNA/Helitron","(298)",755,"677",173967,""
"73_3a","AL7G34280","scaffold_7_RagTag",10073337,10075042,1705,2120,1,10072337,10076042,506,14.3,0.8,1.9,10072732,10072842,"(18461467)","C","ATREP11","DNA/Helitron","(298)",755,"677",173967,""
"73_3a","AL7G34280","scaffold_7_RagTag",10073337,10075042,1705,2120,1,10072337,10076042,1863,17,2.4,0.8,10075226,10075598,"(18458711)","+","ATHILA4D_LTR","LTR/Ty3","1",379,"(786)",173969,""
"73_3a","AL4G22780","scaffold_3_RagTag",35031473,35035463,3990,5388.75,1,35030473,35036463,1220,16.2,4.2,0.9,35031443,35031753,"(1279684)","+","HELITRONY3","DNA/Helitron","275",595,"(4571)",90921,""
"73_3a","AL4G22780","scaffold_3_RagTag",35031473,35035463,3990,5388.75,1,35030473,35036463,417,21,0.8,0,35035340,35035458,"(1275979)","+","HELITRONY3","DNA/Helitron","588",707,"(4459)",90924,""
"73_3a","AL5G18790","scaffold_5_RagTag",15984113,15986195,2082,3212.5,1,15983113,15987195,523,19.2,2.6,4,15983002,15983153,"(6724350)","+","ATGP10LTR","LTR/Ty3","165",314,"(392)",140851,""
"73_3a","AL5G18790","scaffold_5_RagTag",15984113,15986195,2082,3212.5,1,15983113,15987195,710,18.7,11.7,12.7,15983294,15983882,"(6723621)","+","TE_00000991_LTR","LTR/unknown","1",584,"(7)",140854,""
"73_3a","AL5G18790","scaffold_5_RagTag",15984113,15986195,2082,3212.5,1,15983113,15987195,732,18.4,12.1,13,15985300,15985888,"(6721615)","+","TE_00000991_LTR","LTR/unknown","1",584,"(7)",140856,""
"73_3a","AL5G35460","scaffold_5_RagTag",18496215,18497096,881,1103.75,1,18495215,18498096,910,22.6,6.2,9.7,18495055,18495535,"(4211968)","C","ATCOPIA66LTR","LTR/Copia","(43)",466,"1",142695,""
"73_3a","AL7G51140","scaffold_7_RagTag",23027501,23028304,803,1003.75,1,23026501,23029304,316,19,0,5.3,23028501,23028600,"(5505709)","C","ATCOPIA30_I","LTR/Copia","(2880)",989,"895",192652,"*"
"73_3a","AL7G51140","scaffold_7_RagTag",23027501,23028304,803,1003.75,1,23026501,23029304,1546,15.4,2,9,23028527,23028869,"(5505440)","C","AtSB6","SINE/tRNA","(12)",321,"1",192653,""
"73_3a","AL6G31950","scaffold_6_RagTag",8632816,8633816,1000,1233.75,1,8631816,8634816,6718,32.7,2.8,3.4,8627878,8632272,"(15064527)","+","TA11","LINE/L1","1387",5755,"(221)",150730,""
"73_3a","AL1G65230","scaffold_2_RagTag",5042724,5042870,146,198.75,1,5041724,5043870,2001,18.6,6.2,3,5041327,5041879,"(16184199)","C","ATCOPIA43LTR","LTR/Copia","(0)",570,"1",29174,""
"73_3a","AL1G65230","scaffold_2_RagTag",5042724,5042870,146,198.75,1,5041724,5043870,942,17.8,1.1,0.9,5043640,5043886,"(16182192)","+","ATREP4","DNA/Helitron","1674",1884,"(356)",29175,""
"73_3a","AL2G18240","scaffold_4_RagTag",11613299,11613613,314,396.25,3,11612299,11614613,356,22,10.3,3.2,11612185,11612358,"(11986402)","+","TE_00000494_LTR","LTR/Gypsy","319",504,"(2)",114341,""
"73_3a","AL2G18220","scaffold_2_RagTag",5020778,5021092,314,395,1,5019778,5022092,515,11.2,5.6,0,5021690,5021778,"(16204300)","+","HELITRONY1D","DNA/Helitron","1",94,"(2447)",29155,""
"73_3a","AL2G18220","scaffold_2_RagTag",5020778,5021092,314,395,1,5019778,5022092,887,12.1,1.6,1.6,5021948,5022140,"(16203938)","+","ATREP5","DNA/Helitron","269",461,"(1925)",29156,""
"73_3a","AL2G18240","scaffold_2_RagTag",5020777,5021093,316,396.25,1,5019777,5022093,515,11.2,5.6,0,5021690,5021778,"(16204300)","+","HELITRONY1D","DNA/Helitron","1",94,"(2447)",29155,""
"73_3a","AL2G18240","scaffold_2_RagTag",5020777,5021093,316,396.25,1,5019777,5022093,887,12.1,1.6,1.6,5021948,5022140,"(16203938)","+","ATREP5","DNA/Helitron","269",461,"(1925)",29156,""
"73_3a","AL5G19550","scaffold_5_RagTag",5370088,5374136,4048,5086.25,1,5369088,5375136,512,22.6,0,0.8,5369319,5369443,"(17338060)","C","HELITRONY3","DNA/Helitron","(888)",4278,"4155",127864,""
"73_3a","AL5G19550","scaffold_5_RagTag",5370088,5374136,4048,5086.25,1,5369088,5375136,349,30,3.8,5.8,5374960,5375277,"(17332226)","C","ATLINE1_3A","LINE/L1","(6)",324,"13",127867,""
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,406,12.7,0,0,22281128,22281190,"(6253119)","C","AT9TSD1","DNA/MULE-MuDR","(978)",1238,"1176",191978,""
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,2206,15.2,6.1,1.2,22281500,22281971,"(6252338)","C","AT9TSD1","DNA/MULE-MuDR","(1347)",869,"375",191978,""
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,1476,15.2,10.8,1.8,22282917,22283277,"(6251032)","C","ATREP3","DNA/Helitron","(0)",2097,"1705",191981,""
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,327,15.7,0,0,22283275,22283344,"(6250965)","C","ATREP3","DNA/Helitron","(153)",1944,"1875",191982,"*"
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,352,15.2,4.9,3.6,22283351,22283432,"(6250877)","C","ATREP3","DNA/Helitron","(411)",1686,"1604",191981,""
"73_3a","AL7G52290","scaffold_7_RagTag",22274710,22285803,11093,12838.75,1,22273710,22286803,436,27.6,11.2,4.4,22283910,22284247,"(6250062)","C","ATLINE1_5","LINE/L1","(3711)",3124,"2765",191984,""
"73_3a","AL7G52310","scaffold_7_RagTag",22206573,22211367,4794,5685,2,22205573,22212367,347,26.8,0,0,22205602,22205698,"(6328611)","C","ATLINE1_3A","LINE/L1","(185)",145,"49",191910,""
"73_3a","AL7G52380","scaffold_7_RagTag",22240254,22245507,5253,5961.25,3,22239254,22246507,352,9.2,2.6,2.6,22239401,22239478,"(6294831)","C","ATLINE1_3A","LINE/L1","(0)",330,"253",191948,""
"73_3a","AL7G52380","scaffold_7_RagTag",22240254,22245507,5253,5961.25,3,22239254,22246507,438,22.8,0,0,22239720,22239820,"(6294489)","C","ATLINE1_3A","LINE/L1","(185)",145,"45",191949,""
"73_3a","AL7G52380","scaffold_7_RagTag",22240254,22245507,5253,5961.25,3,22239254,22246507,1356,13.6,9.7,2.3,22240480,22240758,"(6293551)","C","ATREP3","DNA/Helitron","(0)",2097,"1799",191951,""
"73_3a","AL7G52380","scaffold_7_RagTag",22240254,22245507,5253,5961.25,3,22239254,22246507,1259,13.6,3.7,0.7,22240759,22241113,"(6293196)","C","ATREP1","DNA/Helitron","(136)",752,"312",191951,""
"73_3a","AL7G52380","scaffold_7_RagTag",22206410,22211411,5001,5961.25,2,22205410,22212411,347,26.8,0,0,22205602,22205698,"(6328611)","C","ATLINE1_3A","LINE/L1","(185)",145,"49",191910,""
"73_3a","AL7G52410","scaffold_7_RagTag",22272368,22278209,5841,9336.25,2,22271368,22279209,422,22.8,0,0,22272340,22272440,"(6261869)","C","ATLINE1_3A","LINE/L1","(185)",145,"45",191969,""
"73_3a","AL7G52410","scaffold_7_RagTag",22272368,22278209,5841,9336.25,2,22271368,22279209,1217,17.7,6.5,5.8,22272574,22272998,"(6261311)","C","ATCOPIA37_LTR","LTR/Copia","(82)",605,"8",191970,""
"73_3a","AL7G52410","scaffold_7_RagTag",22308445,22314383,5938,9336.25,3,22307445,22315383,278,10.7,3.9,2.6,22307964,22308040,"(6226269)","C","ATLINE1_3A","LINE/L1","(0)",330,"253",191998,""
"73_3a","AL7G52410","scaffold_7_RagTag",22308445,22314383,5938,9336.25,3,22307445,22315383,259,11.1,0,2.2,22308161,22308206,"(6226103)","C","ATLINE1_3A","LINE/L1","(179)",151,"107",191998,""
"73_3a","AL7G52410","scaffold_7_RagTag",22308445,22314383,5938,9336.25,3,22307445,22315383,307,26.6,6.6,6.9,22308655,22308973,"(6225336)","C","ATLINE1_3A","LINE/L1","(0)",330,"13",191999,""
"73_3a","AL7G52410","scaffold_7_RagTag",22308445,22314383,5938,9336.25,3,22307445,22315383,239,12.8,0,0,22309212,22309250,"(6225059)","C","ATLINE1_3A","LINE/L1","(185)",145,"107",192000,""
"73_3a","AL7G52410","scaffold_7_RagTag",22259878,22266198,6320,9336.25,1,22258878,22267198,2301,24.9,4.5,4.1,22258073,22259278,"(6275031)","+","ATHILA4D_LTR","LTR/Ty3","1",1165,"(0)",191962,""
"73_3a","AL6G37960","scaffold_6_RagTag",11823121,11825949,2828,3478.75,1,11822121,11826949,267,29.5,6.9,5.3,11822169,11822486,"(11874313)","+","ATLINE2","LINE/L1","4991",5313,"(5)",153294,""
"73_3a","AL6G37960","scaffold_6_RagTag",11823121,11825949,2828,3478.75,1,11822121,11826949,1129,12.7,7.2,0.9,11826650,11826975,"(11869824)","+","ATREP1","DNA/Helitron","312",738,"(150)",153297,""
"73_3a","AL6G37970","scaffold_6_RagTag",11823124,11824365,1241,1582.5,1,11822124,11825365,267,29.5,6.9,5.3,11822169,11822486,"(11874313)","+","ATLINE2","LINE/L1","4991",5313,"(5)",153294,""
"73_3a","AL6G37980","scaffold_6_RagTag",11824111,11825948,1837,2268.75,1,11823111,11826948,1129,12.7,7.2,0.9,11826650,11826975,"(11869824)","+","ATREP1","DNA/Helitron","312",738,"(150)",153297,""
"73_3a","AL8G21140","scaffold_8_RagTag",11358752,11361599,2847,3598.75,1,11357752,11362599,1569,12.1,0.4,3,11362168,11362440,"(11349017)","+","TE_00000859","DNA/Helitron","3099",3364,"(2406)",225332,""
"73_3a","AL2G11060","scaffold_2_RagTag",497131,498630,1499,1902.5,1,496131,499630,299,20,11,1,499403,499493,"(20726585)","C","ATREP10D","DNA/Helitron","(677)",100,"1",25333,""
"73_3a","AL6G43420","scaffold_6_RagTag",18389730,18391285,1555,1982.5,1,18388730,18392285,1637,29.9,1.1,1.8,18388788,18389413,"(5307386)","C","ATLINE2","LINE/L1","(4464)",854,"233",162884,""
"73_3a","AL2G15130","scaffold_2_RagTag",2639634,2641718,2084,3092.5,1,2638634,2642718,8532,30,2,2.6,2635159,2639266,"(18586812)","C","ATCOPIA64_I","LTR/Copia","(2)",4143,"62",27075,""
"73_3a","AL2G15130","scaffold_2_RagTag",2639634,2641718,2084,3092.5,1,2638634,2642718,542,15.2,5.1,8.3,2639327,2639622,"(18586456)","C","ATCOPIA64LTR","LTR/Copia","(5)",299,"1",27076,""
"73_3a","AL1G59840","scaffold_1_RagTag",24115800,24117161,1361,1685,1,24114800,24118161,273,22.8,0,2.2,24115637,24115730,"(2389881)","+","HELITRONY3","DNA/Helitron","4166",4257,"(909)",23152,""
"73_3a","AL1G59840","scaffold_1_RagTag",24115800,24117161,1361,1685,1,24114800,24118161,260,23.4,3.4,5.2,24115731,24115748,"(2389863)","C","ARNOLDY1","DNA/MULE-MuDR","(1821)",110,"1",23135,""
"73_3a","AL1G59840","scaffold_1_RagTag",24115800,24117161,1361,1685,1,24114800,24118161,1276,15.1,6.6,11.1,24117773,24118166,"(2387445)","C","TE_00001458_INT","LTR/unknown","(102)",936,"559",23153,""
"73_3a","AL6G46470","scaffold_6_RagTag",20127415,20128753,1338,1615,1,20126415,20129753,481,26.3,5.1,0,20126546,20126720,"(3570079)","+","ATLINE1_1","LINE/L1","5668",5851,"(0)",164478,""
"73_3a","AL6G46470","scaffold_6_RagTag",20127415,20128753,1338,1615,1,20126415,20129753,2103,17.2,2.5,0.4,20126734,20127222,"(3569577)","C","HELITRONY3","DNA/Helitron","(4395)",771,"273",164479,""
"73_3a","AL8G22560","scaffold_8_RagTag",12519021,12519288,267,335,1,12518021,12520288,678,21.9,11.8,7.3,12519844,12520026,"(10191431)","+","HELITRONY3","DNA/Helitron","3573",4276,"(890)",226372,""
"73_3a","AL8G22560","scaffold_8_RagTag",12519021,12519288,267,335,1,12518021,12520288,378,20,5,11.9,12519897,12520174,"(10191283)","C","HELITRONY3","DNA/Helitron","(1207)",3959,"3699",226373,"*"
"73_3a","AL7G50290","scaffold_7_RagTag",23078371,23078633,262,328.75,1,23077371,23079633,418,14.8,0,1.1,23078142,23078230,"(5456079)","C","HELITRONY3","DNA/Helitron","(5078)",88,"1",192703,""
"73_3a","AL7G50960","scaffold_7_RagTag",23078267,23079129,862,1047.5,1,23077267,23080129,418,14.8,0,1.1,23078142,23078230,"(5456079)","C","HELITRONY3","DNA/Helitron","(5078)",88,"1",192703,""
"73_3a","AL7G51070","scaffold_7_RagTag",23078267,23079136,869,943.75,1,23077267,23080136,418,14.8,0,1.1,23078142,23078230,"(5456079)","C","HELITRONY3","DNA/Helitron","(5078)",88,"1",192703,""
"73_3a","AL1G35130","scaffold_1_RagTag",9499286,9499615,329,412.5,1,9498286,9500615,1018,16.4,1.4,1.4,9498976,9499197,"(17006414)","+","Copia-1_AT-LTR","LTR/Copia","1",222,"(8)",5737,""
"73_3a","AL1G35270","scaffold_1_RagTag",9499295,9499546,251,402.5,1,9498295,9500546,1018,16.4,1.4,1.4,9498976,9499197,"(17006414)","+","Copia-1_AT-LTR","LTR/Copia","1",222,"(8)",5737,""
"73_3a","AL2G11070","scaffold_2_RagTag",522385,523907,1522,1901.25,1,521385,524907,1268,15.1,9.7,2.3,521242,521520,"(20704558)","C","ATREP3","DNA/Helitron","(0)",2097,"1799",25352,""
"73_3a","AL2G11070","scaffold_2_RagTag",522385,523907,1522,1901.25,1,521385,524907,1128,13.2,8,0.6,521534,521862,"(20704216)","C","ATREP1","DNA/Helitron","(136)",752,"312",25352,""
"73_3a","AL6G43560","scaffold_6_RagTag",18487371,18489183,1812,1978.75,1,18486371,18490183,446,17.7,9.8,1.4,18488026,18488157,"(5208642)","C","ATLINE1A","LINE/unknown","(0)",2254,"2112",162986,""
"73_3a","AL6G43560","scaffold_6_RagTag",18487371,18489183,1812,1978.75,1,18486371,18490183,404,21.7,0,8.6,18489698,18489823,"(5206976)","C","ATREP4","DNA/Helitron","(0)",2240,"2125",162989,""
"73_3a","AL8G19420","scaffold_8_RagTag",5862312,5862692,380,475,3,5861312,5863692,2398,9.1,0.3,1.2,5863021,5863355,"(16848102)","C","ATCOPIN_LTR","LTR/unknown","(0)",356,"25",214285,""
"73_3a","AL8G19430","scaffold_8_RagTag",5862312,5862686,374,477.5,3,5861312,5863686,2398,9.1,0.3,1.2,5863021,5863355,"(16848102)","C","ATCOPIN_LTR","LTR/unknown","(0)",356,"25",214285,""
"AL08_v2_f","AL2G10190","scaffold_2_RagTag",118368,120429,2061,2587.5,1,117368,121429,232,5.7,8.6,0,120848,120882,"(21485475)","+","ATCOPIA71_I","LTR/Copia","3332",3369,"(1819)",32116,""
"AL08_v2_f","AL2G12460","scaffold_2_RagTag",1196166,1200383,4217,6621.25,1,1195166,1201383,6242,31.3,1.4,1.4,1200388,1202875,"(20403482)","C","ATLINEIII","LINE/unknown","(508)",4900,"2413",32915,""
"AL08_v2_f","AL2G12500","scaffold_2_RagTag",1197350,1206378,9028,9907.5,1,1196350,1207378,6242,31.3,1.4,1.4,1200388,1202875,"(20403482)","C","ATLINEIII","LINE/unknown","(508)",4900,"2413",32915,""
"AL08_v2_f","AL2G12500","scaffold_2_RagTag",1197350,1206378,9028,9907.5,1,1196350,1207378,584,30.2,3.9,8.1,1202891,1203060,"(20403297)","+","ATLINEIII","LINE/unknown","4914",5407,"(0)",32916,""
"AL08_v2_f","AL2G12500","scaffold_2_RagTag",1197350,1206378,9028,9907.5,1,1196350,1207378,860,25.2,1.2,5.5,1203061,1203404,"(20402953)","+","ATLINE1_3A","LINE/L1","1",330,"(0)",32917,""
"AL08_v2_f","AL2G13140","scaffold_2_RagTag",1204018,1207010,2992,4956.25,1,1203018,1208010,584,30.2,3.9,8.1,1202891,1203060,"(20403297)","+","ATLINEIII","LINE/unknown","4914",5407,"(0)",32916,""
"AL08_v2_f","AL2G13140","scaffold_2_RagTag",1204018,1207010,2992,4956.25,1,1203018,1208010,860,25.2,1.2,5.5,1203061,1203404,"(20402953)","+","ATLINE1_3A","LINE/L1","1",330,"(0)",32917,""
"AL08_v2_f","AL4G23850","scaffold_4_RagTag",12808027,12809256,1229,1577.5,1,12807027,12810256,381,23.5,1.7,0.8,12809878,12809993,"(9831976)","+","TE_00000859","DNA/Helitron","1137",1253,"(4517)",107051,""
"AL08_v2_f","AL84U10010","scaffold_4_RagTag",12801884,12803801,1917,2850,1,12800884,12804801,902,19.7,5.1,9.9,12800987,12801788,"(9840181)","+","ATREP3","DNA/Helitron","251",1801,"(296)",107050,""
"AL08_v2_f","AL7G47870","scaffold_7_RagTag",25061497,25065720,4223,4371.25,1,25060497,25066720,2116,9.3,2.3,6.6,25065954,25066300,"(241607)","+","AtSB6","SINE/tRNA","1",333,"(0)",188297,""
"AL08_v2_f","AL7G47870","scaffold_7_RagTag",25061497,25065720,4223,4371.25,1,25060497,25066720,444,13.5,0,3.4,25066224,25066315,"(241592)","+","ATCOPIA30_I","LTR/Copia","904",992,"(2877)",188298,"*"
"AL08_v2_f","AL7G47870","scaffold_7_RagTag",25061497,25065720,4223,4371.25,1,25060497,25066720,423,18.8,6.1,2.7,25066335,25066514,"(241393)","+","TE_00000859","DNA/Helitron","903",1088,"(4682)",188299,""
"AL08_v2_f","AL7G47890","scaffold_7_RagTag",25029145,25032293,3148,4873.75,1,25028145,25033293,13178,27.6,1,2.2,25024004,25028259,"(279648)","+","ATGP3A_I","LTR/Ty3","587",4794,"(5)",188275,""
"AL08_v2_f","AL7G47890","scaffold_7_RagTag",25029145,25032293,3148,4873.75,1,25028145,25033293,387,28.2,3.9,6.9,25028264,25028545,"(279362)","+","ATGP3LTR","LTR/Ty3","1",274,"(53)",188275,"*"
"AL08_v2_f","AL8G13580","scaffold_8_RagTag",1864674,1870705,6031,8052.5,1,1863674,1871705,517,26.2,4.4,0.9,1871242,1871445,"(19239509)","C","VANDAL17","DNA/MULE-MuDR","(0)",8911,"8701",190076,""
"AL08_v2_f","AL8G14230","scaffold_8_RagTag",706148,711083,4935,6460,1,705148,712083,420,32.3,0.7,2.9,709056,709357,"(20401597)","C","ATCOPIA58_I","LTR/Copia","(6747)",1216,"928",189044,""
"AL08_v2_f","AL8G14230","scaffold_8_RagTag",706148,711083,4935,6460,1,705148,712083,680,33.2,1.8,1.8,709554,710026,"(20400928)","C","ATCOPIA58_I","LTR/Copia","(4099)",702,"226",189044,""
"AL08_v2_f","AL8G14370","scaffold_8_RagTag",2219384,2223836,4452,6260,1,2218384,2224836,442,13.5,7.4,3.9,2223847,2224031,"(18886923)","C","ATREP5","DNA/Helitron","(0)",2386,"2333",190401,""
"AL08_v2_f","AL8G14370","scaffold_8_RagTag",2219384,2223836,4452,6260,1,2218384,2224836,689,16.2,3.2,1.9,2224032,2224273,"(18886681)","C","HELITRONY1C","DNA/Helitron","(722)",2336,"2138",190402,""
"AL08_v2_f","AL7G34270","scaffold_7_RagTag",9946064,9949320,3256,4132.5,1,9945064,9950320,506,14.3,0.8,1.9,9950074,9950184,"(15357723)","C","ATREP11","DNA/Helitron","(298)",755,"677",165970,""
"AL08_v2_f","AL7G34280","scaffold_7_RagTag",9950679,9952385,1706,2120,1,9949679,9953385,506,14.3,0.8,1.9,9950074,9950184,"(15357723)","C","ATREP11","DNA/Helitron","(298)",755,"677",165970,""
"AL08_v2_f","AL7G34280","scaffold_7_RagTag",9950679,9952385,1706,2120,1,9949679,9953385,1936,17.3,0.8,0.8,9952569,9952947,"(15354960)","+","ATHILA4D_LTR","LTR/Ty3","1",379,"(786)",165972,""
"AL08_v2_f","AL3G50380","scaffold_3_RagTag",21167636,21168863,1227,1651.25,1,21166636,21169863,2348,7.7,2.1,0.9,21169182,21169510,"(2601078)","+","AtSB6","SINE/tRNA","1",333,"(0)",81523,""
"AL08_v2_f","AL6G41690","scaffold_6_RagTag",23462942,23464086,1144,1416.25,5,23461942,23465086,290,24.6,0,0,23461912,23461980,"(715744)","C","HELITRON5","DNA/Helitron","(4949)",7546,"7478",158673,""
"AL08_v2_f","AL6G41700","scaffold_6_RagTag",23462942,23464088,1146,1418.75,5,23461942,23465088,290,24.6,0,0,23461912,23461980,"(715744)","C","HELITRON5","DNA/Helitron","(4949)",7546,"7478",158673,""
"AL08_v2_f","AL6G51870","scaffold_6_RagTag",23462940,23464096,1156,1465,5,23461940,23465096,290,24.6,0,0,23461912,23461980,"(715744)","C","HELITRON5","DNA/Helitron","(4949)",7546,"7478",158673,""
