Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_id,Category,Sub-category
Q9T0E3,DF151_ARATH,reviewed,Defensin-like protein 151 (Low-molecular-weight cysteine-rich protein 17) (Protein LCR17),LCR17 At4g11760 T5C23.190,Arabidopsis thaliana (Mouse-ear cress),96,AT4G11760.1,Defense & Resistance,defensin
A7REE4,A7REE4_ARATH,unreviewed,Plant thionin family protein,At1g21925,Arabidopsis thaliana (Mouse-ear cress),100,AT1G21925.1,Defense & Resistance,thionin
A8MR37,A8MR37_ARATH,unreviewed,Plant thionin family protein,At1g21928,Arabidopsis thaliana (Mouse-ear cress),100,AT1G21928.1,Defense & Resistance,thionin
Q1ECR9,RLF8_ARATH,reviewed,Protein RALF-like 8,RALFL8 At1g61563 T25B24,Arabidopsis thaliana (Mouse-ear cress),82,AT1G61563.1,Uncategorized,
A0A178W9Y1,A0A178W9Y1_ARATH,unreviewed,(thale cress) hypothetical protein (RALFL8),AXX17_At1g54780 AT9943_LOCUS4344 C24_LOCUS5016,Arabidopsis thaliana (Mouse-ear cress),82,AT1G61563.1,Uncharacterized,hypothetical protein
Q3ECL0,RLF9_ARATH,reviewed,Protein RALF-like 9,RALFL9 At1g61566 T25B24,Arabidopsis thaliana (Mouse-ear cress),75,AT1G61566.1,Uncategorized,
A0A178WI89,A0A178WI89_ARATH,unreviewed,(thale cress) hypothetical protein (RALFL9),AXX17_At1g54790 AT9943_LOCUS4345,Arabidopsis thaliana (Mouse-ear cress),75,AT1G61566.1,Uncharacterized,hypothetical protein
D7MNP0,D7MNP0_ARALL,unreviewed,Uncharacterized protein,ARALYDRAFT_494981,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),70,AT1G61566.1,Uncharacterized,uncharacterized
A8MQM7,RLF15_ARATH,reviewed,Protein RALF-like 15,RALFL15 At2g22055 T16B14,Arabidopsis thaliana (Mouse-ear cress),79,AT2G22055.1,Uncategorized,
A0A654EV22,A0A654EV22_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS8585 C24_LOCUS8436,Arabidopsis thaliana (Mouse-ear cress),79,AT2G22055.1,Uncharacterized,uncharacterized
Q9S9J9,Q9S9J9_ARATH,unreviewed,Protein kinase superfamily protein (T23K8.10 protein),ZRK13 At1g65190 T23K8.10 T23K8_10,Arabidopsis thaliana (Mouse-ear cress),396,AT1G65190.1,Signaling & Transport,kinase
O80795,Y1652_ARATH,reviewed,Probable inactive receptor-like protein kinase At1g65250,At1g65250 T8F5.1,Arabidopsis thaliana (Mouse-ear cress),372,AT1G65250.1,Signaling & Transport,kinase
O64798,ZRK12_ARATH,reviewed,Inactive serine/threonine-protein kinase ZRK12,ZRK12 At1g67470 F12B7.2 T1F15.6,Arabidopsis thaliana (Mouse-ear cress),389,AT1G67470.1,Signaling & Transport,kinase
A0A178VE74,ZRK4_ARATH,reviewed,Serine/threonine-protein kinase ZRK4 (EC 2.7.11.1),ZRK4 At3g57740 F15B8.70,Arabidopsis thaliana (Mouse-ear cress),362,AT1G67470.1,Signaling & Transport,kinase
Q0WSK8,ZRK15_ARATH,reviewed,Non-functional pseudokinase ZRK15,ZRK15 At3g57640 F15B8.170,Arabidopsis thaliana (Mouse-ear cress),356,AT1G67470.1,Signaling & Transport,kinase
O80795,Y1652_ARATH,reviewed,Probable inactive receptor-like protein kinase At1g65250,At1g65250 T8F5.1,Arabidopsis thaliana (Mouse-ear cress),372,AT1G67470.1,Signaling & Transport,kinase
A0A7G2E390,A0A7G2E390_ARATH,unreviewed,(thale cress) hypothetical protein,AT9943_LOCUS4657,Arabidopsis thaliana (Mouse-ear cress),376,AT1G67470.1,Uncharacterized,hypothetical protein
A0A5S9WPY8,A0A5S9WPY8_ARATH,unreviewed,Protein kinase domain-containing protein,C24_LOCUS5417,Arabidopsis thaliana (Mouse-ear cress),375,AT1G67470.1,Signaling & Transport,kinase
A0A654G679,A0A654G679_ARATH,unreviewed,Protein kinase domain-containing protein,AN1_LOCUS23766,Arabidopsis thaliana (Mouse-ear cress),361,AT1G67470.1,Signaling & Transport,kinase
A0A384KGJ1,A0A384KGJ1_ARATH,unreviewed,Protein kinase domain-containing protein,AXX17_At3g52230 AN1_LOCUS16142 C24_LOCUS16025,Arabidopsis thaliana (Mouse-ear cress),356,AT1G67470.1,Signaling & Transport,kinase
A0A654EL55,A0A654EL55_ARATH,unreviewed,Protein kinase domain-containing protein,AN1_LOCUS5530,Arabidopsis thaliana (Mouse-ear cress),376,AT1G67470.1,Signaling & Transport,kinase
Q9S9J9,Q9S9J9_ARATH,unreviewed,Protein kinase superfamily protein (T23K8.10 protein),ZRK13 At1g65190 T23K8.10 T23K8_10,Arabidopsis thaliana (Mouse-ear cress),396,AT1G67470.1,Signaling & Transport,kinase
A0A654FIQ4,A0A654FIQ4_ARATH,unreviewed,Protein kinase domain-containing protein,AN1_LOCUS16152,Arabidopsis thaliana (Mouse-ear cress),362,AT1G67470.1,Signaling & Transport,kinase
A0A654ELJ1,A0A654ELJ1_ARATH,unreviewed,Protein kinase domain-containing protein,AN1_LOCUS5525,Arabidopsis thaliana (Mouse-ear cress),348,AT1G67470.1,Signaling & Transport,kinase
A0A7G2EKH7,A0A7G2EKH7_ARATH,unreviewed,(thale cress) hypothetical protein,AT9943_LOCUS11752,Arabidopsis thaliana (Mouse-ear cress),374,AT1G67470.1,Uncharacterized,hypothetical protein
A0A178UJ99,A0A178UJ99_ARATH,unreviewed,Protein kinase domain-containing protein,AXX17_At5g33090,Arabidopsis thaliana (Mouse-ear cress),376,AT1G67470.1,Signaling & Transport,kinase
A0A5S9XEU2,A0A5S9XEU2_ARATH,unreviewed,Protein kinase domain-containing protein,C24_LOCUS13522,Arabidopsis thaliana (Mouse-ear cress),374,AT1G67470.1,Signaling & Transport,kinase
A0A178WB03,A0A178WB03_ARATH,unreviewed,Protein kinase domain-containing protein,AXX17_At1g58850,Arabidopsis thaliana (Mouse-ear cress),376,AT1G67470.1,Signaling & Transport,kinase
A0A384LKD8,A0A384LKD8_ARATH,unreviewed,Protein kinase domain-containing protein,AXX17_At3g52330,Arabidopsis thaliana (Mouse-ear cress),362,AT1G67470.1,Signaling & Transport,kinase
A0A8T1ZYN2,A0A8T1ZYN2_ARASU,unreviewed,Protein kinase-like domain superfamily,ISN44_As10g026650,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),357,AT1G67470.1,Signaling & Transport,kinase
A0A8T2DFK2,A0A8T2DFK2_ARASU,unreviewed,Protein kinase domain,ISN44_As05g029880,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),376,AT1G67470.1,Signaling & Transport,kinase
A0A8T1ZRX6,A0A8T1ZRX6_9BRAS,unreviewed,Serine-threonine/tyrosine-protein kinase catalytic domain,ISN45_Aa05g026830,Arabidopsis thaliana x Arabidopsis arenosa,358,AT1G67470.1,Signaling & Transport,kinase
A0A8T2FIR3,A0A8T2FIR3_ARASU,unreviewed,Protein kinase domain,ISN44_As03g049580,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),362,AT1G67470.1,Signaling & Transport,kinase
A0A8T1ZP78,A0A8T1ZP78_9BRAS,unreviewed,Protein kinase domain,ISN45_Aa05g026660,Arabidopsis thaliana x Arabidopsis arenosa,361,AT1G67470.1,Signaling & Transport,kinase
A0A8T2F084,A0A8T2F084_9BRAS,unreviewed,Protein kinase domain,ISN45_At03g050640,Arabidopsis thaliana x Arabidopsis arenosa,356,AT1G67470.1,Signaling & Transport,kinase
A0A8T2HG73,A0A8T2HG73_ARASU,unreviewed,Protein kinase domain,ISN44_As01g054640,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),357,AT1G67470.1,Signaling & Transport,kinase
A0A8T2A1I9,A0A8T2A1I9_ARASU,unreviewed,Protein kinase-like domain superfamily,ISN44_As10g026810,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),358,AT1G67470.1,Signaling & Transport,kinase
A0A8T2FU14,A0A8T2FU14_ARASU,unreviewed,Protein kinase domain,ISN44_As03g049470,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),356,AT1G67470.1,Signaling & Transport,kinase
A0A8T2GUJ9,A0A8T2GUJ9_9BRAS,unreviewed,Protein kinase-like domain superfamily,ISN45_At01g055640,Arabidopsis thaliana x Arabidopsis arenosa,376,AT1G67470.1,Signaling & Transport,kinase
D7LVW3,D7LVW3_ARALL,unreviewed,Kinase family protein,ARALYDRAFT_486224,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),358,AT1G67470.1,Signaling & Transport,kinase
A0A8T2CX25,A0A8T2CX25_9BRAS,unreviewed,Protein kinase domain,ISN45_At05g030470,Arabidopsis thaliana x Arabidopsis arenosa,376,AT1G67470.1,Signaling & Transport,kinase
A0A8T2BQZ9,A0A8T2BQZ9_ARASU,unreviewed,Serine-threonine/tyrosine-protein kinase catalytic domain,ISN44_As07g012100,Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica),353,AT1G67470.1,Signaling & Transport,kinase
A0A8T2EZP5,A0A8T2EZP5_9BRAS,unreviewed,Protein kinase domain,ISN45_At03g050750,Arabidopsis thaliana x Arabidopsis arenosa,362,AT1G67470.1,Signaling & Transport,kinase
Q2V462,DEF38_ARATH,reviewed,Putative defensin-like protein 38,At2g24615 F25P17,Arabidopsis thaliana (Mouse-ear cress),84,AT2G24615.1,Defense & Resistance,defensin
Q2V460,DEF39_ARATH,reviewed,Putative defensin-like protein 39,At2g24625 F25P17,Arabidopsis thaliana (Mouse-ear cress),88,AT2G24625.1,Defense & Resistance,defensin
Q2V325,DEF40_ARATH,reviewed,Putative defensin-like protein 40,At5g39365 MUL8,Arabidopsis thaliana (Mouse-ear cress),89,AT5G39365.1,Defense & Resistance,defensin
A0A654G6A4,A0A654G6A4_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS24098,Arabidopsis thaliana (Mouse-ear cress),89,AT5G39365.1,Uncharacterized,uncharacterized
Q9C8D6,THN24_ARATH,reviewed,Probable thionin-2.4,At1g66100 F15E12.20,Arabidopsis thaliana (Mouse-ear cress),134,AT1G66100.1,Defense & Resistance,thionin
Q42596,THN21_ARATH,reviewed,Thionin-2.1,THI2.1 At1g72260 T9N14.13,Arabidopsis thaliana (Mouse-ear cress),134,AT1G72260.1,Defense & Resistance,thionin
A0A654EN93,A0A654EN93_ARATH,unreviewed,Acidic protein,AN1_LOCUS6259,Arabidopsis thaliana (Mouse-ear cress),134,AT1G72260.1,Uncategorized,
Q8VZK8,THN23_ARATH,reviewed,Probable thionin-2.3,At2g15010 T15J14.5,Arabidopsis thaliana (Mouse-ear cress),135,AT2G15010.1,Defense & Resistance,thionin
A0A654EUK2,A0A654EUK2_ARATH,unreviewed,Acidic protein,AN1_LOCUS7880,Arabidopsis thaliana (Mouse-ear cress),135,AT2G15010.1,Uncategorized,
Q42597,THN22_ARATH,reviewed,Thionin-2.2,THI2.2 At5g36910 MLF18.5,Arabidopsis thaliana (Mouse-ear cress),134,AT5G36910.1,Defense & Resistance,thionin
A0A654G5S7,A0A654G5S7_ARATH,unreviewed,Acidic protein,AN1_LOCUS23827,Arabidopsis thaliana (Mouse-ear cress),134,AT5G36910.1,Uncategorized,
A6QRC1,A6QRC1_ARATH,unreviewed,At5g36910,,Arabidopsis thaliana (Mouse-ear cress),134,AT5G36910.1,Uncategorized,
O65506,O65506_ARATH,unreviewed,Disease resistance protein (TIR-NBS-LRR class) (Putative disease resistance protein),At4g36140 F23E13.30 F23E13_30,Arabidopsis thaliana (Mouse-ear cress),1607,AT4G36140.1,Stress Response,disease resistance
A0A1P8B7M2,A0A1P8B7M2_ARATH,unreviewed,Disease resistance protein (TIR-NBS-LRR class),At4g36140 F23E13.30 F23E13_30,Arabidopsis thaliana (Mouse-ear cress),1422,AT4G36140.1,Stress Response,disease resistance
Q9FKN7,DAR4_ARATH,reviewed,Protein DA1-related 4 (Protein CHILLING SENSITIVE 3),DAR4 CHS3 At5g17890 MPI7.5 MPI7.6,Arabidopsis thaliana (Mouse-ear cress),1613,AT5G17890.1,Uncategorized,
Q9FL92,RRS1B_ARATH,reviewed,Disease resistance protein RRS1B (Probable WRKY transcription factor 16) (WRKY DNA-binding protein 16),RRS1B WRKY16 At5g45050 K21C13.24,Arabidopsis thaliana (Mouse-ear cress),1372,AT5G45050.1,Stress Response,disease resistance
A0A1P8BH45,A0A1P8BH45_ARATH,unreviewed,Disease resistance protein (TIR-NBS-LRR class),WRKY16 ATWRKY16 TTR1 At5g45050 K21C13.24 K21C13_24,Arabidopsis thaliana (Mouse-ear cress),1212,AT5G45050.1,Stress Response,disease resistance
F4KBS5,F4KBS5_ARATH,unreviewed,Disease resistance protein (TIR-NBS-LRR class),WRKY16 ATWRKY16 TTR1 At5g45050 K21C13.24 K21C13_24,Arabidopsis thaliana (Mouse-ear cress),1344,AT5G45050.1,Stress Response,disease resistance
A0A1P8BH86,A0A1P8BH86_ARATH,unreviewed,Disease resistance protein (TIR-NBS-LRR class),WRKY16 ATWRKY16 TTR1 At5g45050 K21C13.24 K21C13_24,Arabidopsis thaliana (Mouse-ear cress),1233,AT5G45050.1,Stress Response,disease resistance
P0DKH5,WRK52_ARATH,reviewed,Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52),RRS1 RCH2 RRS1-S RSH4 SLH1 WRKY52 At5g45260/At5g45270 K9E15.2/K9E15.3,Arabidopsis thaliana (Mouse-ear cress),1288,AT5G45260.1,Stress Response,disease resistance
B3H6H8,SPH10_ARATH,reviewed,S-protein homolog 10,SPH10 At2g23142 F21P24 T20D16,Arabidopsis thaliana (Mouse-ear cress),147,AT2G23142.1,Growth & Reproduction,S-protein
B3H4B5,SPH11_ARATH,reviewed,S-protein homolog 11,SPH11 At2g23148 F21P24 T20D16,Arabidopsis thaliana (Mouse-ear cress),143,AT2G23148.1,Growth & Reproduction,S-protein
B3H453,SPH8_ARATH,reviewed,S-protein homolog 8,SPH8 At5g38435 MXI10,Arabidopsis thaliana (Mouse-ear cress),132,AT5G38435.1,Growth & Reproduction,S-protein
A0A178UHT8,A0A178UHT8_ARATH,unreviewed,S-protein homolog,AXX17_At5g35750 AN1_LOCUS24001 AT9943_LOCUS20745 C24_LOCUS23836,Arabidopsis thaliana (Mouse-ear cress),132,AT5G38435.1,Growth & Reproduction,S-protein
D7MJY8,D7MJY8_ARALL,unreviewed,S-protein homolog,ARALYDRAFT_494134,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),129,AT5G38435.1,Growth & Reproduction,S-protein
Q9FF19,SPH9_ARATH,reviewed,S-protein homolog 9,SPH9 At5g38440 MXI10.17,Arabidopsis thaliana (Mouse-ear cress),133,AT5G38440.1,Growth & Reproduction,S-protein
Q8S927,ATG8C_ARATH,reviewed,Autophagy-related protein 8c (Autophagy-related ubiquitin-like modifier ATG8c) (AtAPG8c) (Protein autophagy 8c),ATG8C APG8C At1g62040 F8K4.23,Arabidopsis thaliana (Mouse-ear cress),119,AT1G62040.1,Protein Processing and Degradation,ubiquitin
A0A178W309,A0A178W309_ARATH,unreviewed,Autophagy-related protein,AXX17_At1g55290 AN1_LOCUS5196 C24_LOCUS5072,Arabidopsis thaliana (Mouse-ear cress),119,AT1G62040.1,Multifunction,Autophagy
F4HX35,F4HX35_ARATH,unreviewed,Autophagy-related protein,ATG8C autophagy 8c At1g62040 F8K4.23 F8K4_23,Arabidopsis thaliana (Mouse-ear cress),94,AT1G62040.1,Multifunction,Autophagy
D7KUU3,D7KUU3_ARALL,unreviewed,Autophagy-related protein,ARALYDRAFT_475132,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),119,AT1G62040.1,Multifunction,Autophagy
Q8S926,ATG8E_ARATH,reviewed,Autophagy-related protein 8e (Autophagy-related ubiquitin-like modifier ATG8e) (AtAPG8e) (Protein autophagy 8e),ATG8E APG8E At2g45170 F4L23 T14P1.2,Arabidopsis thaliana (Mouse-ear cress),122,AT2G45170.1,Protein Processing and Degradation,ubiquitin
A0A178VZA0,A0A178VZA0_ARATH,unreviewed,Autophagy-related protein,AXX17_At2g42740 AN1_LOCUS11037 C24_LOCUS10876,Arabidopsis thaliana (Mouse-ear cress),122,AT2G45170.1,Multifunction,Autophagy
D7LBW5,D7LBW5_ARALL,unreviewed,Autophagy-related protein,ARALYDRAFT_483652,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),122,AT2G45170.1,Multifunction,Autophagy
Q9LZZ9,ATG8G_ARATH,reviewed,Autophagy-related protein 8g (Autophagy-related ubiquitin-like modifier ATG8g) (AtAPG8g) (Protein autophagy 8g),ATG8G APG8G At3g60640 T4C21_50,Arabidopsis thaliana (Mouse-ear cress),121,AT3G60640.1,Protein Processing and Degradation,ubiquitin
A0A178VL35,A0A178VL35_ARATH,unreviewed,Autophagy-related protein,AXX17_At3g55030 AN1_LOCUS16445 C24_LOCUS16327,Arabidopsis thaliana (Mouse-ear cress),121,AT3G60640.1,Multifunction,Autophagy
Q9XEB5,ATG8B_ARATH,reviewed,Autophagy-related protein 8b (Autophagy-related ubiquitin-like modifier ATG8b) (AtAPG8b) (Protein autophagy 8b),ATG8B APG8B At4g04620 F4H6.14,Arabidopsis thaliana (Mouse-ear cress),122,AT4G04620.3,Protein Processing and Degradation,ubiquitin
A0A178V3P6,A0A178V3P6_ARATH,unreviewed,Autophagy-related protein,AXX17_At4g05720 AN1_LOCUS17274 AT9943_LOCUS14846 C24_LOCUS17148,Arabidopsis thaliana (Mouse-ear cress),122,AT4G04620.3,Multifunction,Autophagy
A8MS84,A8MS84_ARATH,unreviewed,Autophagy-related protein,APG8A ATG8A AUTOPHAGY 8A AUTOPHAGY-RELATED 8A At4g21980 F1N20.80 F1N20_80,Arabidopsis thaliana (Mouse-ear cress),137,AT4G21980.2,Multifunction,Autophagy
P30224,DEF13_ARATH,reviewed,Defensin-like protein 13 (Anther-specific protein S18 homolog) (Cysteine-rich antifungal protein 1) (AFP1) (Low-molecular-weight cysteine-rich protein 67) (Protein LCR67) (Plant defensin 1.1),PDF1.1 AFP1 LCR67 At1g75830 T4O12.7,Arabidopsis thaliana (Mouse-ear cress),80,AT1G75830.1,Defense & Resistance,defensin
D7KT75,D7KT75_ARALL,unreviewed,Knottin scorpion toxin-like domain-containing protein,ARALYDRAFT_476731,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),80,AT1G75830.1,Uncategorized,
A0A178WNK7,A0A178WNK7_ARATH,unreviewed,PDF1.1,AXX17_At1g70280 AN1_LOCUS6621 C24_LOCUS6507,Arabidopsis thaliana (Mouse-ear cress),80,AT1G75830.1,Uncategorized,
O80995,DEF14_ARATH,reviewed,Defensin-like protein 14 (Cysteine-rich antifungal protein At2g26010) (Plant defensin 1.3),PDF1.3 At2g26010 T19L18.18,Arabidopsis thaliana (Mouse-ear cress),80,AT2G26010.1,Defense & Resistance,defensin
A0A178VSS6,A0A178VSS6_ARATH,unreviewed,PDF1.3,AXX17_At2g21850 AN1_LOCUS8994 C24_LOCUS8846,Arabidopsis thaliana (Mouse-ear cress),80,AT2G26010.1,Uncategorized,
O80994,DEF15_ARATH,reviewed,Putative defensin-like protein 15 (Putative cysteine-rich antifungal protein At2g26020) (Putative plant defensin 1.2b),PDF1.2B At2g26020 T19L18.17,Arabidopsis thaliana (Mouse-ear cress),80,AT2G26020.1,Defense & Resistance,defensin
A0A178VQC3,A0A178VQC3_ARATH,unreviewed,PDF1.2b,AXX17_At2g21860 AN1_LOCUS8995 C24_LOCUS8847,Arabidopsis thaliana (Mouse-ear cress),80,AT2G26020.1,Uncategorized,
Q9FI23,DEF16_ARATH,reviewed,Defensin-like protein 16 (Low-molecular-weight cysteine-rich protein 77) (Protein LCR77) (Plant defensin 1.2) (Plant defensin 1.2a),PDF1.2A LCR77 PDF1.2 At5g44420 MFC16.8,Arabidopsis thaliana (Mouse-ear cress),80,AT5G44420.1,Defense & Resistance,defensin
A0A5S9YB87,A0A5S9YB87_ARATH,unreviewed,(thale cress) hypothetical protein,AN1_LOCUS24650 AT9943_LOCUS21272 C24_LOCUS24483,Arabidopsis thaliana (Mouse-ear cress),80,AT5G44420.1,Uncharacterized,hypothetical protein
Q9FI22,DEF17_ARATH,reviewed,Defensin-like protein 17 (Plant defensin 1.2c),PDF1.2C At5g44430 MFC16.9,Arabidopsis thaliana (Mouse-ear cress),80,AT5G44430.1,Defense & Resistance,defensin
A0A178UM29,A0A178UM29_ARATH,unreviewed,Crooked neck-like protein 1,AXX17_At5g44430,Arabidopsis thaliana (Mouse-ear cress),683,AT5G44430.1,Uncategorized,
A0A178UR42,A0A178UR42_ARATH,unreviewed,(thale cress) hypothetical protein (PDF1.2c),AXX17_At5g42570 AN1_LOCUS24651 AT9943_LOCUS21273,Arabidopsis thaliana (Mouse-ear cress),80,AT5G44430.1,Uncharacterized,hypothetical protein
Q9SLI6,RLP8X_ARATH,reviewed,Putative receptor-like protein 8 (AtRLP8),RLP8 At1g54470/At1g54475 F20D21.29,Arabidopsis thaliana (Mouse-ear cress),1009,AT1G54470.1,Signaling & Transport,receptor
D7KP10,D7KP10_ARALL,unreviewed,Leucine-rich repeat family protein,ARALYDRAFT_474723,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),550,AT1G54470.1,P-P Interaction,Leucine-rich repeat
Q9C6A6,RLP13_ARATH,reviewed,Receptor-like protein 13 (AtRLP13),RLP13 At1g74170 F9E11.7,Arabidopsis thaliana (Mouse-ear cress),1068,AT1G74170.2,Signaling & Transport,receptor
F4HTV4,RLP14_ARATH,reviewed,Receptor-like protein 14 (AtRLP14),RLP14 At1g74180 F9E11.6,Arabidopsis thaliana (Mouse-ear cress),976,AT1G74180.1,Signaling & Transport,receptor
A0A1P8AWN1,A0A1P8AWN1_ARATH,unreviewed,Receptor like protein 14,RLP14 AtRLP14 receptor like protein 14 At1g74180 F9E11.6 F9E11_6,Arabidopsis thaliana (Mouse-ear cress),962,AT1G74180.1,Signaling & Transport,receptor
Q9C6A8,RLP15_ARATH,reviewed,Receptor-like protein 15 (AtRLP15),RLP15 At1g74190 F9E11.4,Arabidopsis thaliana (Mouse-ear cress),965,AT1G74190.1,Signaling & Transport,receptor
A0A654ENU9,A0A654ENU9_ARATH,unreviewed,Leucine-rich repeat-containing N-terminal plant-type domain-containing protein,AN1_LOCUS6459,Arabidopsis thaliana (Mouse-ear cress),965,AT1G74190.1,P-P Interaction,Leucine-rich repeat
D7KRZ9,D7KRZ9_ARALL,unreviewed,Leucine-rich repeat family protein,ARALYDRAFT_476558,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),966,AT1G74190.1,P-P Interaction,Leucine-rich repeat
F4HTV6,RLP16_ARATH,reviewed,Putative receptor-like protein 16 (AtRLP16),RLP16 At1g74200 F1O17.13,Arabidopsis thaliana (Mouse-ear cress),302,AT1G74200.1,Signaling & Transport,receptor
Q9SKK2,RLP21_ARATH,reviewed,Receptor like protein 21 (AtRLP21),RLP21 At2g25470 F13B15.13,Arabidopsis thaliana (Mouse-ear cress),978,AT2G25470.3,Signaling & Transport,receptor
F4IRP9,F4IRP9_ARATH,unreviewed,Receptor like protein 21,RLP21 AtRLP21 receptor like protein 21 At2g25470 F13B15.13 F13B15_13,Arabidopsis thaliana (Mouse-ear cress),935,AT2G25470.3,Signaling & Transport,receptor
F4K4T3,RLP56_ARATH,reviewed,Receptor-like protein 56 (AtRLP56),RLP56 At5g49290 K21P3.17,Arabidopsis thaliana (Mouse-ear cress),947,AT5G49290.2,Signaling & Transport,receptor
A0A1P8BAV7,A0A1P8BAV7_ARATH,unreviewed,Receptor like protein 56,RLP56 ATRLP56 receptor like protein 56 At5g49290 K21P3.17 K21P3_17,Arabidopsis thaliana (Mouse-ear cress),933,AT5G49290.2,Signaling & Transport,receptor
A0A1P8BAV8,A0A1P8BAV8_ARATH,unreviewed,Receptor like protein 56,RLP56 ATRLP56 receptor like protein 56 At5g49290 K21P3.17 K21P3_17,Arabidopsis thaliana (Mouse-ear cress),905,AT5G49290.2,Signaling & Transport,receptor
A0A1P8BAW0,A0A1P8BAW0_ARATH,unreviewed,Receptor like protein 56,RLP56 ATRLP56 receptor like protein 56 At5g49290 K21P3.17 K21P3_17,Arabidopsis thaliana (Mouse-ear cress),690,AT5G49290.2,Signaling & Transport,receptor
A0A1P8BAW2,A0A1P8BAW2_ARATH,unreviewed,Receptor like protein 56,RLP56 ATRLP56 receptor like protein 56 At5g49290 K21P3.17 K21P3_17,Arabidopsis thaliana (Mouse-ear cress),880,AT5G49290.2,Signaling & Transport,receptor
