Dsc	Family ID	Aalpina	Ahalleri	Alyrata	Athaliana	Cpapaya
AT1G17170	OG0000114	5	4	5	5	11
AALP_AA1G042800	OG0000115	29	0	1	0	0
AT1G34670	OG0000116	2	3	3	3	19
AALP_AA1G114900	OG0000117	30	0	0	0	0
AT1G04625	OG0000118	2	6	6	15	1
AALP_AA2G183700	OG0000119	6	24	0	0	0
AT1G26320	OG0000120	4	5	8	7	6
AALP_AA3G297300	OG0000121	2	25	3	0	0
AT1G02520	OG0000122	5	7	8	8	2
ATMG00300	OG0000123	0	29	0	1	0
AT4G07325	OG0000124	0	29	0	1	0
null	OG0000125	0	0	0	0	30
AT2G29150	OG0000126	2	6	11	8	2
AT1G21210	OG0000127	5	5	9	7	3
AALP_AA1G162500	OG0000128	29	0	0	0	0
AT1G03930	OG0000129	6	8	6	7	2
AT1G07450	OG0000130	7	8	7	7	0
AALP_AA2G114600	OG0000131	29	0	0	0	0
AT2G05380	OG0000132	6	8	6	6	3
AT1G50700	OG0000133	8	5	8	6	2
AALP_AA4G245100	OG0000134	3	0	0	0	26
AT2G16740	OG0000135	2	8	8	6	5
AT1G64910	OG0000136	4	6	8	8	3
AALP_AA6G125900	OG0000137	1	26	1	0	1
AT1G36100	OG0000138	0	0	27	2	0
null	OG0000139	0	0	0	0	29
AT1G32940	OG0000140	6	6	7	8	1
AT4G13810	OG0000141	18	2	2	4	2
AT1G29420	OG0000142	10	5	4	9	0
Ah1G00520	OG0000143	0	28	0	0	0
Ah1G00910	OG0000144	0	23	0	0	5
Ah1G41890	OG0000145	0	27	1	0	0
Ah2G13510	OG0000146	0	28	0	0	0
AT2G30385	OG0000147	2	7	10	8	0
AT2G29440	OG0000148	4	8	8	6	1
AALP_AA1G347900	OG0000149	27	0	0	0	0
AT1G46840	OG0000150	6	3	10	8	0
AT1G66960	OG0000151	5	5	6	5	6
AT1G04820	OG0000152	5	7	5	6	4
AT2G02240	OG0000153	1	9	8	8	1
AALP_AAs46504U000200	OG0000154	1	25	1	0	0
AT2G07800	OG0000155	0	26	0	1	0
null	OG0000156	0	0	0	0	27
AALP_AA1G178300	OG0000157	3	21	2	0	0
AT3G61170	OG0000158	2	1	1	1	21
AT1G69730	OG0000159	12	4	8	2	0
AALP_AA1G241800	OG0000160	26	0	0	0	0
AT1G14830	OG0000161	4	5	6	6	5
AT1G48470	OG0000162	5	6	6	6	3
AALP_AA3G295200	OG0000163	14	10	0	0	2
AT2G02580	OG0000164	7	4	8	7	0
AT2G05060	OG0000165	3	5	8	8	2
AT1G64840	OG0000166	1	4	18	2	1
AT1G62040	OG0000167	1	10	7	5	3
ATMG00710	OG0000168	1	23	0	1	1
Ah1G01900	OG0000169	0	26	0	0	0
AT2G11015	OG0000170	0	1	21	4	0
null	OG0000171	0	0	0	0	26
AT1G05890	OG0000172	9	4	4	6	2
AT1G28570	OG0000173	4	6	7	7	1
AT1G09350	OG0000174	6	5	5	5	4
AALP_AA1G148100	OG0000175	25	0	0	0	0
AT2G06555	OG0000176	11	5	5	4	0
AT1G11510	OG0000177	8	4	5	6	2
AT1G69650	OG0000178	6	7	7	5	0
AT1G16030	OG0000179	4	5	6	6	4
AT1G64780	OG0000180	4	5	8	5	3
AT2G28950	OG0000181	6	5	6	5	3
AT1G47300	OG0000182	1	3	16	5	0
AT2G32830	OG0000183	3	4	4	8	6
AT2G25440	OG0000184	3	1	11	10	0
AT4G23140	OG0000185	10	4	6	5	0
AT2G06425	OG0000186	1	19	2	3	0
AT1G10630	OG0000187	0	6	8	7	4
AT3G19880	OG0000188	0	2	19	4	0
null	OG0000189	0	0	0	0	25
null	OG0000190	0	0	0	0	25
AT1G01620	OG0000191	4	5	5	5	5
AT2G13770	OG0000192	8	10	2	3	1
AT1G21850	OG0000193	4	6	5	6	3
AT1G70840	OG0000194	5	6	4	2	7
AT1G45191	OG0000195	9	5	5	5	0
AT3G14610	OG0000196	5	8	4	7	0
AT2G19020	OG0000197	1	3	5	7	8
AT1G52740	OG0000198	3	5	9	4	3
AT1G45190	OG0000199	1	3	9	11	0
AT5G40910	OG0000200	6	5	12	1	0
AT1G10810	OG0000201	5	7	5	6	1
AT3G45860	OG0000202	7	9	3	5	0
Ah1G14160	OG0000203	0	23	1	0	0
Ah1G08770	OG0000204	0	24	0	0	0
AT3G31430	OG0000205	18	3	0	2	0
AT2G03010	OG0000206	5	2	7	9	0
AT1G45100	OG0000207	3	4	13	3	0
AALP_AA1G336700	OG0000208	23	0	0	0	0
AT1G02920	OG0000209	9	5	4	4	1
AT1G54470	OG0000210	4	9	3	7	0
AT1G65960	OG0000211	4	6	5	5	3
AT1G26770	OG0000212	3	5	5	5	5
AT2G36110	OG0000213	3	3	8	7	2
AT1G55130	OG0000214	5	5	5	5	3
AT1G54980	OG0000215	5	5	6	7	0
AT3G14130	OG0000216	2	6	7	5	3
AT4G03635	OG0000217	7	2	10	4	0
AT2G23070	OG0000218	4	7	5	4	3
AT4G33260	OG0000219	3	3	6	7	4
AT1G69090	OG0000220	2	2	10	9	0
Ah1G10790	OG0000221	0	22	1	0	0
Ah1G23730	OG0000222	0	21	2	0	0
AT2G06420	OG0000223	0	21	0	2	0
AT1G20400	OG0000224	0	20	2	1	0
null	OG0000225	0	0	0	0	23
null	OG0000226	0	0	0	0	23
null	OG0000227	0	0	0	0	23
AT1G66100	OG0000228	13	2	3	4	0
AT4G15660	OG0000229	7	4	6	5	0
AT1G12990	OG0000230	5	5	5	5	2
AT1G28220	OG0000231	3	3	3	3	10
AT1G24400	OG0000232	5	4	4	4	5
AT1G19910	OG0000233	5	5	4	5	3
AALP_AA1G071600	OG0000234	22	0	0	0	0
AT2G14060	OG0000235	5	4	6	7	0
AALP_AA2G156900	OG0000236	1	5	16	0	0
AT1G35160	OG0000237	2	7	6	6	1
AT1G63550	OG0000238	1	8	5	7	1
AT3G04110	OG0000239	7	5	6	3	1
AT1G53920	OG0000240	3	6	6	5	2
AT3G26820	OG0000241	3	7	5	4	3
AT5G03480	OG0000242	2	8	10	2	0
AT1G26380	OG0000243	5	5	6	6	0
Ah1G41970	OG0000244	0	22	0	0	0
Ah160U00030	OG0000245	0	22	0	0	0
AT1G45215	OG0000246	0	0	0	22	0
AT1G04270	OG0000247	3	5	5	6	2
AT4G04110	OG0000248	18	2	0	1	0
AT1G01560	OG0000249	5	4	5	5	2
AT1G12950	OG0000250	6	6	4	4	1
AT1G23720	OG0000251	7	4	5	4	1
AT1G22290	OG0000252	4	4	4	5	4
AT4G39550	OG0000253	10	1	8	2	0
ATMG00240	OG0000254	10	7	0	2	2
AT3G31550	OG0000255	2	4	14	1	0
AT1G78500	OG0000256	2	6	6	7	0
AT1G24485	OG0000257	2	6	7	5	1
AT2G18780	OG0000258	4	2	13	2	0
AT2G19760	OG0000259	5	5	4	5	2
AT3G32980	OG0000260	3	6	7	5	0
AT1G17150	OG0000261	1	2	5	10	3
AT1G03960	OG0000262	2	7	5	5	2
AT2G36460	OG0000263	4	5	5	5	2
AT2G24980	OG0000264	6	3	7	5	0
AT3G06160	OG0000265	4	5	7	4	1
AT4G36140	OG0000266	4	4	9	4	0
AT2G32530	OG0000267	4	6	4	6	1
AT4G11470	OG0000268	8	3	4	6	0
AT1G44050	OG0000269	1	3	2	15	0
AT2G16600	OG0000270	2	5	5	5	4
AT1G52430	OG0000271	4	6	3	8	0
AT5G23960	OG0000272	1	1	1	1	17
AALP_AAs55784U000100	OG0000273	3	18	0	0	0
Ah1G01160	OG0000274	0	21	0	0	0
Ah1G45930	OG0000275	0	20	1	0	0
AT3G29790	OG0000276	0	9	7	4	1
AT1G42190	OG0000277	0	20	0	1	0
null	OG0000278	0	0	0	0	21
AT1G04350	OG0000279	8	4	4	4	0
AT1G10340	OG0000280	2	4	3	9	2
AT1G09400	OG0000281	4	5	4	5	2
AT1G34210	OG0000282	3	5	5	5	2
AT1G10450	OG0000283	1	5	6	6	2
AT1G66910	OG0000284	4	2	1	2	11
AALP_AA2G092700	OG0000285	20	0	0	0	0
AT1G57800	OG0000286	5	4	4	5	2
AT1G77690	OG0000287	3	5	4	4	4
AALP_AA2G045000	OG0000288	20	0	0	0	0
AT1G55020	OG0000289	3	2	2	2	11
AT5G52640	OG0000290	6	3	4	4	3
AALP_AA3G335100	OG0000291	1	0	0	0	19
AALP_AA3G177000	OG0000292	1	2	17	0	0
AT3G09900	OG0000293	2	5	5	5	3
AT1G09180	OG0000294	3	5	5	4	3
AT2G41790	OG0000295	4	6	5	4	1
AT1G33720	OG0000296	6	3	3	7	1
AT4G19720	OG0000297	2	5	3	9	1
AT1G34490	OG0000298	3	2	5	9	1
AT3G08810	OG0000299	1	0	14	5	0
AT1G56650	OG0000300	1	2	5	4	8
AT1G07920	OG0000301	0	5	5	5	5
Ah1G25180	OG0000302	0	19	1	0	0
AT3G17500	OG0000303	0	0	14	6	0
AL1G67530	OG0000304	0	0	20	0	0
null	OG0000305	0	0	0	0	20
null	OG0000306	0	0	0	0	20
null	OG0000307	0	0	0	0	20
AT1G04160	OG0000308	3	6	4	4	2
AT1G04750	OG0000309	5	4	5	3	2
AT1G09590	OG0000310	5	5	4	4	1
AT1G31740	OG0000311	2	2	2	3	10
AT1G20490	OG0000312	5	3	4	4	3
AT1G07400	OG0000313	1	3	2	3	10
AT1G02890	OG0000314	5	3	4	4	3
AT1G16360	OG0000315	4	5	4	4	2
AT2G38080	OG0000316	3	3	3	3	7
AT1G29750	OG0000317	3	3	3	4	6
AT1G72900	OG0000318	4	4	5	6	0
AT1G72800	OG0000319	13	2	2	2	0
AT3G04210	OG0000320	16	0	2	1	0
AT1G79750	OG0000321	4	4	4	4	3
AT1G58380	OG0000322	3	4	3	6	3
AT2G05710	OG0000323	3	4	5	4	3
AT1G03920	OG0000324	1	5	4	4	5
AT1G54550	OG0000325	4	2	3	10	0
AALP_AA3G031900	OG0000326	17	2	0	0	0
AT2G37040	OG0000327	3	3	4	4	5
AT3G07820	OG0000328	3	3	3	4	6
AT1G58037	OG0000329	1	2	1	15	0
AT3G47740	OG0000330	4	4	4	5	2
AT1G01050	OG0000331	2	5	5	5	2
AT2G45180	OG0000332	3	4	4	3	5
AT3G50270	OG0000333	4	3	6	5	1
AT1G65790	OG0000334	3	5	7	3	1
AT4G12420	OG0000335	4	4	4	4	3
AT2G23960	OG0000336	5	3	5	5	1
AT2G25520	OG0000337	4	4	5	4	2
AT1G11270	OG0000338	1	5	12	1	0
AT1G05080	OG0000339	2	2	11	3	1
AT2G04170	OG0000340	3	4	5	7	0
AT5G59650	OG0000341	6	5	5	3	0
AT1G66930	OG0000342	1	7	6	3	2
AT1G30140	OG0000343	0	5	8	6	0
Ah1G47300	OG0000344	0	19	0	0	0
Ah1G45280	OG0000345	0	16	3	0	0
AT3G27906	OG0000346	0	18	0	1	0
AT1G45063	OG0000347	0	2	14	3	0
AT2G15042	OG0000348	0	5	5	9	0
null	OG0000349	0	0	0	0	19
null	OG0000350	0	0	0	0	19
AT1G10540	OG0000351	3	4	5	4	2
AT1G10620	OG0000352	3	5	4	4	2
AT1G08730	OG0000353	3	4	3	5	3
AT1G10750	OG0000354	4	4	4	4	2
AT1G02690	OG0000355	1	5	5	4	3
AT1G27630	OG0000356	1	4	5	5	3
AT3G11910	OG0000357	2	2	2	2	10
AT3G21560	OG0000358	4	4	5	4	1
AT3G07110	OG0000359	3	4	4	4	3
AT1G70020	OG0000360	1	4	8	5	0
AT1G32430	OG0000361	1	3	10	4	0
AT1G55560	OG0000362	4	4	4	4	2
AT3G02230	OG0000363	4	2	5	4	3
AT3G04290	OG0000364	3	3	3	3	6
AT3G08870	OG0000365	5	4	4	4	1
AT1G32300	OG0000366	2	4	5	6	1
AT1G73490	OG0000367	8	4	5	1	0
AT2G37710	OG0000368	4	4	6	4	0
AT2G29130	OG0000369	2	2	4	3	7
AT2G22290	OG0000370	4	4	4	4	2
AT3G48270	OG0000371	1	4	5	6	2
AT3G26190	OG0000372	2	3	5	8	0
AT3G57390	OG0000373	1	2	2	2	11
AT3G51590	OG0000374	4	3	3	3	5
AT5G42905	OG0000375	2	12	1	1	2
AT4G12300	OG0000376	4	3	5	5	1
AT4G05540	OG0000377	1	4	6	7	0
AT4G25470	OG0000378	4	4	4	4	2
AT1G11910	OG0000379	1	4	4	4	5
AT1G11170	OG0000380	1	5	5	4	3
AT2G25140	OG0000381	2	2	5	2	7
AT2G44030	OG0000382	1	1	8	8	0
AALP_AA8G188100	OG0000383	1	17	0	0	0
AT2G07190	OG0000384	1	2	12	3	0
AT4G05553	OG0000385	0	16	1	1	0
AT1G33220	OG0000386	0	4	10	4	0
Ah2G03330	OG0000387	0	17	1	0	0
AT1G57650	OG0000388	0	10	7	1	0
AT2G06565	OG0000389	0	0	16	2	0
null	OG0000390	0	0	0	0	18
AALP_AA1G236500	OG0000391	17	0	0	0	0
AT1G03550	OG0000392	3	4	4	4	2
AT4G10265	OG0000393	2	2	4	2	7
AT1G22410	OG0000394	3	3	3	3	5
AT4G27140	OG0000395	4	4	4	5	0
AT1G09155	OG0000396	3	5	2	3	4
AT1G17745	OG0000397	4	4	4	3	2
AT1G18590	OG0000398	6	3	4	3	1
AT1G23240	OG0000399	4	2	3	4	4
AT1G13210	OG0000400	2	4	4	5	2
AT2G25630	OG0000401	5	2	4	5	1
AT1G23810	OG0000402	1	2	7	7	0
AT1G56120	OG0000403	4	4	4	3	2
AT1G19440	OG0000404	3	4	5	4	1
AT1G72840	OG0000405	7	3	2	5	0
AT1G59950	OG0000406	3	1	2	2	9
AT3G05030	OG0000407	1	4	4	4	4
AT1G75280	OG0000408	3	3	3	4	4
AT1G48370	OG0000409	3	3	3	4	4
AT1G31820	OG0000410	2	4	4	4	3
AT2G01520	OG0000411	7	3	4	3	0
AT1G16190	OG0000412	3	4	4	4	2
AT2G17740	OG0000413	2	3	4	7	1
AT1G59500	OG0000414	3	4	4	4	2
AT1G66270	OG0000415	5	3	5	4	0
AT5G04933	OG0000416	3	3	4	7	0
AT5G08350	OG0000417	4	3	4	4	2
AT5G03390	OG0000418	11	2	3	1	0
AT4G22280	OG0000419	5	8	3	1	0
AT2G38910	OG0000420	3	3	4	3	4
AT1G67890	OG0000421	2	4	5	5	1
AT2G37800	OG0000422	2	3	8	4	0
AT2G36750	OG0000423	5	3	3	6	0
AT1G47915	OG0000424	1	5	7	4	0
AT1G64170	OG0000425	1	4	4	5	3
AT2G41860	OG0000426	3	4	4	4	2
AT4G33070	OG0000427	3	3	4	4	3
AALP_AA5G135300	OG0000428	1	15	1	0	0
AT2G24210	OG0000429	4	3	5	5	0
AT1G64900	OG0000430	5	3	3	5	1
AT1G48210	OG0000431	1	5	4	5	2
AT4G05360	OG0000432	3	12	1	1	0
AT5G39050	OG0000433	1	2	4	3	7
AT1G49920	OG0000434	1	4	8	4	0
AALP_AA7G088300	OG0000435	17	0	0	0	0
AT2G18240	OG0000436	1	4	5	4	3
AT4G26390	OG0000437	2	4	4	4	3
AT1G16980	OG0000438	2	3	3	5	4
AT2G07240	OG0000439	0	16	0	1	0
AT1G30790	OG0000440	0	3	12	2	0
Ah1G05360	OG0000441	0	16	0	0	1
AT1G21835	OG0000442	0	1	1	15	0
AT1G22650	OG0000443	0	5	5	5	2
Ah1G26600	OG0000444	0	16	1	0	0
AT1G36970	OG0000445	0	12	2	3	0
AL1G47460	OG0000446	0	0	17	0	0
AT1G05240	OG0000447	6	3	3	2	2
AT1G14800	OG0000448	5	1	8	2	0
AT1G23570	OG0000449	2	3	5	6	0
AT1G06925	OG0000450	8	2	3	2	1
AT1G14230	OG0000451	3	3	3	4	3
AT5G32613	OG0000452	13	1	1	1	0
AT1G06340	OG0000453	1	0	1	1	13
AT1G19920	OG0000454	4	4	4	3	1
AT1G07410	OG0000455	1	4	4	4	3
AT1G09550	OG0000456	3	4	4	4	1
AT3G22760	OG0000457	3	3	3	3	4
AT1G15920	OG0000458	1	4	4	4	3
AT1G02130	OG0000459	3	3	4	3	3
AT1G19970	OG0000460	3	4	3	4	2
AT3G48930	OG0000461	4	3	4	3	2
AALP_AA2G029700	OG0000462	1	5	10	0	0
AT1G44100	OG0000463	1	4	4	4	3
AT1G62180	OG0000464	3	4	3	3	3
AT2G39390	OG0000465	2	4	4	4	2
AT2G16210	OG0000466	2	5	5	4	0
AT1G49580	OG0000467	3	4	4	3	2
AT3G23460	OG0000468	2	2	4	5	3
AT2G17043	OG0000469	3	3	5	5	0
AT3G11740	OG0000470	7	2	3	2	2
AT1G71330	OG0000471	2	4	3	4	3
AT2G20380	OG0000472	1	4	7	4	0
AT1G35610	OG0000473	3	1	1	11	0
AT1G55330	OG0000474	3	4	4	4	1
AT1G51060	OG0000475	3	4	4	4	1
AT1G66530	OG0000476	1	4	7	2	2
AT1G49300	OG0000477	3	4	4	4	1
AT2G37770	OG0000478	4	3	4	3	2
AT2G47120	OG0000479	3	2	3	6	2
AT2G36340	OG0000480	5	3	6	2	0
AT2G28305	OG0000481	4	3	4	4	1
AT2G35860	OG0000482	2	4	4	4	2
AT1G54340	OG0000483	2	2	3	3	6
AT3G43190	OG0000484	2	4	4	4	2
AT3G62740	OG0000485	2	6	4	4	0
AT3G47000	OG0000486	3	4	4	4	1
AT3G28345	OG0000487	5	3	2	5	1
AT1G35190	OG0000488	1	4	6	4	1
AALP_AA6G018200	OG0000489	9	1	6	0	0
AT1G49390	OG0000490	1	5	3	4	3
AT2G24710	OG0000491	1	7	4	4	0
AT2G22810	OG0000492	3	4	4	4	1
AT2G23690	OG0000493	3	4	4	4	1
AT4G12110	OG0000494	5	3	3	3	2
AT1G13750	OG0000495	1	4	3	3	5
AT2G30680	OG0000496	2	0	2	1	11
AT1G58430	OG0000497	2	4	5	5	0
AALP_AAs63547U000100	OG0000498	2	5	9	0	0
AT1G15910	OG0000499	1	3	3	5	4
AT1G19260	OG0000500	1	4	2	9	0
AT1G51370	OG0000501	0	5	9	2	0
Ah1G47660	OG0000502	0	16	0	0	0
AT1G29355	OG0000503	0	12	2	2	0
AT1G35150	OG0000504	0	4	3	9	0
AT1G02500	OG0000505	0	4	4	4	4
Ah1G27630	OG0000506	0	15	1	0	0
Ah1G19180	OG0000507	0	16	0	0	0
Ah1G42430	OG0000508	0	13	3	0	0
Ah2G03010	OG0000509	0	13	3	0	0
AT3G27473	OG0000510	0	4	4	8	0
AT1G64870	OG0000511	0	3	3	3	7
AT3G12620	OG0000512	0	4	5	5	2
AT1G23037	OG0000513	0	1	11	4	0
null	OG0000514	0	0	0	0	16
null	OG0000515	0	0	0	0	16
null	OG0000516	0	0	0	0	16
null	OG0000517	0	0	0	0	16
AT1G20620	OG0000518	3	3	3	3	3
AT1G08090	OG0000519	4	3	3	3	2
AT5G47330	OG0000520	3	3	5	2	2
AT2G30140	OG0000521	5	3	3	2	2
AT1G17010	OG0000522	2	4	3	4	2
AT1G50830	OG0000523	5	3	3	4	0
AT1G14080	OG0000524	4	3	2	6	0
AT2G37910	OG0000525	3	1	4	2	5
AALP_AA1G291400	OG0000526	15	0	0	0	0
AT1G31120	OG0000527	3	4	3	3	2
AT1G04220	OG0000528	2	3	2	3	5
AT1G23760	OG0000529	3	2	2	2	6
AT1G13280	OG0000530	2	4	4	4	1
AT1G19900	OG0000531	2	2	2	2	7
AT1G10940	OG0000532	2	3	4	4	2
AT1G45050	OG0000533	4	3	3	4	1
AT1G75830	OG0000534	6	3	1	5	0
AT1G60500	OG0000535	3	3	7	2	0
AT4G33830	OG0000536	4	3	3	3	2
AT1G68050	OG0000537	3	4	3	3	2
AT1G65630	OG0000538	2	2	6	4	1
AT1G01740	OG0000539	2	4	3	4	2
AT1G77520	OG0000540	5	4	2	4	0
AT5G23010	OG0000541	7	3	3	2	0
AT1G66550	OG0000542	1	4	4	4	2
AT1G15890	OG0000543	2	3	6	4	0
AT3G05780	OG0000544	5	2	4	3	1
AT2G35795	OG0000545	3	3	3	3	3
AT1G67160	OG0000546	1	1	6	7	0
AT2G17060	OG0000547	2	4	7	2	0
AT3G09840	OG0000548	3	3	3	3	3
AT2G18620	OG0000549	5	0	5	4	1
AT1G06020	OG0000550	3	3	4	5	0
AT2G17360	OG0000551	4	3	3	3	2
AT2G17130	OG0000552	3	5	3	3	1
AT3G09270	OG0000553	1	1	1	1	11
AT3G01690	OG0000554	3	3	3	3	3
AT3G11400	OG0000555	2	4	3	2	4
AT1G49760	OG0000556	3	3	4	3	2
AT1G66950	OG0000557	1	2	2	2	8
AT2G37600	OG0000558	1	4	3	3	4
AT2G47160	OG0000559	3	3	3	3	3
AT2G43580	OG0000560	5	4	2	2	2
AT1G47980	OG0000561	1	2	1	1	10
AT2G29870	OG0000562	3	4	3	4	1
AT1G53540	OG0000563	2	3	5	2	3
AT3G57710	OG0000564	2	4	6	3	0
AT1G29840	OG0000565	3	3	4	4	1
AT3G56060	OG0000566	2	3	6	3	1
AT1G11610	OG0000567	1	5	4	5	0
AT5G39260	OG0000568	1	3	3	5	3
AT4G26485	OG0000569	1	3	3	4	4
AT4G19045	OG0000570	3	3	3	4	2
AT1G33920	OG0000571	1	6	4	3	1
AT1G33560	OG0000572	5	2	3	4	1
AT4G26590	OG0000573	2	2	2	2	7
AT1G66970	OG0000574	2	4	3	3	3
AT1G65310	OG0000575	4	2	5	4	0
AT2G27040	OG0000576	1	4	4	4	2
AT4G25810	OG0000577	2	2	2	2	7
AT3G49570	OG0000578	3	3	4	4	1
AT2G03520	OG0000579	2	4	4	4	1
AT5G20940	OG0000580	1	2	2	2	8
AT5G10220	OG0000581	2	3	3	3	4
AT1G69940	OG0000582	2	2	2	3	6
AT2G29140	OG0000583	2	3	4	3	3
AALP_AAs42227U000100	OG0000584	2	12	1	0	0
AALP_AAs43032U000300	OG0000585	1	14	0	0	0
AT1G43780	OG0000586	1	3	6	4	1
AT1G51420	OG0000587	1	4	4	4	2
AT4G12870	OG0000588	4	3	4	4	0
AT2G11035	OG0000589	0	10	4	1	0
Ah1G48110	OG0000590	0	15	0	0	0
AT1G06740	OG0000591	0	2	6	2	5
AT1G67800	OG0000592	0	4	4	3	4
AT3G44755	OG0000593	0	13	0	2	0
AT1G23201	OG0000594	0	2	11	2	0
Ah1G51870	OG0000595	0	13	2	0	0
AT1G26570	OG0000596	0	4	5	4	2
AT4G32200	OG0000597	0	14	0	1	0
AT1G24090	OG0000598	0	3	7	3	2
AT2G18770	OG0000599	0	2	11	2	0
AT2G27315	OG0000600	0	4	4	6	1
AT4G16857	OG0000601	0	3	1	11	0
