"Orthogroup","Aalpina_V4_priTranscripts","Ahalleri_v2.1.0.priTranscripts","Alyrata_v2.1.priTranscripts","Athaliana_Araport11.priTranscripts","Cpapayav_0.4_priTranscriptOnly"
"OG0000038","AALP_AA2G040100","Ah1G22000.1, Ah1G37370.1, Ah2G01010.1, Ah2G06120.1, Ah2G08120.1, Ah2G13120.1, Ah2G17670.1, Ah2G20440.1, Ah2G24040.1, Ah2G30180.1, Ah3G02140.1, Ah3G21720.1, Ah3G29580.1, Ah3G37280.1, Ah3G37610.1, Ah3G38150.1, Ah3G41490.1, Ah4G03960.1, Ah4G07800.1, Ah4G13090.1, Ah4G13930.1, Ah4G15390.1, Ah5G01620.1, Ah5G08300.1, Ah5G08510.1, Ah5G11400.1, Ah5G13530.1, Ah5U00100.1, Ah63U00010.1, Ah6G08080.1, Ah6G28890.1, Ah6G30890.1, Ah6G36280.1, Ah6G42960.1, Ah6G43000.1, Ah7G31320.1, Ah7G34010.1, Ah7G39620.1, Ah8G05160.1, Ah8G08780.1, Ah8G09570.1, Ah8G11110.1, Ah8G11320.1, Ah8G15220.1, Ah8G21350.1","AL7G45050.t2, AL7G46370.t1","AT2G22440.1",""
"OG0000039","AALP_AA3G361700, AALP_AA5G088400, AALP_AA5G088500, AALP_AA6G352800, AALP_AA8G389400, AALP_AA8G389500, AALP_AAs44436U000100","Ah5G14920.1, Ah5G14930.1, Ah5G14960.1, Ah5G14980.1, Ah5G15010.1, Ah5G15020.1, Ah5G15030.1, Ah5G15040.1, Ah5G15060.1, Ah7G37200.1, Ah7G37260.1, Ah8G26230.1, Ah8G26240.1, Ah8G26270.1","AL5G25540.t1, AL5G25550.t1, AL5G25590.t1, AL5G25610.t1, AL5G25630.t1, AL5G25640.t1, AL5G25650.t1, AL5G25660.t1, AL5G25670.t1, AL5G25690.t1, AL7G52904.t1, AL7G52952.t1, AL7G52980.t1, AL8G36070.t1, AL8G36080.t1, AL8G36090.t1","AT3G46650.1, AT3G46660.1, AT3G46670.1, AT3G46680.1, AT3G46690.1, AT3G46700.1, AT3G46720.1, AT5G37950.1, AT5G38010.1, AT5G38040.1, AT5G59580.1, AT5G59590.1",""
"OG0000040","AALP_AA8G328500","Ah1G33380.1, Ah1G33390.1, Ah2G31040.1, Ah2G31050.1, Ah2G31080.1, Ah3G31250.1, Ah7G02620.1, Ah8G15680.1, Ah8G15690.1, Ah8G17670.1, Ah8G17680.1, Ah8G17790.1, Ah8G19700.1, Ah8G19710.1, Ah8G19750.1, Ah8G19760.1, Ah8G19870.1, Ah8G21470.1, Ah8G24990.1","AL236U10020.t1, AL2G24370.t1, AL3G40910.t1, AL628U10010.t1, AL6G19150.t1, AL8G27430.t1, AL8G27440.t1, AL8G28780.t1, AL8G29750.t1, AL8G29760.t1, AL8G29780.t1, AL8G29920.t1, AL8G29950.t1, AL8G30820.t1","AT3G43170.1, AT3G43970.2, AT5G52930.1, AT5G52940.1, AT5G53230.1, AT5G54320.1, AT5G54330.1, AT5G54420.1, AT5G54450.1, AT5G54550.1, AT5G54560.1, AT5G55270.1, AT5G55870.1, AT5G55880.1, AT5G55890.1",""
"OG0000042","AALP_AA2G064200, AALP_AA2G081300, AALP_AA5G199400, AALP_AA5G199500, AALP_AA5G223900, AALP_AA5G224000, AALP_AA5G224100, AALP_AA6G352900","Ah2G15890.1, Ah2G15910.1, Ah2G15920.1, Ah2G15960.1, Ah6G30580.1, Ah7G36980.1, Ah7G37050.1, Ah7G37090.1, Ah7G37100.1, Ah7G37110.1","AL2G24580.t1, AL2G24590.t1, AL2G24600.t1, AL7G46770.t1, AL7G46830.t1, AL7G46840.t1, AL7G46850.t1, AL7G46860.t1, AL7G46870.t1, AL7G46880.t1, AL7G47450.t1, AL7G49470.t1, AL7G52890.t1, AL7G53030.t1, AL7G53060.t1, AL7G53090.t1, AL7G53100.t1, AL7G53110.t1, AL8G39760.t1","AT1G66610.1, AT1G66620.1, AT1G66630.1, AT1G66650.1, AT5G37870.1, AT5G37890.1, AT5G37900.1, AT5G37910.1, AT5G37930.1, AT5G62800.1","evm.model.supercontig_116.13"
"OG0000045","","Ah1G34280.1, Ah1G41400.1, Ah1G41860.1, Ah1G48120.1, Ah1G48130.1, Ah1G48750.1, Ah1G51680.1, Ah1G51690.1, Ah2G10730.1, Ah2G12830.1, Ah2G14600.1, Ah2G29920.1, Ah3G09390.1, Ah3G21240.1, Ah3G31870.1, Ah3G39260.1, Ah3G40920.1, Ah3G40960.1, Ah3G41070.1, Ah3U00410.1, Ah4G08050.1, Ah56U00050.1, Ah5G00950.1, Ah5G01360.1, Ah5G04940.1, Ah5G06560.1, Ah5G07790.1, Ah5G09380.1, Ah5G09390.1, Ah5G30490.1, Ah6G00150.1, Ah6G38180.1, Ah7G18620.1, Ah7G26470.1, Ah7G34930.1, Ah7G36640.1, Ah7G38200.1, Ah7G38960.1, Ah8G04190.1, Ah8G04290.1, Ah8G30120.1","AL1G46390.t1, AL1G47590.t1, AL1G51920.t1, AL1G64730.t1, AL5G18740.t1","AT5G27606.1",""
"OG0000046","AALP_AA2G016300, AALP_AA2G016400, AALP_AA2G020700, AALP_AA2G021700, AALP_AA2G021800, AALP_AA3G052900, AALP_AA3G075200, AALP_AA8G032300, AALP_AA8G415000, AALP_AAs45371U000100, AALP_AAs50016U000200, AALP_AAs60874U000100","Ah2G03930.1, Ah2G04070.1, Ah2G04080.1, Ah2G04090.1, Ah2G04100.1","AL1G66000.t1, AL2G13390.t1, AL2G13790.t1, AL2G13820.t1, AL2G13840.t1, AL2G13900.t1, AL2G13990.t1, AL2G14050.t1, AL2G14060.t1, AL2G14070.t1, AL2G14080.t1, AL2G14090.t1, AL2G14100.t1, AL2G14110.t1, AL5G22030.t1, AL5G26170.t1, AL6G35250.t1, AL8G20000.t1","AT1G56380.2, AT1G61960.1, AT1G61970.6, AT1G61980.1, AT1G61990.1, AT1G62085.1, AT1G62110.1, AT1G62120.1, AT1G62490.1, AT3G46950.1, AT5G23930.1",""
"OG0000047","AALP_AA2G059500, AALP_AA4G072400, AALP_AA5G092500, AALP_AA5G096400, AALP_AA5G097000, AALP_AA5G105200, AALP_AA8G227000, AALP_AA8G390600","Ah3G36770.1, Ah4G10900.1, Ah5G12610.1, Ah5G12630.1, Ah5G15640.1, Ah5G15650.1, Ah5G15660.1, Ah5G15690.1, Ah5G16150.1, Ah5G16160.1, Ah5G16200.1, Ah5G16210.1, Ah6G22520.1, Ah8G13990.1","AL3G46650.t1, AL4G21250.t1, AL5G23250.t1, AL5G26330.t1, AL5G26340.t1, AL5G26350.t1, AL5G26360.t1, AL5G26370.t1, AL5G26810.t1, AL5G26820.t1, AL5G26840.t1, AL5G26860.t1, AL5G26870.t1, AL6G32010.t1, AL8G24400.t1","AT3G47090.1, AT3G47110.1, AT3G47570.1, AT3G47580.1, AT5G20480.2, AT5G39390.1","evm.model.supercontig_112.36, evm.model.supercontig_16.15, evm.model.supercontig_19.169"
"OG0000049","AALP_AA5G090000, AALP_AA8G381300, AALP_AA8G381500, AALP_AA8G381700, AALP_AAs59441U000100, AALP_AAs64312U000100","Ah5G15310.1, Ah6G28230.1, Ah8G16250.1, Ah8G25240.1, Ah8G25250.1, Ah8G25720.1, Ah8G25730.1, Ah8G25760.1, Ah8G25790.1","AL285U10010.t1, AL48U10010.t1, AL48U10030.t1, AL48U10040.t2, AL5G25850.t1, AL5G25860.t1, AL5G25870.t1, AL8G26340.t1, AL8G34670.t1, AL8G35110.t1, AL8G35120.t1, AL8G35130.t1, AL8G35140.t1, AL8G35190.t1, AL8G35560.t1, AL8G35570.t1, AL8G35580.t1, AL8G35600.t1, AL8G35620.t1","AT3G46840.1, AT3G46850.1, AT5G58820.1, AT5G58830.1, AT5G58840.1, AT5G59090.1, AT5G59100.1, AT5G59110.1, AT5G59120.1, AT5G59130.4",""
"OG0000054","AALP_AA3G060200, AALP_AA3G061300, AALP_AA3G061400, AALP_AA3G061500","Ah2G00910.1, Ah2G01220.1, Ah2G01240.2, Ah2G01280.1, Ah2G01290.1, Ah2G01300.1, Ah2G01450.1, Ah2G06980.1, Ah2G09910.1, Ah2G09950.1, Ah2G09980.1, Ah3G39130.1, Ah8G24430.1","AL1G66260.t1, AL1G66330.t1, AL1G66350.t2, AL1G66380.t1, AL2G11205.t1, AL2G11220.t1, AL2G11240.t1, AL2G11260.t1, AL2G11380.t1, AL2G11390.t1, AL3G49580.t1","AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G63730.1, AT1G63740.2, AT1G63750.3, AT1G63860.1, AT1G63870.1, AT1G63880.1, AT1G64070.1, AT2G16870.1, AT4G14370.2, AT5G35510.2, AT5G38850.1, AT5G58120.1",""
"OG0000060","AALP_AAs63411U000100","Ah2G09970.1, Ah2U01850.1, Ah3G26010.1, Ah4G15860.1, Ah5G12600.1, Ah5G15130.1, Ah6G40640.1, Ah7G18660.1, Ah7G35960.1, Ah8G03410.1, Ah8G05780.1, Ah8G09120.1, Ah8G11400.1, Ah8G23880.1","AL1G47430.t1, AL1G51180.t1, AL1G60090.t2, AL3G30210.t1, AL3G40680.t1, AL3G42580.t1, AL3G43290.t1, AL4G10770.t1, AL4G17640.t1, AL4G18390.t1, AL5G16910.t1, AL5G16920.t1, AL6G41380.t1, AL6G43460.t2, AL7G43910.t1, AL8G21960.t1","AT1G37020.1, AT1G42525.1, AT2G10260.1, AT3G30305.1, AT3G31910.1, AT4G08430.1, AT5G28235.1, AT5G28810.1, AT5G45570.2",""
"OG0000065","AALP_AA3G074000, AALP_AA6G115400, AALP_AA6G145800, AALP_AA6G324000","Ah2G12750.1, Ah3G10540.1, Ah5G08590.1, Ah6G20100.1, Ah6G24340.3, Ah7G13190.1, Ah7G37960.1, Ah8G01790.1, Ah8G01830.1, Ah8G01850.3, Ah8G02110.1, Ah8G02130.1, Ah8G08530.1","AL2G19370.t1, AL3G20910.t1, AL3G46070.t1, AL6G29600.t1, AL8G11910.t1, AL8G11920.t1, AL8G11930.t1, AL8G11940.t1, AL8G11950.t1, AL8G11960.t1, AL8G12190.t1","AT1G31540.2, AT5G22690.2, AT5G40060.1, AT5G46260.1, AT5G46270.4, AT5G46450.1, AT5G46470.1, AT5G46490.2, AT5G46500.1, AT5G46510.1, AT5G46520.2",""
