"","assembly","gene","scaffold","start","end","length","max_length","copy"
"40","73_3a_fixed_genome_15_1_24","AL4G44060","scaffold_4_RagTag",22193740,22200144,6404,8181.25,1
"41","73_3a_fixed_genome_15_1_24","AL6G36110","scaffold_6_RagTag",10590793,10592884,2091,2593.75,1
"42","73_3a_fixed_genome_15_1_24","AL8G32740","scaffold_8_RagTag",17589930,17596062,6132,7657.5,1
"43","73_3a_fixed_genome_15_1_24","AL1G40480","scaffold_1_RagTag",11541696,11548577,6881,8606.25,1
"44","73_3a_fixed_genome_15_1_24","AL4G23330","scaffold_4_RagTag",13247268,13250108,2840,3543.75,1
"45","73_3a_fixed_genome_15_1_24","AL6G24590","scaffold_6_RagTag",5739637,5742500,2863,3593.75,1
"46","73_3a_fixed_genome_15_1_24","AL1G31800","scaffold_1_RagTag",8091753,8096536,4783,5962.5,1
"47","73_3a_fixed_genome_15_1_24","AL6G10970","scaffold_6_RagTag",341684,345200,3516,4407.5,1
"48","73_3a_fixed_genome_15_1_24","AL1G11800","scaffold_1_RagTag",661780,664528,2748,3423.75,1
"49","73_3a_fixed_genome_15_1_24","AL1G13710","scaffold_1_RagTag",1327215,1330247,3032,3810,1
"50","73_3a_fixed_genome_15_1_24","AL6G51420","scaffold_6_RagTag",22683655,22685784,2129,2703.75,1
"51","73_3a_fixed_genome_15_1_24","AL4G14860","scaffold_4_RagTag",2791037,2793733,2696,3381.25,1
"52","73_3a_fixed_genome_15_1_24","AL8G19860","scaffold_8_RagTag",9075560,9077348,1788,2268.75,1
"110","AL08_v2_f","AL4G22470","scaffold_4_RagTag",11270978,11275177,4199,5281.25,1
"210","AL08_v2_f","AL7G49290","scaffold_7_RagTag",24383286,24385045,1759,2215,1
"310","AL08_v2_f","AL5G14830","scaffold_5_RagTag",2089207,2091538,2331,2908.75,1
"410","AL08_v2_f","AL1G38960","scaffold_1_RagTag",10893113,10894470,1357,1721.25,1
"53","AL08_v2_f","AL7G37080","scaffold_7_RagTag",11289225,11291203,1978,2473.75,1
"61","AL08_v2_f","AL7G29360","scaffold_7_RagTag",7727789,7730158,2369,3018.75,1
"71","AL08_v2_f","AL4G35580","scaffold_4_RagTag",17729860,17730888,1028,1287.5,1
"81","AL08_v2_f","AL3G22630","scaffold_3_RagTag",4303107,4304072,965,1207.5,1
"91","AL08_v2_f","AL6G36570","scaffold_6_RagTag",10796878,10797454,576,727.5,1
"101","AL08_v2_f","AL6G40140","scaffold_6_RagTag",12959665,12971545,11880,14951.25,1
"111","AL08_v2_f","AL8G11370","scaffold_8_RagTag",462049,466872,4823,6021.25,1
"121","AL08_v2_f","AL2G37500","scaffold_2_RagTag",19896688,19906298,9610,12023.75,1
"13","AL08_v2_f","AL3G47290","scaffold_3_RagTag",19762904,19765162,2258,2827.5,1
"141","AL08_v2_f","AL5G16540","scaffold_5_RagTag",2943214,2945218,2004,2497.5,1
"151","AL08_v2_f","AL8G17880","scaffold_8_RagTag",4476384,4483546,7162,8911.25,1
"161","AL08_v2_f","AL8G10660","scaffold_8_RagTag",182684,185863,3179,3978.75,1
"171","AL08_v2_f","AL3G16870","scaffold_3_RagTag",2344058,2345353,1295,1616.25,1
"181","AL08_v2_f","AL4G35500","scaffold_4_RagTag",17690651,17691676,1025,1283.75,1
"191","AL08_v2_f","AL4G10190","scaffold_4_RagTag",358106,358887,781,1041.25,1
"201","AL08_v2_f","AL1G40880","scaffold_1_RagTag",11733542,11736845,3303,4146.25,1
"211","AL08_v2_f","AL4G44420","scaffold_4_RagTag",21355894,21357942,2048,2601.25,1
"221","AL08_v2_f","AL1G44510","scaffold_1_RagTag",13323739,13325974,2235,2793.75,1
"231","AL08_v2_f","AL3G25980","scaffold_3_RagTag",5569561,5571385,1824,2281.25,1
"241","AL08_v2_f","AL7G52050","scaffold_7_RagTag",22994776,22996693,1917,2411.25,1
"251","AL08_v2_f","AL4G11740","scaffold_4_RagTag",987313,989987,2674,3343.75,1
"261","AL08_v2_f","AL1G56790","scaffold_1_RagTag",24260556,24261676,1120,1361.25,1
"271","AL08_v2_f","AL2G29950","scaffold_2_RagTag",16740296,16743003,2707,3397.5,1
"28","AL08_v2_f","AL3G22540","scaffold_3_RagTag",4265283,4266173,890,1115,1
"291","AL08_v2_f","AL7G14700","scaffold_7_RagTag",1882776,1885609,2833,3436.25,1
"30","AL08_v2_f","AL7G17000","scaffold_7_RagTag",2823000,2825400,2400,3012.5,1
"311","AL08_v2_f","AL8G23980","scaffold_8_RagTag",12080237,12082792,2555,3198.75,1
"321","AL08_v2_f","AL1G44620","scaffold_1_RagTag",13370085,13374119,4034,5038.75,1
"331","AL08_v2_f","AL1G32880","scaffold_1_RagTag",8497592,8498920,1328,1592.5,1
"341","AL08_v2_f","AL3G41310","scaffold_3_RagTag",12573682,12575449,1767,2193.75,1
"351","AL08_v2_f","AL8G16570","scaffold_8_RagTag",3675608,3677396,1788,2277.5,1
"361","AL08_v2_f","AL2G25840","scaffold_2_RagTag",14600699,14604463,3764,4706.25,1
"371","AL08_v2_f","AL4G44060","scaffold_4_RagTag",21185824,21192498,6674,8181.25,1
"381","AL08_v2_f","AL6G36110","scaffold_6_RagTag",10450088,10452176,2088,2593.75,1
"391","AL08_v2_f","AL8G32740","scaffold_8_RagTag",16137786,16143783,5997,7657.5,1
"401","AL08_v2_f","AL1G40480","scaffold_1_RagTag",11584713,11591598,6885,8606.25,1
"411","AL08_v2_f","AL4G23330","scaffold_4_RagTag",12445616,12448497,2881,3543.75,1
"421","AL08_v2_f","AL6G24590","scaffold_6_RagTag",5561296,5564170,2874,3593.75,1
"431","AL08_v2_f","AL1G31800","scaffold_1_RagTag",8108712,8113478,4766,5962.5,1
"441","AL08_v2_f","AL6G10970","scaffold_6_RagTag",358065,361619,3554,4407.5,1
"451","AL08_v2_f","AL1G11800","scaffold_1_RagTag",714366,717076,2710,3423.75,1
"461","AL08_v2_f","AL1G13710","scaffold_1_RagTag",1430212,1433244,3032,3810,1
"471","AL08_v2_f","AL6G51420","scaffold_6_RagTag",23244999,23247096,2097,2703.75,1
"481","AL08_v2_f","AL4G14860","scaffold_4_RagTag",2644510,2647245,2735,3381.25,1
"491","AL08_v2_f","AL8G19860","scaffold_8_RagTag",8780697,8782472,1775,2268.75,1
"112","al1_v2_s","AL4G22470","scaffold_4_RagTag",12025870,12030098,4228,5281.25,1
"212","al1_v2_s","AL7G49290","scaffold_7_RagTag",26981311,26983072,1761,2215,1
"312","al1_v2_s","AL5G14830","scaffold_5_RagTag",2328803,2331134,2331,2908.75,1
"412","al1_v2_s","AL1G38960","scaffold_1_RagTag",12433033,12434388,1355,1721.25,1
"54","al1_v2_s","AL7G37080","scaffold_7_RagTag",12468735,12470751,2016,2473.75,1
"62","al1_v2_s","AL7G29360","scaffold_7_RagTag",8670947,8673358,2411,3018.75,1
"72","al1_v2_s","AL4G35580","scaffold_4_RagTag",19700039,19701071,1032,1287.5,1
"82","al1_v2_s","AL3G22630","scaffold_3_RagTag",4740553,4741518,965,1207.5,1
"92","al1_v2_s","AL6G36570","scaffold_6_RagTag",12199436,12200009,573,727.5,1
"102","al1_v2_s","AL6G40140","scaffold_6_RagTag",14851418,14863293,11875,14951.25,1
"113","al1_v2_s","AL8G11370","scaffold_8_RagTag",615931,620754,4823,6021.25,1
"122","al1_v2_s","AL2G37500","scaffold_2_RagTag",22261182,22270789,9607,12023.75,1
"131","al1_v2_s","AL3G47290","scaffold_3_RagTag",20047270,20049531,2261,2827.5,1
"142","al1_v2_s","AL5G16540","scaffold_5_RagTag",3309403,3311229,1826,2497.5,1
"152","al1_v2_s","AL8G17880","scaffold_8_RagTag",5189364,5196481,7117,8911.25,1
"162","al1_v2_s","AL8G10660","scaffold_8_RagTag",287510,290688,3178,3978.75,1
"172","al1_v2_s","AL3G16870","scaffold_3_RagTag",2489041,2490329,1288,1616.25,1
"182","al1_v2_s","AL4G35500","scaffold_4_RagTag",19662908,19663930,1022,1283.75,1
"192","al1_v2_s","AL4G10190","scaffold_4_RagTag",244578,245412,834,1041.25,1
"202","al1_v2_s","AL1G40880","scaffold_1_RagTag",13370040,13373364,3324,4146.25,1
"213","al1_v2_s","AL4G44420","scaffold_4_RagTag",23859474,23861554,2080,2601.25,1
"222","al1_v2_s","AL1G44510","scaffold_1_RagTag",15330473,15332716,2243,2793.75,1
"232","al1_v2_s","AL3G25980","scaffold_3_RagTag",6154531,6156355,1824,2281.25,1
"242","al1_v2_s","AL7G52050","scaffold_7_RagTag",25175805,25177716,1911,2411.25,1
"252","al1_v2_s","AL4G11740","scaffold_4_RagTag",982232,984751,2519,3343.75,1
"262","al1_v2_s","AL1G56790","scaffold_1_RagTag",27088432,27089468,1036,1361.25,1
"272","al1_v2_s","AL2G29950","scaffold_2_RagTag",18817051,18819796,2745,3397.5,1
"281","al1_v2_s","AL3G22540","scaffold_3_RagTag",4690885,4691771,886,1115,1
"292","al1_v2_s","AL7G14700","scaffold_7_RagTag",1932450,1935198,2748,3436.25,1
"301","al1_v2_s","AL7G17000","scaffold_7_RagTag",2957374,2959771,2397,3012.5,1
"313","al1_v2_s","AL8G23980","scaffold_8_RagTag",12048048,12050608,2560,3198.75,1
"322","al1_v2_s","AL1G44620","scaffold_1_RagTag",15381857,15385891,4034,5038.75,1
"332","al1_v2_s","AL1G32880","scaffold_1_RagTag",9539742,9541070,1328,1592.5,1
"342","al1_v2_s","AL3G41310","scaffold_3_RagTag",13695737,13697518,1781,2193.75,1
"352","al1_v2_s","AL8G16570","scaffold_8_RagTag",4220354,4222008,1654,2277.5,1
"362","al1_v2_s","AL2G25840","scaffold_2_RagTag",16238229,16241986,3757,4706.25,1
"372","al1_v2_s","AL4G44060","scaffold_4_RagTag",23509487,23516005,6518,8181.25,1
"382","al1_v2_s","AL6G36110","scaffold_6_RagTag",11735332,11737423,2091,2593.75,1
"392","al1_v2_s","AL8G32740","scaffold_8_RagTag",16971353,16977481,6128,7657.5,1
"402","al1_v2_s","AL1G40480","scaffold_1_RagTag",13192615,13199475,6860,8606.25,1
"422","al1_v2_s","AL4G23330","scaffold_4_RagTag",13161404,13164222,2818,3543.75,1
"432","al1_v2_s","AL6G24590","scaffold_6_RagTag",6172211,6175072,2861,3593.75,1
"442","al1_v2_s","AL1G31800","scaffold_1_RagTag",9134921,9139702,4781,5962.5,1
"452","al1_v2_s","AL6G10970","scaffold_6_RagTag",388913,392476,3563,4407.5,1
"462","al1_v2_s","AL1G11800","scaffold_1_RagTag",801604,804327,2723,3423.75,1
"472","al1_v2_s","AL1G13710","scaffold_1_RagTag",1769431,1773017,3586,3810,1
"482","al1_v2_s","AL6G51420","scaffold_6_RagTag",26297736,26299888,2152,2703.75,1
"492","al1_v2_s","AL4G14860","scaffold_4_RagTag",3232206,3234931,2725,3381.25,1
"501","al1_v2_s","AL8G19860","scaffold_8_RagTag",8486396,8488184,1788,2268.75,1
"114","AL27_v1","AL4G22470","scaffold_4_RagTag",10999155,11003381,4226,5281.25,1
"214","AL27_v1","AL7G49290","scaffold_7_RagTag",25036786,25038557,1771,2215,1
"314","AL27_v1","AL5G14830","scaffold_5_RagTag",2112572,2114905,2333,2908.75,1
"413","AL27_v1","AL1G38960","scaffold_1_RagTag",10978207,10979507,1300,1721.25,1
"55","AL27_v1","AL7G37080","scaffold_7_RagTag",11299637,11301615,1978,2473.75,1
"63","AL27_v1","AL7G29360","scaffold_7_RagTag",7762277,7764652,2375,3018.75,1
"73","AL27_v1","AL4G35580","scaffold_4_RagTag",17596074,17597106,1032,1287.5,1
"83","AL27_v1","AL3G22630","scaffold_3_RagTag",4395134,4396096,962,1207.5,1
"93","AL27_v1","AL6G36570","scaffold_6_RagTag",10714416,10714991,575,727.5,1
"103","AL27_v1","AL6G40140","scaffold_6_RagTag",13257339,13269225,11886,14951.25,1
"115","AL27_v1","AL8G11370","scaffold_8_RagTag",471982,476801,4819,6021.25,1
"123","AL27_v1","AL2G37500","scaffold_2_RagTag",19475643,19485252,9609,12023.75,1
"132","AL27_v1","AL3G47290","scaffold_3_RagTag",20794603,20796835,2232,2827.5,1
"143","AL27_v1","AL5G16540","scaffold_5_RagTag",2971453,2973458,2005,2497.5,1
"153","AL27_v1","AL8G17880","scaffold_8_RagTag",4328897,4336035,7138,8911.25,1
"163","AL27_v1","AL8G10660","scaffold_8_RagTag",174870,178044,3174,3978.75,1
"173","AL27_v1","AL3G16870","scaffold_3_RagTag",2420877,2422172,1295,1616.25,1
"183","AL27_v1","AL4G35500","scaffold_4_RagTag",17559211,17560236,1025,1283.75,1
"193","AL27_v1","AL4G10190","scaffold_4_RagTag",176852,177643,791,1041.25,1
"203","AL27_v1","AL1G40880","scaffold_1_RagTag",11783424,11786685,3261,4146.25,1
"215","AL27_v1","AL4G44420","scaffold_4_RagTag",21133017,21135066,2049,2601.25,1
"223","AL27_v1","AL1G44510","scaffold_1_RagTag",13424691,13426913,2222,2793.75,1
"233","AL27_v1","AL3G25980","scaffold_3_RagTag",5663155,5664979,1824,2281.25,1
"243","AL27_v1","AL7G52050","scaffold_7_RagTag",23616043,23617944,1901,2411.25,1
"253","AL27_v1","AL4G11740","scaffold_4_RagTag",770406,772615,2209,3343.75,1
"263","AL27_v1","AL1G56790","scaffold_1_RagTag",25083663,25084805,1142,1361.25,1
"273","AL27_v1","AL2G29950","scaffold_2_RagTag",16310231,16312945,2714,3397.5,1
"282","AL27_v1","AL3G22540","scaffold_3_RagTag",4356688,4357574,886,1115,1
"293","AL27_v1","AL7G14700","scaffold_7_RagTag",1769155,1771992,2837,3436.25,1
"302","AL27_v1","AL7G17000","scaffold_7_RagTag",2748374,2750783,2409,3012.5,1
"315","AL27_v1","AL8G23980","scaffold_8_RagTag",11443967,11446523,2556,3198.75,1
"323","AL27_v1","AL1G44620","scaffold_1_RagTag",13478257,13481785,3528,5038.75,1
"333","AL27_v1","AL1G32880","scaffold_1_RagTag",8546421,8547768,1347,1592.5,1
"343","AL27_v1","AL3G41310","scaffold_3_RagTag",12368230,12369997,1767,2193.75,1
"353","AL27_v1","AL8G16570","scaffold_8_RagTag",3530229,3532073,1844,2277.5,1
"363","AL27_v1","AL2G25840","scaffold_2_RagTag",14175910,14179662,3752,4706.25,1
"373","AL27_v1","AL4G44060","scaffold_4_RagTag",20972536,20978977,6441,8181.25,1
"383","AL27_v1","AL6G36110","scaffold_6_RagTag",10350116,10352221,2105,2593.75,1
"393","AL27_v1","AL8G32740","scaffold_8_RagTag",15374489,15380600,6111,7657.5,1
"403","AL27_v1","AL1G40480","scaffold_1_RagTag",11627955,11634817,6862,8606.25,1
"414","AL27_v1","AL4G23330","scaffold_4_RagTag",12181409,12184286,2877,3543.75,1
"423","AL27_v1","AL6G24590","scaffold_6_RagTag",5446571,5449412,2841,3593.75,1
"433","AL27_v1","AL1G31800","scaffold_1_RagTag",8138920,8143694,4774,5962.5,1
"443","AL27_v1","AL6G10970","scaffold_6_RagTag",336279,339833,3554,4407.5,1
"453","AL27_v1","AL1G11800","scaffold_1_RagTag",671950,674682,2732,3423.75,1
"463","AL27_v1","AL1G13710","scaffold_1_RagTag",1344604,1347656,3052,3810,1
"473","AL27_v1","AL6G51420","scaffold_6_RagTag",22973749,22975841,2092,2703.75,1
"483","AL27_v1","AL4G14860","scaffold_4_RagTag",2480451,2483149,2698,3381.25,1
"493","AL27_v1","AL8G19860","scaffold_8_RagTag",8641975,8643759,1784,2268.75,1
"116","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G22470","scaffold_2",9391486,9395713,4227,5281.25,1
"216","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G49290","scaffold_5",8512900,8514646,1746,2215,1
"316","ALR.ragtag.scaffold_chr_15_1_24.masked","AL5G14830","scaffold_5",1979596,1981947,2351,2908.75,1
"415","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G38960","scaffold_1",8422962,8424263,1301,1721.25,1
"56","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G37080","scaffold_7",11315562,11317574,2012,2473.75,1
"64","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G29360","scaffold_7",7817005,7819388,2383,3018.75,1
"74","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G35580","scaffold_4",21119372,21120401,1029,1287.5,1
"84","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G22630","scaffold_3",4577633,4578599,966,1207.5,1
"94","ALR.ragtag.scaffold_chr_15_1_24.masked","AL6G36570","scaffold_6",12763558,12764133,575,727.5,1
"104","ALR.ragtag.scaffold_chr_15_1_24.masked","AL6G40140","scaffold_6",15037311,15049079,11768,14951.25,1
"117","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G11370","scaffold_8",533242,538061,4819,6021.25,1
"124","ALR.ragtag.scaffold_chr_15_1_24.masked","AL2G37500","scaffold_2",23148106,23157730,9624,12023.75,1
"133","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G47290","scaffold_3",18248754,18250990,2236,2827.5,1
"144","ALR.ragtag.scaffold_chr_15_1_24.masked","AL5G16540","scaffold_5",2869503,2871516,2013,2497.5,1
"154","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G17880","scaffold_8",4405093,4412214,7121,8911.25,1
"164","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G10660","scaffold_8",217160,220323,3163,3978.75,1
"174","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G16870","scaffold_3",2370989,2372282,1293,1616.25,1
"184","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G35500","scaffold_4",21088637,21089663,1026,1283.75,1
"194","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G10190","scaffold_4",234354,235185,831,1041.25,1
"204","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G40880","scaffold_1",7584397,7587705,3308,4146.25,1
"217","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G44420","scaffold_4",24731366,24733407,2041,2601.25,1
"224","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G44510","scaffold_1",13916251,13918491,2240,2793.75,1
"234","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G25980","scaffold_4",18583503,18585317,1814,2281.25,1
"244","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G52050","scaffold_5",9968719,9970637,1918,2411.25,1
"254","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G11740","scaffold_4",951104,953771,2667,3343.75,1
"264","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G56790","scaffold_1",23477178,23478320,1142,1361.25,1
"274","ALR.ragtag.scaffold_chr_15_1_24.masked","AL2G29950","scaffold_2",19693119,19695845,2726,3397.5,1
"283","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G22540","scaffold_3",4535571,4536458,887,1115,1
"294","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G14700","scaffold_7",1803020,1805857,2837,3436.25,1
"303","ALR.ragtag.scaffold_chr_15_1_24.masked","AL7G17000","scaffold_7",2773876,2776286,2410,3012.5,1
"317","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G23980","scaffold_8",12055271,12057828,2557,3198.75,1
"324","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G44620","scaffold_1",13965235,13969269,4034,5038.75,1
"334","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G32880","scaffold_1",10979872,10981203,1331,1592.5,1
"344","ALR.ragtag.scaffold_chr_15_1_24.masked","AL3G41310","scaffold_3",7252980,7254738,1758,2193.75,1
"354","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G16570","scaffold_8",3526306,3527925,1619,2277.5,1
"364","ALR.ragtag.scaffold_chr_15_1_24.masked","AL2G25840","scaffold_2",17566276,17570021,3745,4706.25,1
"374","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G44060","scaffold_4",24546509,24552907,6398,8181.25,1
"384","ALR.ragtag.scaffold_chr_15_1_24.masked","AL6G36110","scaffold_6",12254648,12256741,2093,2593.75,1
"394","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G32740","scaffold_8",16192440,16198573,6133,7657.5,1
"404","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G40480","scaffold_1",7743369,7750255,6886,8606.25,1
"424","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G23330","scaffold_2",8258112,8260975,2863,3543.75,1
"434","ALR.ragtag.scaffold_chr_15_1_24.masked","AL6G24590","scaffold_6",7188484,7191326,2842,3593.75,1
"444","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G31800","scaffold_1",11373566,11378347,4781,5962.5,1
"454","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G11800","scaffold_1",698933,701663,2730,3423.75,1
"464","ALR.ragtag.scaffold_chr_15_1_24.masked","AL1G13710","scaffold_1",1526012,1529065,3053,3810,1
"474","ALR.ragtag.scaffold_chr_15_1_24.masked","AL6G51420","scaffold_6",27714822,27716956,2134,2703.75,1
"484","ALR.ragtag.scaffold_chr_15_1_24.masked","AL4G14860","scaffold_4",2766168,2768871,2703,3381.25,1
"494","ALR.ragtag.scaffold_chr_15_1_24.masked","AL8G19860","scaffold_8",8924404,8926198,1794,2268.75,1
"118","BAM12_v2","AL4G22470","scaffold_4_RagTag",11271699,11275940,4241,5281.25,1
"218","BAM12_v2","AL7G49290","scaffold_7_RagTag",27395795,27397558,1763,2215,1
"318","BAM12_v2","AL5G14830","scaffold_5_RagTag",2521908,2524233,2325,2908.75,1
"416","BAM12_v2","AL1G38960","scaffold_1_RagTag",12063570,12064871,1301,1721.25,1
"57","BAM12_v2","AL7G37080","scaffold_7_RagTag",12309348,12311335,1987,2473.75,1
"65","BAM12_v2","AL7G29360","scaffold_7_RagTag",8418263,8420671,2408,3018.75,1
"75","BAM12_v2","AL4G35580","scaffold_4_RagTag",18511951,18512980,1029,1287.5,1
"85","BAM12_v2","AL3G22630","scaffold_3_RagTag",4781939,4782904,965,1207.5,1
"95","BAM12_v2","AL6G36570","scaffold_6_RagTag",11708692,11709272,580,727.5,1
"105","BAM12_v2","AL6G40140","scaffold_6_RagTag",14215771,14228232,12461,14951.25,1
"119","BAM12_v2","AL8G11370","scaffold_8_RagTag",553045,557866,4821,6021.25,1
"125","BAM12_v2","AL2G37500","scaffold_2_RagTag",22162319,22171932,9613,12023.75,1
"134","BAM12_v2","AL3G47290","scaffold_3_RagTag",23061795,23064056,2261,2827.5,1
"145","BAM12_v2","AL5G16540","scaffold_5_RagTag",3575137,3577096,1959,2497.5,1
"155","BAM12_v2","AL8G17880","scaffold_8_RagTag",5485025,5492177,7152,8911.25,1
"165","BAM12_v2","AL8G10660","scaffold_8_RagTag",208169,211350,3181,3978.75,1
"175","BAM12_v2","AL3G16870","scaffold_3_RagTag",2628450,2629738,1288,1616.25,1
"185","BAM12_v2","AL4G35500","scaffold_4_RagTag",18483251,18484277,1026,1283.75,1
"195","BAM12_v2","AL4G10190","scaffold_4_RagTag",213223,214055,832,1041.25,1
"205","BAM12_v2","AL1G40880","scaffold_1_RagTag",13028677,13031987,3310,4146.25,1
"219","BAM12_v2","AL4G44420","scaffold_4_RagTag",22424081,22426230,2149,2601.25,1
"225","BAM12_v2","AL1G44510","scaffold_1_RagTag",14923605,14925838,2233,2793.75,1
"235","BAM12_v2","AL3G25980","scaffold_3_RagTag",6196961,6198785,1824,2281.25,1
"245","BAM12_v2","AL7G52050","scaffold_7_RagTag",25598094,25600011,1917,2411.25,1
"255","BAM12_v2","AL4G11740","scaffold_4_RagTag",935028,937632,2604,3343.75,1
