Orthogroup	Aalpina_V4_priTranscripts	Ahalleri_v2.1.0.priTranscripts	Alyrata_v2.1.priTranscripts	Athaliana_Araport11.priTranscripts	Cpapayav_0.4_priTranscriptOnly
OG0000266	AALP_AA6G132400, AALP_AA6G132500, AALP_AA7G236700, AALP_AA8G191300	Ah8G03520.1, Ah8G03620.1, Ah8G04340.1, Ah8G04390.1	AL6G28990.t1, AL7G14900.t1, AL8G13580.t1, AL8G13620.t1, AL8G13710.t1, AL8G13740.t1, AL8G14230.t1, AL8G14320.t1, AL8G14370.t1	AT4G36140.1, AT5G17890.1, AT5G45050.1, AT5G45260.1	
OG0000534	AALP_AA2G121300, AALP_AA2G121400, AALP_AA2G201600, AALP_AA2G202000, AALP_AA2G202100, AALP_AA3G098300	Ah2G06500.1, Ah2G27540.1, Ah4G08080.1	AL2G35840.t1	AT1G75830.1, AT2G26010.1, AT2G26020.1, AT5G44420.1, AT5G44430.1	
OG0001688	AALP_AA4G039500		AL2G15130.t1, AL3G47160.t1	AT1G57570.1, AT1G60095.1, AT1G60110.2, AT1G60130.1, AT1G61230.1, AT5G38540.1, AT5G38550.1	
OG0002883		Ah5G03250.1	AL5G13720.t1	AT2G03913.1, AT2G03931.1, AT2G03933.1, AT2G03936.1, AT2G03937.2, AT2G03955.1, AT2G34123.1	
OG0000739		Ah2G08420.1	AL1G65230.t1, AL2G18220.t1, AL2G18240.t1, AL2G18250.t1	AT1G54775.1, AT1G58242.1, AT1G58245.1, AT1G58248.1, AT3G24465.1, AT5G34828.1, AT5G36720.1, AT5G36805.1, AT5G38378.1	
OG0000442		Ah1G25390.1	AL1G35030.t1	AT1G21835.1, AT1G34792.1, AT1G34795.1, AT1G34800.1, AT1G34805.1, AT1G34810.1, AT1G34815.1, AT1G34820.1, AT1G34825.1, AT1G34830.1, AT1G34840.1, AT1G34850.1, AT1G34860.1, AT1G34930.1, AT1G35035.1	
OG0000093	AALP_AA1G345400, AALP_AA4G007200, AALP_AA4G007300	Ah3G27010.1, Ah3G27090.1	AL3G36200.t3, AL3G36220.t1, AL3G38320.t1	AT3G21940.1, AT3G21980.1, AT3G21990.1, AT3G22000.1, AT3G22010.1, AT3G22020.1, AT3G22030.1, AT3G22040.1, AT3G22050.1, AT3G22053.1, AT4G20530.1, AT4G20540.1, AT4G20550.1, AT4G20560.1, AT4G20570.1, AT4G20580.1, AT4G20590.1, AT4G20600.1, AT4G20610.1, AT4G20620.1, AT4G20630.1, AT4G20640.1, AT4G20645.1, AT4G20670.1, AT4G20680.1	
OG0000200	AALP_AA6G316100, AALP_AA6G318300, AALP_AA6G323400, AALP_AA6G323600, AALP_AA7G219900, AALP_AA8G239800	Ah1G40330.1, Ah4G11920.1, Ah7G41480.6, Ah7G42350.1, Ah7G42580.1	AL4G22240.t1, AL7G47540.t1, AL7G47550.t1, AL7G47570.t1, AL7G47590.t1, AL7G47600.t1, AL7G47850.t1, AL7G47870.t1, AL7G47890.t1, AL7G48650.t1, AL7G48660.t1, AL7G48670.t1	AT5G40910.1	
OG0000016	AALP_AA1G063300, AALP_AA1G135600, AALP_AA1G139600, AALP_AA1G139900, AALP_AA2G005100, AALP_AA2G013500, AALP_AA2G014100, AALP_AA2G029900, AALP_AA8G174800, AALP_AAs49566U000200, AALP_AAs72154U000100	Ah1G06670.1, Ah1G14140.1, Ah1G14210.1, Ah1G14220.1, Ah1G14340.1, Ah2G00270.2, Ah2G01350.1, Ah2G02430.1, Ah2G02510.1, Ah2G02730.1, Ah2G02750.1, Ah2G02990.1, Ah2G03060.2, Ah2G03080.1, Ah2G03100.1, Ah3G19960.1, Ah3G27700.1, Ah6G18170.1, Ah7G41870.3	AL1G16610.t1, AL1G23620.t1, AL1G23630.t1, AL1G23970.t1, AL1G24070.t1, AL1G24080.t1, AL1G24180.t1, AL1G24190.t1, AL2G10190.t1, AL2G11490.t1, AL2G11830.t1, AL2G12460.t1, AL2G12470.t1, AL2G12500.t1, AL2G12780.t1, AL2G12790.t1, AL2G12810.t1, AL2G12820.t1, AL2G12830.t1, AL2G13070.t1, AL2G13120.t1, AL2G13130.t1, AL2G13140.t1, AL2G13150.t1, AL2G13170.t1, AL2G13280.t1, AL2G18840.t1, AL3G29642.t1, AL3G36780.t1, AL6G27650.t1, AL7G48260.t1	AT1G06580.1, AT1G12300.1, AT1G12620.1, AT1G12700.2, AT1G12775.1, AT1G62590.1, AT1G62670.1, AT1G62680.2, AT1G62720.1, AT1G62910.1, AT1G62914.1, AT1G62930.1, AT1G63070.1, AT1G63080.3, AT1G63130.1, AT1G63150.1, AT1G63330.2, AT1G63400.1, AT1G64583.1, AT3G16710.1, AT3G22470.1, AT4G26800.2, AT5G16640.1, AT5G41170.1	evm.model.supercontig_161.35, evm.model.supercontig_58.57
OG0004132	AALP_AA3G321000		AL2G11030.t1, AL2G11040.t1, AL2G11070.t1, AL2G11960.t1, AL6G43560.t1	AT1G64030.1	
OG0003680		Ah1G44970.1, Ah2G11310.1, Ah3G43290.1, Ah4G28910.1, Ah5G18060.1, Ah8G18080.1	AL4G38680.t1	AT2G40790.1	
OG0001395		Ah2G03890.1, Ah3G36180.1, Ah6G34520.1, Ah6G34540.1, Ah6G34560.1, Ah7G23990.1	AL2G11060.t1, AL2G13760.t1, AL6G43420.t1	AT1G62170.2, AT2G14540.1	
OG0001188	AALP_AA1G165100, AALP_AA8G241600	Ah6G28410.1	AL6G37940.t1, AL6G37960.t1, AL6G37970.t2, AL6G37980.t2, AL8G21140.t1	AT5G25980.2, AT5G26000.1, AT5G48375.1	
OG0000347		Ah2G26400.1, Ah5G23260.1	AL2G34810.t1, AL3G50380.t1, AL496U10010.t1, AL496U10020.t1, AL5G18790.t1, AL5G18800.t1, AL5G32600.t1, AL5G34240.t1, AL6G41670.t1, AL6G41680.t1, AL6G41690.t1, AL6G41700.t1, AL6G51840.t1, AL6G51870.t1	AT1G45063.1, AT3G53330.1, AT4G01380.1	
OG0000386		Ah3G31240.1, Ah3G31460.1, Ah6G22590.1, Ah6G29430.1	AL1G47530.t1, AL1G47540.t1, AL3G41080.t1, AL6G31890.t1, AL6G31900.t1, AL6G31950.t1, AL6G32070.t1, AL6G32090.t2, AL6G32102.t1, AL6G40190.t1	AT1G33220.1, AT5G20330.1, AT5G20340.1, AT5G20390.1	
OG0000126	AALP_AA1G074500, AALP_AA8G053200	Ah4G13690.1, Ah4G13700.2, Ah4G13790.1, Ah4G13820.1, Ah4G13890.1, Ah4G13900.1	AL1G17600.t1, AL41U10050.t1, AL41U10060.t1, AL4G23710.t1, AL4G23730.t1, AL4G23850.t2, AL4G23910.t1, AL4G23920.t1, AL4G23930.t1, AL6G16010.t1, AL84U10010.t1	AT2G29150.1, AT2G29170.1, AT2G29260.1, AT2G29290.2, AT2G29350.1, AT2G29360.1, AT2G29370.1, AT5G06060.1	evm.model.supercontig_19.276, evm.model.supercontig_81.93
OG0000297	AALP_AA7G023900, AALP_AA7G024000	Ah7G22720.1, Ah7G22730.2, Ah7G22750.1, Ah7G22770.1, Ah7G22780.1	AL7G34270.t1, AL7G34280.t1, AL7G34290.t1	AT4G19720.1, AT4G19730.1, AT4G19740.1, AT4G19750.1, AT4G19760.1, AT4G19770.1, AT4G19800.1, AT4G19810.1, AT4G19820.1	evm.model.supercontig_127.9
OG0000402	AALP_AA1G218500	Ah1G28380.1, Ah1G28390.1	AL1G37820.t1, AL1G37850.t1, AL1G38110.t1, AL1G38130.t1, AL3G41480.t1, AL3G41490.t1, AL3G41560.t1	AT1G23810.1, AT1G24060.1, AT1G24230.1, AT1G24250.1, AT1G27260.1, AT1G27270.1, AT1G27280.1	
OG0000360	AALP_AA3G080900	Ah2G20710.1, Ah2G20740.1, Ah2G20770.1, Ah7G39010.1	AL2G29250.t1, AL2G29260.t1, AL2G29280.t1, AL2G29310.t1, AL2G29370.t1, AL2G29390.t1, AL5G35460.t1, AL7G51140.t1	AT1G70020.1, AT1G70040.1, AT1G70120.1, AT3G60700.1, AT5G39330.1	
