"short_func.x","func_cat.x","family_id","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","env_var","q.value","sig_class","short_func.y","func_cat.y","y_lab"
"Gag-Pol retrotransposon","Genetic Information & Regulation","OG0000822",-0.356801223461772,0.0932414353332664,-3.82663804119362,0.000201518154115456,0.104789771470484,0.0839709289465415,"bio3",0.0105461167320422,"FDR","Gag-Pol retrotransposon","Genetic Information & Regulation","<span style='color:#A3A500;'>Gag-Pol retrotransposon</span>"
"RT / nucleotidyltransferase","Genetic Information & Regulation","OG0001139",0.510385183056465,0.105536927038033,4.83608152502427,3.70561235803763e-06,0.211651633398402,0.193317950454179,"bio4",0.000581781140211908,"FDR","RT / nucleotidyltransferase","Genetic Information & Regulation","<span style='color:#A3A500;'>RT / nucleotidyltransferase</span>"
"hAT dimerization MYM ZnF","Genetic Information & Regulation","OG0000504",-0.324251954621402,0.0819713019039849,-3.9556765244647,0.000125235257694926,0.29831317617358,0.281994877945059,"bio13",0.00393238709162068,"FDR","hAT dimerization MYM ZnF","Genetic Information & Regulation","<span style='color:#A3A500;'>hAT dimerization MYM ZnF</span>"
"RNase H / thioredoxin","Genetic Information & Regulation","OG0000728",0.351891516162194,0.0922758324724058,3.81347430560893,0.00021140858180914,0.110807891545928,0.0901290053028098,"bio13",0.0055318578906725,"FDR","RNase H / thioredoxin","Genetic Information & Regulation","<span style='color:#A3A500;'>RNase H / thioredoxin</span>"
"UV-B insensitive C1 protein","Genetic Information & Regulation","OG0001820",0.399544582669684,0.0807647552691458,4.9470165710057,2.30378828590944e-06,0.318817599433854,0.302976148257897,"bio13",9.04236902219457e-05,"FDR","UV-B insensitive C1 protein","Genetic Information & Regulation","<span style='color:#A3A500;'>UV-B insensitive C1 protein</span>"
"Reverse transcriptase","Genetic Information & Regulation","OG0001079",0.303259159774418,0.091299899670769,3.32157166511664,0.00116461536455252,0.168572533220291,0.149237010737041,"bio15",0.0203160680260829,"FDR","Reverse transcriptase","Genetic Information & Regulation","<span style='color:#A3A500;'>Reverse transcriptase</span>"
"CCHC zinc knuckle","Genetic Information & Regulation","OG0000385",-0.326499236069568,0.0834522940866217,-3.91240575999826,0.000147071139947861,0.109061792407208,0.088342299207375,"soc_5.15cm_Q0.5_250m",0.00461803379436283,"FDR","CCHC zinc knuckle","Genetic Information & Regulation","<span style='color:#A3A500;'>CCHC zinc knuckle</span>"
"NAC transcription factor","Growth & Reproduction","OG0002892",-0.285030259576786,0.0887735046506597,-3.21075821776366,0.00167117677080614,0.213949409786887,0.195669163502861,"bio15",0.0248846146043287,"FDR","NAC transcription factor","Growth & Reproduction","<span style='color:#39B600;'>NAC transcription factor</span>"
"Subtilase protease","Multifunction","OG0000049",-0.36445724090391,0.0915398616042573,-3.9814047619989,0.000113756106719786,0.137165229246043,0.117099304344788,"bio3",0.00892985437750319,"FDR","Subtilase protease","Multifunction","<span style='color:#00BF7D;'>Subtilase protease</span>"
"CYP72 P450","Multifunction","OG0000196",-0.279608085223491,0.0814805296408622,-3.43159385997987,0.000806722809889495,0.316379902669954,0.300481760871581,"bio3",0.0253310962305301,"FDR","CYP72 P450","Multifunction","<span style='color:#00BF7D;'>CYP72 P450</span>"
"F-box protein","Multifunction","OG0001918",-0.321011719254725,0.0934410793964132,-3.43544532370896,0.000796297729165326,0.100952105443059,0.0800440148719669,"bio3",0.0253310962305301,"FDR","F-box protein","Multifunction","<span style='color:#00BF7D;'>F-box protein</span>"
"UCH deubiquitinase","Multifunction","OG0000271",-0.3460956411783,0.0925586318549818,-3.7392043750231,0.000276432668531718,0.105349294120286,0.0845434637509905,"bio13",0.00619998985135425,"FDR","UCH deubiquitinase","Multifunction","<span style='color:#00BF7D;'>UCH deubiquitinase</span>"
"Kelch repeat oxidase","Multifunction","OG0000299",-0.449756401870741,0.066573340211559,-6.75580345588024,4.39446362932825e-10,0.537171226195691,0.526407766339777,"bio13",3.44965394902268e-08,"FDR","Kelch repeat oxidase","Multifunction","<span style='color:#00BF7D;'>Kelch repeat oxidase</span>"
"Auxin-response F-box","Multifunction","OG0000022",-0.319141985175364,0.0947330210324043,-3.36885683257371,0.000995644197822378,0.104869116293824,0.0840521189983311,"bio15",0.0195395173822642,"FDR","Auxin-response F-box","Multifunction","<span style='color:#00BF7D;'>Auxin-response F-box</span>"
"C1 domain protein","Multifunction","OG0000096",-0.265501750661474,0.0830321577887302,-3.19757739329172,0.00174350802960265,0.312335799825764,0.296343609124037,"bio15",0.0248846146043287,"FDR","C1 domain protein","Multifunction","<span style='color:#00BF7D;'>C1 domain protein</span>"
"F-box DUF295 protein","Multifunction","OG0000220",-0.478299698488547,0.0908378454251876,-5.26542319723409,5.67998986248806e-07,0.176966682488957,0.157826372779398,"bio15",2.33280771768873e-05,"FDR","F-box DUF295 protein","Multifunction","<span style='color:#00BF7D;'>F-box DUF295 protein</span>"
"F-box/LRR protein","Multifunction","OG0000217",-0.305273806952493,0.0855483275336724,-3.56843687952093,0.000504983401281704,0.108555764075923,0.0878245027753628,"cec_5.15cm_Q0.5_250m",0.0396411970006138,"FDR","F-box/LRR protein","Multifunction","<span style='color:#00BF7D;'>F-box/LRR protein</span>"
"DUF295 protein","Signaling and Transport","OG0000040",-0.295551588151947,0.0948969096007319,-3.11444903101109,0.00227103583813242,0.0727191859661659,0.0511545158723558,"bio3",0.0324138751442536,"FDR","DUF295 protein","Signaling and Transport","<span style='color:#9590FF;'>DUF295 protein</span>"
"B3 domain protein","Uncategorized","OG0000962",-0.303111528791637,0.0942603026924546,-3.2156859264563,0.0016448600869231,0.0851186064319459,0.063842294953619,"bio3",0.0318691428046199,"FDR","B3 domain protein","Uncategorized","<span style='color:#FF62BC;'>B3 domain protein</span>"
"RALF peptide","Uncategorized","OG0001202",0.298406542218726,0.0946175218009363,3.15381904470651,0.0020050472730442,0.0781711986746751,0.0567333195740861,"bio3",0.0318691428046199,"FDR","RALF peptide","Uncategorized","<span style='color:#FF62BC;'>RALF peptide</span>"
"Uncharacterized protein","Uncategorized","OG0000170",-0.282924553547151,0.0949674676396546,-2.97917340094487,0.00345437202738518,0.100433068985989,0.0795129077996168,"bio15",0.0393418004892949,"FDR","Uncharacterized protein","Uncategorized","<span style='color:#FF62BC;'>Uncharacterized protein</span>"
"Uncharacterized DUF577 protein","Uncategorized","OG0000206",-0.316016705777995,0.0884191920489059,-3.57407366494823,0.000495195312703032,0.220211454781636,0.202076837450977,"bio15",0.012957610682396,"FDR","Uncharacterized DUF577 protein","Uncategorized","<span style='color:#FF62BC;'>Uncharacterized DUF577 protein</span>"
"Uncharacterized protein","Uncategorized","OG0000075",-0.294603816348547,0.0843275637039653,-3.49356489632219,0.000653564000758369,0.0902749972725027,0.0691186018602352,"soc_5.15cm_Q0.5_250m",0.0171015913531773,"FDR","Uncharacterized protein","Uncategorized","<span style='color:#FF62BC;'>Uncharacterized protein</span>"
"Uncharacterized protein","Uncategorized","OG0001363",-0.326499236069568,0.0834522940866217,-3.91240575999826,0.000147071139947861,0.109061792407208,0.088342299207375,"soc_5.15cm_Q0.5_250m",0.00461803379436283,"FDR","Uncharacterized protein","Uncategorized","<span style='color:#FF62BC;'>Uncharacterized protein</span>"
