"Sample","Population","PC1","PC2","Group","LR_cluster"
"GCA_946414125.1","Cvi-0.6911",4.2740318588623,-2.40267459158347,"CapeVerde","4"
"GCA_946414305.1","IP-Cat-0",13.617266406785,-3.18817207109798,"Iberia","4"
"GCA_946415005.1","ANGE-B-2",-3.66178130987078,-3.0661914396868,"Europe","3"
"GCA_946415165.1","IP-Evs-0",-3.05144517010336,-3.81707718097855,"Iberia","1"
"GCA_946415445.1","IP-Cas-6",10.2777183263235,-2.89616727380096,"Iberia","4"
"GCA_946415625.1","MONTM-B-7",-5.09042725072903,-2.01199630390164,"Europe","3"
"GCA_946415655.1","LACR-C-14",-5.07293497571652,-3.59903625329092,"Europe","3"
"GCA_946499665.1","Ey15-2_9994",-3.25535060543962,-3.54383892673565,"Europe","3"
"GCA_946499705.1","Col-0_6909",-0.63655866539678,3.84294996183744,"Europe","1"
"GCA_949796375.1","Bön",-4.01361643075041,-0.0486932113220582,"Europe","1"
"GCA_949796385.1","IP-Ini-0",-3.14200004411912,-2.67345396166266,"Iberia","1"
"GCA_949796415.1","Etna-2.1",-0.0103673834844751,-2.59644223520842,"Europe","4"
"GCA_949796455.1","Gel-1",-4.33757980165319,1.1044743654686,"Europe","1"
"GCA_949796475.1","IP-Piq-0",-4.1626173252995,-1.05682616296956,"Iberia","1"
"GCA_949796485.1","IP-Tri-0",-4.5431563106605,-2.46635876481465,"Iberia","1"
"GCA_949796525.1","HR-10",-3.83045852608746,0.545147300658283,"Europe","1"
"GCA_949796605.1","Ru-2",-3.25535060543962,-3.54383892673565,"Europe","3"
"GCA_949796635.1","DraIII-1",-4.7796527219287,2.97416044474908,"Europe","1"
"GCA_949796645.1","T850",-4.79756635619165,1.24887290199179,"Europe","1"
"GCA_949796655.1","Iasi-1",-3.74470003514799,4.3545633583806,"Europe","1"
"GCA_949796665.1","IP-Per-0",12.1240347197981,-1.53059068876308,"Iberia","4"
"GCA_949796705.1","11C1",-3.44339919930537,-0.543059875722321,"Europe","1"
"GCA_949796715.1","IP-Bus-0",-4.57707456180968,-4.97462182302999,"Iberia","3"
"GCA_949796755.1","IP-Fel-2",-5.01322061251554,-0.436259307425417,"Iberia","1"
