family_id	n_total_copies	n_genes	n_assemblies	n_P	n_F	n_U	n_A	prop_P	prop_F	prop_U	prop_A	assemblies_with_P	assemblies_with_F	assemblies_with_U	assemblies_with_A	functional_nonpseudo	prop_functional_nonpseudo	prop_pseudogenized	prop_changed_among_nonpseudo
OG0000040	258	14	22	61	18	178	1	0.2364341085271318	0.06976744186046512	0.689922480620155	0.003875968992248062	22	14	22	1	196	0.7596899224806202	0.2364341085271318	0.09183673469387756
OG0000042	359	19	22	247	35	59	18	0.6880222841225627	0.09749303621169916	0.16434540389972144	0.05013927576601671	22	21	22	15	94	0.2618384401114206	0.6880222841225627	0.3723404255319149
OG0000045	122	5	23	73	0	34	15	0.5983606557377049	0.0	0.2786885245901639	0.12295081967213115	23	0	20	15	34	0.2786885245901639	0.5983606557377049	0.0
OG0000046	380	18	22	125	31	221	3	0.32894736842105265	0.08157894736842106	0.5815789473684211	0.007894736842105263	22	16	22	3	252	0.6631578947368421	0.32894736842105265	0.12301587301587301
OG0000047	321	15	22	202	2	117	0	0.6292834890965732	0.006230529595015576	0.3644859813084112	0.0	22	2	22	0	119	0.3707165109034268	0.6292834890965732	0.01680672268907563
OG0000049	532	19	22	215	8	252	57	0.4041353383458647	0.015037593984962405	0.47368421052631576	0.10714285714285714	22	6	22	22	260	0.48872180451127817	0.4041353383458647	0.03076923076923077
OG0000054	199	11	22	132	6	38	23	0.6633165829145728	0.03015075376884422	0.19095477386934673	0.11557788944723618	22	6	22	14	44	0.22110552763819097	0.6633165829145728	0.13636363636363635
OG0000060	605	16	23	406	54	80	65	0.6710743801652893	0.08925619834710743	0.1322314049586777	0.10743801652892562	23	18	23	21	134	0.22148760330578512	0.6710743801652893	0.40298507462686567
OG0000065	200	11	22	149	3	20	28	0.745	0.015	0.1	0.14	22	3	18	21	23	0.115	0.745	0.13043478260869565
OG0000075	21	1	21	21	0	0	0	1.0	0.0	0.0	0.0	21	0	0	0	0	0.0	1.0	
OG0000077	147	7	23	117	1	26	3	0.7959183673469388	0.006802721088435374	0.17687074829931973	0.02040816326530612	23	1	18	2	27	0.1836734693877551	0.7959183673469388	0.037037037037037035
OG0000083	37	3	20	19	2	16	0	0.5135135135135135	0.05405405405405406	0.43243243243243246	0.0	13	2	10	0	18	0.4864864864864865	0.5135135135135135	0.1111111111111111
OG0000086	67	3	22	24	0	42	1	0.3582089552238806	0.0	0.6268656716417911	0.014925373134328358	17	0	22	1	42	0.6268656716417911	0.3582089552238806	0.0
OG0000087	162	8	22	105	10	25	22	0.6481481481481481	0.06172839506172839	0.15432098765432098	0.13580246913580246	22	7	16	20	35	0.21604938271604937	0.6481481481481481	0.2857142857142857
OG0000090	168	9	23	98	2	57	11	0.5833333333333334	0.011904761904761904	0.3392857142857143	0.06547619047619048	22	2	23	10	59	0.35119047619047616	0.5833333333333334	0.03389830508474576
OG0000093	34	3	21	27	0	6	1	0.7941176470588235	0.0	0.17647058823529413	0.029411764705882353	20	0	4	1	6	0.17647058823529413	0.7941176470588235	0.0
OG0000095	38	2	21	35	0	3	0	0.9210526315789473	0.0	0.07894736842105263	0.0	21	0	3	0	3	0.07894736842105263	0.9210526315789473	0.0
OG0000096	58	3	22	32	4	21	1	0.5517241379310345	0.06896551724137931	0.3620689655172414	0.017241379310344827	22	4	15	1	25	0.43103448275862066	0.5517241379310345	0.16
OG0000100	21	1	21	11	4	6	0	0.5238095238095238	0.19047619047619047	0.2857142857142857	0.0	11	4	6	0	10	0.47619047619047616	0.5238095238095238	0.4
OG0000103	124	7	22	85	2	15	22	0.6854838709677419	0.016129032258064516	0.12096774193548387	0.1774193548387097	22	2	8	17	17	0.13709677419354838	0.6854838709677419	0.11764705882352941
OG0000106	402	13	23	126	57	211	8	0.31343283582089554	0.1417910447761194	0.5248756218905473	0.01990049751243781	22	21	23	8	268	0.6666666666666666	0.31343283582089554	0.2126865671641791
OG0000107	336	15	22	178	16	142	0	0.5297619047619048	0.047619047619047616	0.4226190476190476	0.0	22	10	22	0	158	0.47023809523809523	0.5297619047619048	0.10126582278481013
OG0000118	48	6	21	22	0	24	2	0.4583333333333333	0.0	0.5	0.041666666666666664	19	0	12	2	24	0.5	0.4583333333333333	0.0
OG0000126	212	11	22	135	12	57	8	0.6367924528301887	0.05660377358490566	0.2688679245283019	0.03773584905660377	22	11	22	6	69	0.32547169811320753	0.6367924528301887	0.17391304347826086
OG0000141	39	2	21	35	1	3	0	0.8974358974358975	0.02564102564102564	0.07692307692307693	0.0	20	1	3	0	4	0.10256410256410256	0.8974358974358975	0.25
OG0000142	84	4	22	10	2	72	0	0.11904761904761904	0.023809523809523808	0.8571428571428571	0.0	8	2	22	0	74	0.8809523809523809	0.11904761904761904	0.02702702702702703
OG0000147	173	10	22	146	3	24	0	0.8439306358381503	0.017341040462427744	0.13872832369942195	0.0	22	3	14	0	27	0.15606936416184972	0.8439306358381503	0.1111111111111111
OG0000150	258	10	22	146	11	101	0	0.5658914728682171	0.04263565891472868	0.39147286821705424	0.0	22	10	22	0	112	0.43410852713178294	0.5658914728682171	0.09821428571428571
OG0000158	23	1	23	23	0	0	0	1.0	0.0	0.0	0.0	23	0	0	0	0	0.0	1.0	
OG0000159	172	8	22	110	39	23	0	0.6395348837209303	0.22674418604651161	0.13372093023255813	0.0	22	22	10	0	62	0.36046511627906974	0.6395348837209303	0.6290322580645161
OG0000164	179	8	22	179	0	0	0	1.0	0.0	0.0	0.0	22	0	0	0	0	0.0	1.0	
OG0000166	428	18	22	228	24	173	3	0.5327102803738317	0.056074766355140186	0.40420560747663553	0.007009345794392523	22	16	22	3	197	0.4602803738317757	0.5327102803738317	0.1218274111675127
OG0000167	151	7	22	91	0	60	0	0.6026490066225165	0.0	0.3973509933774834	0.0	22	0	22	0	60	0.3973509933774834	0.6026490066225165	0.0
OG0000170	3731	21	23	947	1013	1771	0	0.25381935138032696	0.271508978826052	0.474671669793621	0.0	23	23	23	0	2784	0.746180648619673	0.25381935138032696	0.36386494252873564
OG0000182	427	16	23	286	25	110	6	0.6697892271662763	0.0585480093676815	0.2576112412177986	0.01405152224824356	22	13	23	5	135	0.3161592505854801	0.6697892271662763	0.18518518518518517
OG0000184	326	11	22	231	20	75	0	0.7085889570552147	0.06134969325153374	0.23006134969325154	0.0	22	16	21	0	95	0.29141104294478526	0.7085889570552147	0.21052631578947367
OG0000185	131	6	22	105	18	2	6	0.8015267175572519	0.13740458015267176	0.015267175572519083	0.04580152671755725	22	18	1	5	20	0.15267175572519084	0.8015267175572519	0.9
OG0000186	39	2	22	37	0	0	2	0.9487179487179487	0.0	0.0	0.05128205128205128	21	0	0	2	0	0.0	0.9487179487179487	
OG0000188	386	19	22	173	19	168	26	0.4481865284974093	0.04922279792746114	0.43523316062176165	0.06735751295336788	22	19	22	22	187	0.4844559585492228	0.4481865284974093	0.10160427807486631
OG0000192	42	2	22	2	5	35	0	0.047619047619047616	0.11904761904761904	0.8333333333333334	0.0	2	5	22	0	40	0.9523809523809523	0.047619047619047616	0.125
OG0000196	85	4	22	11	1	73	0	0.12941176470588237	0.011764705882352941	0.8588235294117647	0.0	7	1	21	0	74	0.8705882352941177	0.12941176470588237	0.013513513513513514
OG0000199	393	9	23	84	20	289	0	0.21374045801526717	0.05089058524173028	0.7353689567430025	0.0	23	10	23	0	309	0.7862595419847328	0.21374045801526717	0.06472491909385113
OG0000200	372	12	22	351	0	20	1	0.9435483870967742	0.0	0.053763440860215055	0.002688172043010753	22	0	15	1	20	0.053763440860215055	0.9435483870967742	0.0
OG0000202	61	3	22	34	3	24	0	0.5573770491803278	0.04918032786885246	0.39344262295081966	0.0	21	3	17	0	27	0.4426229508196721	0.5573770491803278	0.1111111111111111
OG0000206	134	7	23	56	3	75	0	0.417910447761194	0.022388059701492536	0.5597014925373134	0.0	23	3	22	0	78	0.582089552238806	0.417910447761194	0.038461538461538464
OG0000207	251	13	22	220	1	8	22	0.8764940239043825	0.00398406374501992	0.03187250996015936	0.08764940239043825	22	1	6	21	9	0.035856573705179286	0.8764940239043825	0.1111111111111111
OG0000210	61	3	22	56	4	1	0	0.9180327868852459	0.06557377049180328	0.01639344262295082	0.0	22	4	1	0	5	0.08196721311475409	0.9180327868852459	0.8
OG0000213	162	8	22	95	2	60	5	0.5864197530864198	0.012345679012345678	0.37037037037037035	0.030864197530864196	22	2	22	5	62	0.38271604938271603	0.5864197530864198	0.03225806451612903
OG0000217	235	10	22	231	0	4	0	0.9829787234042553	0.0	0.01702127659574468	0.0	22	0	4	0	4	0.01702127659574468	0.9829787234042553	0.0
OG0000220	237	10	23	95	16	125	1	0.4008438818565401	0.06751054852320675	0.5274261603375527	0.004219409282700422	22	8	23	1	141	0.5949367088607594	0.4008438818565401	0.11347517730496454
OG0000224	48	2	21	44	0	4	0	0.9166666666666666	0.0	0.08333333333333333	0.0	21	0	4	0	4	0.08333333333333333	0.9166666666666666	0.0
OG0000228	52	3	22	40	0	12	0	0.7692307692307693	0.0	0.23076923076923078	0.0	21	0	10	0	12	0.23076923076923078	0.7692307692307693	0.0
OG0000242	232	10	22	191	11	29	1	0.8232758620689655	0.04741379310344827	0.125	0.004310344827586207	22	11	21	1	40	0.1724137931034483	0.8232758620689655	0.275
OG0000253	175	8	22	55	9	110	1	0.3142857142857143	0.05142857142857143	0.6285714285714286	0.005714285714285714	22	9	22	1	119	0.68	0.3142857142857143	0.07563025210084033
OG0000255	1059	14	23	926	6	117	10	0.874409820585458	0.0056657223796034	0.11048158640226628	0.009442870632672332	23	6	18	6	123	0.11614730878186968	0.874409820585458	0.04878048780487805
OG0000258	284	13	23	129	7	144	4	0.45422535211267606	0.02464788732394366	0.5070422535211268	0.014084507042253521	22	7	23	4	151	0.5316901408450704	0.45422535211267606	0.046357615894039736
OG0000261	123	5	23	70	9	44	0	0.5691056910569106	0.07317073170731707	0.35772357723577236	0.0	23	8	23	0	53	0.43089430894308944	0.5691056910569106	0.16981132075471697
OG0000264	212	7	22	153	5	54	0	0.7216981132075472	0.02358490566037736	0.25471698113207547	0.0	22	5	22	0	59	0.2783018867924528	0.7216981132075472	0.0847457627118644
OG0000266	107	9	22	65	7	18	17	0.6074766355140186	0.06542056074766354	0.16822429906542055	0.1588785046728972	22	7	14	12	25	0.2336448598130841	0.6074766355140186	0.28
OG0000269	32	2	22	25	7	0	0	0.78125	0.21875	0.0	0.0	22	7	0	0	7	0.21875	0.78125	1.0
OG0000271	68	3	22	26	7	35	0	0.38235294117647056	0.10294117647058823	0.5147058823529411	0.0	22	6	21	0	42	0.6176470588235294	0.38235294117647056	0.16666666666666666
OG0000272	22	1	22	8	1	3	10	0.36363636363636365	0.045454545454545456	0.13636363636363635	0.45454545454545453	8	1	3	10	4	0.18181818181818182	0.36363636363636365	0.25
OG0000276	166	7	23	118	2	12	34	0.7108433734939759	0.012048192771084338	0.07228915662650602	0.20481927710843373	22	2	7	23	14	0.08433734939759036	0.7108433734939759	0.14285714285714285
OG0000297	55	3	22	19	0	35	1	0.34545454545454546	0.0	0.6363636363636364	0.01818181818181818	17	0	20	1	35	0.6363636363636364	0.34545454545454546	0.0
OG0000298	110	5	22	16	1	92	1	0.14545454545454545	0.00909090909090909	0.8363636363636363	0.00909090909090909	12	1	22	1	93	0.8454545454545455	0.14545454545454545	0.010752688172043012
OG0000299	284	14	23	112	11	158	3	0.39436619718309857	0.03873239436619718	0.5563380281690141	0.01056338028169014	22	10	23	3	169	0.5950704225352113	0.39436619718309857	0.0650887573964497
OG0000319	33	2	22	18	1	14	0	0.5454545454545454	0.030303030303030304	0.42424242424242425	0.0	14	1	11	0	15	0.45454545454545453	0.5454545454545454	0.06666666666666667
OG0000320	37	2	22	24	0	1	12	0.6486486486486487	0.0	0.02702702702702703	0.32432432432432434	21	0	1	12	1	0.02702702702702703	0.6486486486486487	0.0
OG0000325	83	3	22	8	15	60	0	0.0963855421686747	0.18072289156626506	0.7228915662650602	0.0	6	11	22	0	75	0.9036144578313253	0.0963855421686747	0.2
OG0000329	11	1	11	2	0	9	0	0.18181818181818182	0.0	0.8181818181818182	0.0	2	0	9	0	9	0.8181818181818182	0.18181818181818182	0.0
OG0000338	300	12	23	206	4	89	1	0.6866666666666666	0.013333333333333334	0.2966666666666667	0.0033333333333333335	22	4	23	1	93	0.31	0.6866666666666666	0.043010752688172046
OG0000339	213	11	22	102	10	81	20	0.4788732394366197	0.046948356807511735	0.38028169014084506	0.09389671361502347	22	8	22	18	91	0.4272300469483568	0.4788732394366197	0.10989010989010989
OG0000343	147	8	23	103	13	7	24	0.7006802721088435	0.08843537414965986	0.047619047619047616	0.16326530612244897	23	11	2	21	20	0.1360544217687075	0.7006802721088435	0.65
OG0000347	715	14	22	75	39	596	5	0.1048951048951049	0.05454545454545454	0.8335664335664336	0.006993006993006993	22	13	22	5	635	0.8881118881118881	0.1048951048951049	0.06141732283464567
OG0000348	98	5	22	64	9	17	8	0.6530612244897959	0.09183673469387756	0.17346938775510204	0.08163265306122448	22	9	12	8	26	0.2653061224489796	0.6530612244897959	0.34615384615384615
OG0000360	152	8	22	77	13	59	3	0.506578947368421	0.08552631578947369	0.3881578947368421	0.019736842105263157	22	11	22	3	72	0.47368421052631576	0.506578947368421	0.18055555555555555
OG0000361	247	10	23	143	47	57	0	0.5789473684210527	0.1902834008097166	0.23076923076923078	0.0	22	20	22	0	104	0.42105263157894735	0.5789473684210527	0.4519230769230769
OG0000367	96	5	22	61	5	30	0	0.6354166666666666	0.052083333333333336	0.3125	0.0	22	5	19	0	35	0.3645833333333333	0.6354166666666666	0.14285714285714285
OG0000372	108	5	22	55	0	53	0	0.5092592592592593	0.0	0.49074074074074076	0.0	22	0	21	0	53	0.49074074074074076	0.5092592592592593	0.0
OG0000375	23	1	23	0	0	23	0	0.0	0.0	1.0	0.0	0	0	23	0	23	1.0	0.0	0.0
OG0000382	170	8	23	43	1	95	31	0.2529411764705882	0.0058823529411764705	0.5588235294117647	0.18235294117647058	19	1	23	22	96	0.5647058823529412	0.2529411764705882	0.010416666666666666
OG0000384	695	12	23	565	2	60	68	0.8129496402877698	0.0028776978417266188	0.08633093525179857	0.09784172661870504	23	2	20	22	62	0.08920863309352518	0.8129496402877698	0.03225806451612903
OG0000385	20	1	20	6	0	14	0	0.3	0.0	0.7	0.0	6	0	14	0	14	0.7	0.3	0.0
OG0000386	230	10	22	144	0	79	7	0.6260869565217392	0.0	0.34347826086956523	0.030434782608695653	22	0	22	7	79	0.34347826086956523	0.6260869565217392	0.0
OG0000388	201	7	22	159	1	24	17	0.7910447761194029	0.004975124378109453	0.11940298507462686	0.0845771144278607	22	1	15	14	25	0.12437810945273632	0.7910447761194029	0.04
OG0000402	99	7	22	85	0	14	0	0.8585858585858586	0.0	0.1414141414141414	0.0	22	0	5	0	14	0.1414141414141414	0.8585858585858586	0.0
OG0000418	67	3	22	20	0	22	25	0.29850746268656714	0.0	0.3283582089552239	0.373134328358209	17	0	18	21	22	0.3283582089552239	0.29850746268656714	0.0
OG0000419	66	3	22	25	4	36	1	0.3787878787878788	0.06060606060606061	0.5454545454545454	0.015151515151515152	22	4	21	1	40	0.6060606060606061	0.3787878787878788	0.1
OG0000422	148	8	22	46	19	83	0	0.3108108108108108	0.12837837837837837	0.5608108108108109	0.0	21	13	22	0	102	0.6891891891891891	0.3108108108108108	0.18627450980392157
OG0000432	23	1	22	21	0	0	2	0.9130434782608695	0.0	0.0	0.08695652173913043	20	0	0	2	0	0.0	0.9130434782608695	
OG0000434	165	8	23	90	1	74	0	0.5454545454545454	0.006060606060606061	0.4484848484848485	0.0	23	1	22	0	75	0.45454545454545453	0.5454545454545454	0.013333333333333334
OG0000440	224	12	23	119	2	96	7	0.53125	0.008928571428571428	0.42857142857142855	0.03125	22	2	23	7	98	0.4375	0.53125	0.02040816326530612
OG0000442	23	1	23	0	0	23	0	0.0	0.0	1.0	0.0	0	0	23	0	23	1.0	0.0	0.0
OG0000445	38	2	20	38	0	0	0	1.0	0.0	0.0	0.0	20	0	0	0	0	0.0	1.0	
OG0000448	193	8	22	139	7	47	0	0.7202072538860104	0.03626943005181347	0.24352331606217617	0.0	22	6	20	0	54	0.27979274611398963	0.7202072538860104	0.12962962962962962
OG0000452	10	1	10	1	0	9	0	0.1	0.0	0.9	0.0	1	0	9	0	9	0.9	0.1	0.0
OG0000453	23	1	23	0	0	23	0	0.0	0.0	1.0	0.0	0	0	23	0	23	1.0	0.0	0.0
OG0000473	22	1	22	12	0	10	0	0.5454545454545454	0.0	0.45454545454545453	0.0	12	0	10	0	10	0.45454545454545453	0.5454545454545454	0.0
OG0000496	42	2	22	21	0	21	0	0.5	0.0	0.5	0.0	20	0	21	0	21	0.5	0.5	0.0
OG0000500	40	2	21	38	0	2	0	0.95	0.0	0.05	0.0	21	0	2	0	2	0.05	0.95	0.0
OG0000501	196	9	22	177	0	18	1	0.9030612244897959	0.0	0.09183673469387756	0.00510204081632653	22	0	15	1	18	0.09183673469387756	0.9030612244897959	0.0
OG0000503	42	2	23	42	0	0	0	1.0	0.0	0.0	0.0	23	0	0	0	0	0.0	1.0	
OG0000504	37	3	22	32	0	5	0	0.8648648648648649	0.0	0.13513513513513514	0.0	22	0	4	0	5	0.13513513513513514	0.8648648648648649	0.0
OG0000510	60	4	22	23	4	33	0	0.38333333333333336	0.06666666666666667	0.55	0.0	16	4	20	0	37	0.6166666666666667	0.38333333333333336	0.10810810810810811
OG0000513	222	11	22	68	33	100	21	0.3063063063063063	0.14864864864864866	0.45045045045045046	0.0945945945945946	22	20	22	19	133	0.5990990990990991	0.3063063063063063	0.24812030075187969
OG0000534	23	1	23	0	0	23	0	0.0	0.0	1.0	0.0	0	0	23	0	23	1.0	0.0	0.0
OG0000535	140	7	22	112	2	26	0	0.8	0.014285714285714285	0.18571428571428572	0.0	22	2	17	0	28	0.2	0.8	0.07142857142857142
OG0000546	109	6	22	53	2	54	0	0.48623853211009177	0.01834862385321101	0.4954128440366973	0.0	22	2	19	0	56	0.5137614678899083	0.48623853211009177	0.03571428571428571
OG0000549	127	5	22	19	4	104	0	0.14960629921259844	0.031496062992125984	0.8188976377952756	0.0	15	4	22	0	108	0.8503937007874016	0.14960629921259844	0.037037037037037035
OG0000589	60	4	22	21	2	23	14	0.35	0.03333333333333333	0.38333333333333336	0.23333333333333334	14	2	17	14	25	0.4166666666666667	0.35	0.08
OG0000591	131	6	22	47	4	80	0	0.35877862595419846	0.030534351145038167	0.6106870229007634	0.0	22	4	22	0	84	0.6412213740458015	0.35877862595419846	0.047619047619047616
OG0000594	210	11	22	55	28	127	0	0.2619047619047619	0.13333333333333333	0.6047619047619047	0.0	19	16	22	0	155	0.7380952380952381	0.2619047619047619	0.18064516129032257
OG0000598	173	7	22	88	4	80	1	0.5086705202312138	0.023121387283236993	0.4624277456647399	0.005780346820809248	22	3	22	1	84	0.48554913294797686	0.5086705202312138	0.047619047619047616
OG0000599	407	11	22	368	1	17	21	0.9041769041769042	0.002457002457002457	0.04176904176904177	0.051597051597051594	22	1	12	15	18	0.044226044226044224	0.9041769041769042	0.05555555555555555
OG0000601	21	1	21	19	0	2	0	0.9047619047619048	0.0	0.09523809523809523	0.0	19	0	2	0	2	0.09523809523809523	0.9047619047619048	0.0
OG0000605	262	11	22	148	15	83	16	0.5648854961832062	0.05725190839694656	0.31679389312977096	0.061068702290076333	22	11	22	16	98	0.37404580152671757	0.5648854961832062	0.15306122448979592
OG0000606	169	8	22	124	2	42	1	0.7337278106508875	0.011834319526627219	0.2485207100591716	0.005917159763313609	22	2	22	1	44	0.2603550295857988	0.7337278106508875	0.045454545454545456
OG0000618	21	1	21	21	0	0	0	1.0	0.0	0.0	0.0	21	0	0	0	0	0.0	1.0	
OG0000620	114	7	22	76	2	33	3	0.6666666666666666	0.017543859649122806	0.2894736842105263	0.02631578947368421	22	2	22	3	35	0.30701754385964913	0.6666666666666666	0.05714285714285714
OG0000621	37	2	21	28	0	9	0	0.7567567567567568	0.0	0.24324324324324326	0.0	21	0	9	0	9	0.24324324324324326	0.7567567567567568	0.0
OG0000639	149	5	22	62	8	58	21	0.4161073825503356	0.053691275167785234	0.38926174496644295	0.14093959731543623	21	7	21	20	66	0.4429530201342282	0.4161073825503356	0.12121212121212122
OG0000679	37	2	23	34	0	0	3	0.918918918918919	0.0	0.0	0.08108108108108109	22	0	0	3	0	0.0	0.918918918918919	
OG0000692	104	5	22	21	14	69	0	0.20192307692307693	0.1346153846153846	0.6634615384615384	0.0	14	13	22	0	83	0.7980769230769231	0.20192307692307693	0.1686746987951807
OG0000712	153	7	22	32	0	121	0	0.20915032679738563	0.0	0.7908496732026143	0.0	20	0	22	0	121	0.7908496732026143	0.20915032679738563	0.0
OG0000720	431	10	22	208	22	157	44	0.48259860788863107	0.05104408352668213	0.3642691415313225	0.10208816705336426	22	8	21	20	179	0.41531322505800466	0.48259860788863107	0.12290502793296089
OG0000724	128	8	23	79	0	37	12	0.6171875	0.0	0.2890625	0.09375	23	0	16	11	37	0.2890625	0.6171875	0.0
OG0000725	105	8	22	88	1	16	0	0.8380952380952381	0.009523809523809525	0.1523809523809524	0.0	22	1	13	0	17	0.1619047619047619	0.8380952380952381	0.058823529411764705
OG0000728	51	3	22	30	7	14	0	0.5882352941176471	0.13725490196078433	0.27450980392156865	0.0	21	7	14	0	21	0.4117647058823529	0.5882352941176471	0.3333333333333333
OG0000731	105	5	23	46	2	57	0	0.4380952380952381	0.01904761904761905	0.5428571428571428	0.0	22	2	23	0	59	0.5619047619047619	0.4380952380952381	0.03389830508474576
OG0000736	21	1	21	21	0	0	0	1.0	0.0	0.0	0.0	21	0	0	0	0	0.0	1.0	
OG0000739	152	4	22	7	66	79	0	0.046052631578947366	0.4342105263157895	0.5197368421052632	0.0	3	22	22	0	145	0.9539473684210527	0.046052631578947366	0.45517241379310347
OG0000761	114	4	22	80	0	31	3	0.7017543859649122	0.0	0.2719298245614035	0.02631578947368421	21	0	22	3	31	0.2719298245614035	0.7017543859649122	0.0
OG0000792	44	2	22	8	2	25	9	0.18181818181818182	0.045454545454545456	0.5681818181818182	0.20454545454545456	8	2	21	9	27	0.6136363636363636	0.18181818181818182	0.07407407407407407
OG0000817	182	7	23	170	0	10	2	0.9340659340659341	0.0	0.054945054945054944	0.01098901098901099	23	0	6	2	10	0.054945054945054944	0.9340659340659341	0.0
OG0000822	177	8	22	18	30	129	0	0.1016949152542373	0.1694915254237288	0.7288135593220338	0.0	13	21	22	0	159	0.8983050847457628	0.1016949152542373	0.18867924528301888
OG0000846	90	4	22	39	1	19	31	0.43333333333333335	0.011111111111111112	0.2111111111111111	0.34444444444444444	22	1	16	20	20	0.2222222222222222	0.43333333333333335	0.05
OG0000857	45	2	23	40	1	3	1	0.8888888888888888	0.022222222222222223	0.06666666666666667	0.022222222222222223	22	1	3	1	4	0.08888888888888889	0.8888888888888888	0.25
OG0000865	459	10	22	327	9	89	34	0.7124183006535948	0.0196078431372549	0.19389978213507625	0.07407407407407407	22	7	21	15	98	0.21350762527233116	0.7124183006535948	0.09183673469387756
OG0000887	73	5	22	7	9	37	20	0.0958904109589041	0.1232876712328767	0.5068493150684932	0.273972602739726	6	9	22	18	46	0.6301369863013698	0.0958904109589041	0.1956521739130435
OG0000893	187	5	23	161	0	26	0	0.8609625668449198	0.0	0.13903743315508021	0.0	23	0	17	0	26	0.13903743315508021	0.8609625668449198	0.0
OG0000907	130	6	22	69	27	33	1	0.5307692307692308	0.2076923076923077	0.25384615384615383	0.007692307692307693	22	22	20	1	60	0.46153846153846156	0.5307692307692308	0.45
OG0000913	134	8	22	51	17	62	4	0.3805970149253731	0.12686567164179105	0.4626865671641791	0.029850746268656716	22	16	22	4	79	0.5895522388059702	0.3805970149253731	0.21518987341772153
OG0000929	147	5	22	140	1	6	0	0.9523809523809523	0.006802721088435374	0.04081632653061224	0.0	22	1	5	0	7	0.047619047619047616	0.9523809523809523	0.14285714285714285
OG0000949	179	4	22	51	0	128	0	0.2849162011173184	0.0	0.7150837988826816	0.0	22	0	22	0	128	0.7150837988826816	0.2849162011173184	0.0
OG0000962	87	4	22	24	7	56	0	0.27586206896551724	0.08045977011494253	0.6436781609195402	0.0	22	6	22	0	63	0.7241379310344828	0.27586206896551724	0.1111111111111111
OG0001007	152	7	22	129	3	17	3	0.8486842105263158	0.019736842105263157	0.1118421052631579	0.019736842105263157	22	3	10	3	20	0.13157894736842105	0.8486842105263158	0.15
OG0001019	44	2	22	15	1	21	7	0.3409090909090909	0.022727272727272728	0.4772727272727273	0.1590909090909091	15	1	21	7	22	0.5	0.3409090909090909	0.045454545454545456
OG0001038	17	1	17	5	8	4	0	0.29411764705882354	0.47058823529411764	0.23529411764705882	0.0	5	8	4	0	12	0.7058823529411765	0.29411764705882354	0.6666666666666666
OG0001079	31	3	19	8	0	22	1	0.25806451612903225	0.0	0.7096774193548387	0.03225806451612903	8	0	18	1	22	0.7096774193548387	0.25806451612903225	0.0
OG0001115	157	7	22	50	12	76	19	0.3184713375796178	0.07643312101910828	0.4840764331210191	0.12101910828025478	22	9	22	19	88	0.5605095541401274	0.3184713375796178	0.13636363636363635
OG0001127	190	7	23	70	22	98	0	0.3684210526315789	0.11578947368421053	0.5157894736842106	0.0	22	13	23	0	120	0.631578947368421	0.3684210526315789	0.18333333333333332
OG0001132	258	6	22	230	0	1	27	0.8914728682170543	0.0	0.003875968992248062	0.10465116279069768	22	0	1	15	1	0.003875968992248062	0.8914728682170543	0.0
