accession	assembly	sample_name	location	latitude	longitude	pop_name	OG0000007	OG0000009	OG0000012	OG0000015	OG0000016	OG0000022	OG0000024	OG0000027	OG0000029	OG0000030	OG0000038	OG0000039	OG0000040	OG0000042	OG0000045	OG0000046	OG0000047	OG0000049	OG0000054	OG0000060	OG0000065	OG0000074	OG0000075	OG0000077	OG0000083	OG0000086	OG0000087	OG0000090	OG0000093	OG0000095	OG0000096	OG0000100	OG0000103	OG0000106	OG0000107	OG0000118	OG0000126	OG0000141	OG0000142	OG0000147	OG0000150	OG0000158	OG0000159	OG0000164	OG0000166	OG0000167	OG0000170	OG0000182	OG0000184	OG0000185	OG0000186	OG0000188	OG0000192	OG0000196	OG0000199	OG0000200	OG0000202	OG0000205	OG0000206	OG0000207	OG0000210	OG0000213	OG0000217	OG0000220	OG0000224	OG0000228	OG0000242	OG0000248	OG0000253	OG0000255	OG0000258	OG0000261	OG0000264	OG0000266	OG0000269	OG0000271	OG0000272	OG0000276	OG0000297	OG0000298	OG0000299	OG0000319	OG0000320	OG0000325	OG0000329	OG0000338	OG0000339	OG0000343	OG0000347	OG0000348	OG0000360	OG0000361	OG0000367	OG0000372	OG0000375	OG0000382	OG0000384	OG0000385	OG0000386	OG0000388	OG0000402	OG0000418	OG0000419	OG0000422	OG0000432	OG0000434	OG0000440	OG0000442	OG0000445	OG0000448	OG0000452	OG0000453	OG0000473	OG0000496	OG0000500	OG0000501	OG0000503	OG0000504	OG0000510	OG0000513	OG0000534	OG0000535	OG0000546	OG0000549	OG0000589	OG0000591	OG0000594	OG0000598	OG0000599	OG0000601	OG0000605	OG0000606	OG0000618	OG0000620	OG0000621	OG0000639	OG0000679	OG0000692	OG0000712	OG0000720	OG0000724	OG0000725	OG0000728	OG0000731	OG0000736	OG0000739	OG0000761	OG0000792	OG0000817	OG0000822	OG0000846	OG0000857	OG0000862	OG0000865	OG0000887	OG0000893	OG0000907	OG0000913	OG0000929	OG0000949	OG0000962	OG0001007	OG0001019	OG0001038	OG0001079	OG0001115	OG0001127	OG0001132	OG0001135	OG0001136	OG0001139	OG0001188	OG0001196	OG0001202	OG0001262	OG0001318	OG0001336	OG0001349	OG0001363	OG0001392	OG0001395	OG0001398	OG0001400	OG0001401	OG0001408	OG0001411	OG0001412	OG0001688	OG0001769	OG0001813	OG0001820	OG0001841	OG0001885	OG0001893	OG0001901	OG0001911	OG0001918	OG0001923	OG0001927	OG0001928	OG0001929	OG0002178	OG0002370	OG0002564	OG0002742	OG0002810	OG0002829	OG0002867	OG0002883	OG0002891	OG0002892	OG0002893	OG0002919	OG0003409	OG0003680	OG0003687	OG0003691	OG0003730	OG0003767	OG0003807	OG0003808	OG0003820	OG0004081	OG0004132	OG0004303	OG0004694	OG0004872	OG0005764	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	cec_0.5cm_Q0.5_250m	cec_5.15cm_Q0.5_250m	phh2o_0.5cm_Q0.5_250m	phh2o_5.15cm_Q0.5_250m	soc_0.5cm_Q0.5_250m	soc_5.15cm_Q0.5_250m	PC1	PC2	busco_complete_pct	busco_duplicated_pct	contig_n50_mbp	total_length_bp	te_int_frac
GCA_036927255.1	ASM3692725v1	ASM3692725v1	Netherlands	52.24	4.45	Nok-1	3	31	28	17	34	16	14	22	9	21	1	11	16	10	1	11	6	10	15	13	9	89	1	12	16	1	4	15	14	1	22	2	7	8	9	13	8	4	11	8	6	1	2	7	2	5	3	5	9	4	3	4	3	7	15	1	5	1	10	3	7	7	4	9	0	3	2	1	2	1	2	16	7	3	10	9	1	5	9	10	5	2	1	10	14	1	3	5	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	17	3	2	1	1	10	1	11	2	2	9	8	4	5	2	7	4	1	1	2	3	2	28	3	3	3	3	1	2	10	7	4	1	2	1	5	7	8	11	8	1	1	2	4	2	1	1	1	1	5	4	1	23	5	1	4	8	0	4	2	1	1	4	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	6	3	2	8	2	7	1	2	2	0	1	3	4	3	1	3	1	4	2	2	1	7	3	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	10.35	4.2	0.236999988555908	486.2	19.65	2.05000000000001	17.6	11.7500000000001	8.95000000000005	16.65	4.25000000000006	962.1	108	44	23.8	310.2	172.8	274.5	234.2	NA	NA	NA	NA	NA	NA	-4.44036030812509	-1.36095921655929	99.4	1.1	13	132638367	0.221450389237678
GCA_036927265.1	ASM3692726v1	ASM3692726v1	Switzerland	46.21	6.14	Ge-0	3	31	29	15	33	15	14	24	8	23	1	11	15	10	1	11	5	10	13	14	10	86	1	12	18	1	5	16	18	1	23	2	7	9	9	15	8	4	11	8	8	1	2	7	2	5	2	4	15	4	3	4	3	7	13	1	5	1	10	3	7	7	4	8	1	3	2	1	2	1	2	16	7	3	15	9	1	10	9	10	5	2	1	10	15	1	3	6	3	10	5	4	1	7	1	8	3	1	4	1	8	1	1	4	1	3	2	17	3	2	1	1	10	1	16	2	2	9	8	4	5	1	7	4	0	1	2	3	2	17	3	3	3	3	1	2	10	7	4	1	2	1	5	7	8	11	5	1	1	2	4	2	0	1	1	1	5	4	1	18	5	1	4	8	0	4	2	1	0	5	3	3	1	4	3	1	3	6	1	2	2	1	4	3	2	1	1	7	3	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	3	3	5	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	11.2500000000001	8.8	0.330999994277954	660.7	24.45	-2.24999999999994	26.7	6.95000000000005	7.05000000000001	19.7500000000001	2.75000000000006	1102	114.2	72.2	12.7	317.9	237.9	260.5	265.1	NA	NA	NA	NA	NA	NA	-3.32994672734298	0.0614331676769409	99.4	1.1	14	132491861	0.223794614825434
GCA_036927275.1	ASM3692727v1	ASM3692727v1	Italy	37.51	15.09	Ct-1	3	31	30	15	34	16	15	21	10	21	1	11	15	10	1	11	4	10	13	14	10	90	1	12	19	1	4	16	21	1	22	2	9	9	8	14	8	4	12	8	7	1	2	7	2	5	2	5	15	4	3	4	3	7	15	1	5	2	10	3	7	7	3	9	1	4	2	1	2	1	2	16	6	3	14	9	1	7	9	10	5	2	1	10	13	1	3	5	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	18	3	2	1	1	9	1	18	2	2	9	8	4	5	2	7	4	1	1	1	3	2	14	3	3	3	2	1	2	9	8	4	1	2	1	3	7	10	12	8	1	1	2	4	2	1	1	1	1	5	4	1	22	5	1	4	7	1	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	0	1	2	4	3	1	4	1	4	2	2	1	8	2	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	18.55	7.3	0.304999995231628	571.9	31.65	7.85000000000002	23.8	13.45	26.15	26.15	11.85	595.7	100.4	7.9	65	284.5	31.8	31.8	235.3	NA	NA	NA	NA	NA	NA	-3.85577599125949	1.32881135113628	99.4	1.1	13	131229381	0.214532932987012
GCA_036927285.1	ASM3692728v1	ASM3692728v1	Spain	29.21	-13.48	Can-0	3	31	30	18	30	16	13	22	10	22	1	11	16	9	0	11	4	10	14	13	11	91	1	14	16	1	2	15	7	2	24	2	11	6	9	12	8	3	11	8	6	1	1	7	2	5	2	5	14	3	3	4	3	7	15	1	5	1	10	3	7	7	4	9	0	3	2	1	2	1	2	16	6	4	14	9	1	4	9	10	5	2	1	9	15	1	3	6	3	10	5	4	1	7	1	8	3	1	4	1	8	1	1	4	1	2	2	15	3	2	1	1	7	1	14	2	1	9	6	4	5	1	7	4	1	1	2	3	2	4	3	3	3	1	1	1	10	6	4	1	2	1	4	7	5	10	5	1	1	2	4	2	0	1	1	1	5	4	1	20	5	1	4	6	1	4	2	1	1	5	3	3	1	3	3	1	3	6	1	2	2	0	4	3	2	1	1	6	3	2	7	2	7	0	2	2	0	1	1	4	3	1	3	1	5	2	2	1	3	3	4	2	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	18.55	1	0.124000000953674	261.5	23.05	14.65	8.4	15.7500000000001	21.55	22.15	15.45	180.7	40.7	0.9	87.4	97.6	3.4	6.1	75.1	15.2	13.8	7.7	7.8	9.2	6.6	5.14786099528269	-2.04713787808544	99.4	1.1	12	129962383	0.209547311855616
GCA_036927355.1	ASM3692735v1	ASM3692735v1	Spain	41.24	-3	Cant-1	3	30	29	15	29	15	14	23	10	22	1	11	15	9	0	11	5	10	12	13	10	68	1	12	14	1	3	14	12	2	22	2	13	8	8	12	8	4	12	7	6	1	2	7	2	5	4	5	11	4	2	4	3	7	15	1	5	1	10	3	7	7	4	9	0	2	2	1	2	0	2	11	6	4	13	9	1	8	9	10	5	2	1	10	13	1	3	5	3	10	5	4	1	8	0	8	3	1	4	1	8	1	1	4	1	4	2	13	2	2	1	1	10	1	7	2	2	9	5	4	4	1	7	4	0	1	2	3	2	18	3	3	3	1	1	2	9	8	4	1	2	1	4	7	6	11	5	1	1	2	4	2	1	1	1	1	5	4	1	20	5	1	4	6	0	4	2	1	1	5	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	5	2	7	0	2	2	0	1	2	4	3	1	3	1	5	2	2	1	3	3	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	11.2500000000001	10.6	0.370000004768372	649.4	27.55	-1.14999999999998	28.7	7.25000000000006	19.85	20.2500000000001	3.55000000000001	566.9	72.1	20.5	34.7	184.8	81.6	88.5	142.8	19.8	19.4	7.7	8	22.3	12.4	7.72823084255985	-1.8567291141095	99.4	1.1	13	135625973	0.239455034176971
GCA_036927365.1	ASM3692736v1	ASM3692736v1	Czech Republic	48.3	19.85	Blh-1	3	30	29	17	33	16	14	22	10	22	1	11	15	10	1	11	4	10	11	12	12	100	1	13	19	1	5	15	18	1	23	2	7	7	8	12	8	4	11	8	8	1	2	7	2	5	3	5	14	6	3	4	3	7	15	1	5	0	10	3	7	7	4	9	1	4	2	1	2	1	2	14	6	3	11	9	1	8	9	10	5	2	1	10	14	1	3	5	3	12	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	3	2	16	3	2	1	1	10	1	15	2	2	9	8	4	5	1	7	4	1	1	2	3	2	14	3	3	2	3	1	2	9	8	4	1	2	1	4	6	8	12	8	1	1	2	4	2	0	1	1	1	5	4	1	21	5	1	4	6	1	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	9	2	4	2	2	1	1	2	1	2	2	1	0	1	1	1	2	1	1	1	8.95000000000005	9.1	0.301999998092651	764.7	24.35	-5.84999999999997	30.2	17.15	0.550000000000011	18.55	-1.14999999999998	630.5	83.5	30.5	32.5	235.2	99.8	218.6	106.7	19.6	19.4	6.7	6.7	31.2	16.2	-3.8211663331837	2.00262388652121	99.4	1.1	14	129606757	0.206703682895175
GCA_036927375.1	ASM3692737v1	ASM3692737v1	Ireland	53.87	-9.39	Bur-0	3	31	30	15	33	16	15	22	10	20	1	11	16	10	1	11	5	10	13	12	9	74	1	13	15	1	2	15	10	2	24	2	8	8	9	11	8	4	11	8	8	1	2	7	2	5	2	5	11	4	3	4	3	7	15	1	5	1	10	3	7	7	4	9	0	3	2	1	2	1	2	17	6	3	14	9	1	8	9	10	5	2	1	9	13	1	3	4	3	11	5	4	1	7	1	8	3	0	4	1	8	1	1	4	1	4	2	18	3	2	1	1	11	1	17	2	2	8	8	4	5	2	7	4	0	1	1	3	2	10	3	3	3	3	1	2	9	7	4	1	2	1	5	7	8	11	5	1	0	2	4	2	1	1	1	1	5	4	1	21	5	1	4	8	1	4	2	1	1	5	3	3	0	4	3	1	3	6	0	2	2	0	4	3	2	1	1	6	3	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	9	2	5	3	2	1	1	2	1	1	2	1	0	2	1	1	2	1	1	1	9.45000000000005	5.3	0.360999989509583	345.1	17.2500000000001	2.55000000000001	14.7	5.95000000000005	12.7500000000001	13.95	5.25000000000006	1551	179.5	85.7	26.3	519.2	269.8	285.6	481.3	25	18.6	5.4	5.4	90.6	68	-3.97094156479121	0.283635142314144	99.4	1.2	14	131802682	0.220773656184022
GCA_036927385.1	ASM3692738v1	ASM3692738v1	Germany	49.95	11.57	Bay-0	3	30	28	16	34	16	15	22	10	21	1	11	15	6	1	11	6	10	15	13	11	103	1	15	16	1	3	16	18	2	23	2	14	7	9	13	8	4	11	8	7	1	2	7	2	5	4	5	14	4	3	4	3	7	15	1	5	1	11	3	7	7	4	9	0	4	2	1	2	1	2	12	6	3	14	9	1	9	9	10	5	2	1	10	13	1	3	6	3	11	5	4	1	8	1	8	3	1	4	1	7	1	1	4	1	3	2	16	3	2	1	1	11	1	16	2	2	9	8	4	5	1	7	4	1	1	1	3	2	13	3	3	3	2	1	2	10	8	4	1	2	1	4	7	11	9	5	1	1	2	4	2	1	1	1	1	5	4	1	21	5	1	4	7	0	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	6	2	7	1	2	2	0	1	1	4	3	1	3	1	5	2	2	1	8	2	4	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	8.65000000000003	7.4	0.28199999332428	694.7	22.7500000000001	-3.54999999999995	26.3	0.850000000000023	4.35000000000002	17.55	-0.349999999999966	853.6	87.3	49.7	13.5	237.5	179.6	230	225.3	NA	NA	NA	NA	NA	NA	-5.07428585277585	2.40459422340719	99.4	1.1	14	130229030	0.208390164619978
GCA_036927435.1	ASM3692743v1	ASM3692743v1	Portugal	32.74	-16.93	Are-10	3	31	29	17	30	16	16	20	10	22	1	11	16	9	0	11	5	10	13	13	13	74	1	12	13	1	2	14	14	2	20	2	12	6	9	12	8	3	11	7	8	1	2	7	2	5	3	5	6	2	2	4	3	8	15	1	5	1	10	3	7	7	4	9	0	2	2	1	2	0	2	13	6	2	13	9	1	6	9	10	4	2	1	10	15	1	3	4	3	10	5	4	1	8	0	8	3	1	4	1	8	1	1	4	1	4	2	16	2	2	1	1	8	1	16	2	2	7	5	3	5	2	7	4	0	1	2	3	2	9	3	3	3	2	1	2	9	8	4	1	2	1	5	7	7	10	5	1	1	2	4	2	1	1	1	1	5	4	1	21	5	1	4	5	0	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	3	3	4	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	11.85	3.7	0.225	413.3	22.15	5.95000000000005	16.2	8.65000000000003	17.7500000000001	17.85	7.75000000000006	2506.3	429.1	21.7	60.7	1072.8	117.1	190.9	1028.3	19.8	19.1	5.4	5.5	58.5	45.8	15.6317746849261	-1.06964377500556	99.3	1.2	14	135806046	0.23948265160448
GCA_036927455.1	ASM3692745v1	ASM3692745v1	Portugal	32.74	-16.93	Are-6	3	31	29	17	29	16	17	19	10	22	1	11	16	9	0	11	5	10	12	13	14	82	1	11	15	1	2	14	14	2	21	2	12	6	9	12	8	4	11	7	8	1	2	7	2	5	4	5	6	3	2	4	3	8	13	1	5	1	10	3	7	7	4	9	0	2	2	1	2	0	2	14	5	2	13	9	1	5	9	10	4	2	1	9	15	1	3	5	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	13	2	2	1	1	8	1	16	2	2	8	6	3	5	2	7	4	0	1	2	3	2	11	3	3	3	2	1	2	9	8	4	1	2	1	5	7	7	10	5	1	1	2	4	2	1	1	1	1	5	4	1	21	5	1	4	5	0	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	3	3	4	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	11.85	3.7	0.225	413.3	22.15	5.95000000000005	16.2	8.65000000000003	17.7500000000001	17.85	7.75000000000006	2506.3	429.1	21.7	60.7	1072.8	117.1	190.9	1028.3	19.8	19.1	5.4	5.5	58.5	45.8	16.4477746718715	-1.17811791891704	99.3	1.2	14	134784271	0.233720980692176
GCA_036927475.1	ASM3692747v1	ASM3692747v1	Portugal	32.74	-16.93	Are-2	3	31	29	17	30	16	16	20	10	22	1	11	16	9	0	11	5	10	12	13	15	70	1	11	14	1	2	14	14	2	21	2	12	6	9	12	8	4	11	7	6	1	2	7	2	5	4	5	6	2	2	4	3	8	15	1	5	1	10	3	7	7	4	9	0	2	2	1	2	0	2	14	5	2	13	9	1	3	9	10	4	2	1	9	15	1	3	5	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	16	2	2	1	1	8	1	16	2	2	8	6	3	5	2	7	4	0	1	2	3	2	11	3	3	3	2	1	2	9	8	4	1	2	1	5	7	7	9	5	1	1	2	4	2	1	1	1	1	5	4	1	20	5	1	4	5	0	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	3	3	4	1	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	11.85	3.7	0.225	413.3	22.15	5.95000000000005	16.2	8.65000000000003	17.7500000000001	17.85	7.75000000000006	2506.3	429.1	21.7	60.7	1072.8	117.1	190.9	1028.3	19.8	19.1	5.4	5.5	58.5	45.8	15.7320547538524	-1.1961048884362	99.3	1.3	14	137599959	0.249662254623201
GCA_036927485.1	ASM3692748v1	ASM3692748v1	Iran	37.5	49.37	Anz-0	3	31	29	18	32	16	15	22	10	20	1	12	15	9	1	11	5	10	15	14	10	62	1	12	16	1	5	15	48	2	22	2	8	10	9	12	8	4	11	8	7	1	2	7	2	5	2	4	9	5	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	3	2	1	2	1	2	16	6	4	14	8	1	6	9	8	5	2	1	9	12	1	3	5	3	11	5	4	1	8	1	8	3	1	4	0	8	1	1	4	1	4	2	17	3	2	1	1	9	1	17	2	2	9	7	4	5	2	7	4	1	1	2	3	2	19	3	3	3	3	1	2	9	7	4	1	2	1	4	7	7	12	5	1	1	2	4	2	1	1	1	1	5	4	1	20	4	1	4	8	1	4	3	1	1	5	2	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	3	3	5	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	16.7500000000001	3	0.144000005722046	651.1	27.2500000000001	6.15000000000003	21.1	19.15	22.45	25.05	8.65000000000003	1275.7	211.6	37	52.7	561.4	127.1	157.4	287.6	23	20.5	7.1	7.2	32.9	18.4	-2.69446521825913	-1.50152297873486	99.4	1.2	12	137297184	0.22994460687555
GCA_036927505.1	ASM3692750v1	ASM3692750v1	Armenia	40.14	44.82	Geg-14	3	31	32	18	33	16	11	24	10	21	1	12	15	9	1	11	5	10	11	14	10	99	1	14	18	1	3	15	20	1	23	2	14	10	9	13	8	4	11	8	8	1	2	7	2	5	2	5	12	4	3	4	3	7	15	1	5	1	10	3	7	7	4	9	1	3	2	1	2	1	2	13	7	2	12	9	1	8	9	10	5	2	1	9	15	1	3	5	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	16	2	2	1	1	11	1	16	2	1	9	8	4	5	2	7	4	0	1	2	3	2	14	3	3	3	3	1	2	9	8	4	1	2	1	5	7	5	12	5	1	0	2	4	2	0	1	1	1	5	4	1	21	5	1	4	8	1	4	2	1	1	4	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	5	2	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	2	3	5	2	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	6.45000000000005	10	0.28199999332428	918.2	24.2500000000001	-11.2499999999999	35.5	5.35000000000002	17.65	17.95	-5.64999999999998	724.4	102.4	26.4	37.4	274	100.2	142.9	158.7	28.8	26.4	6.8	6.9	29.4	21.8	0.761503404715594	8.10233096585962	99.4	0.9	11	131282113	0.209337984985053
GCA_036936705.1	ASM3693670v1	ASM3693670v1	Germany	50.28	8.36	Db-1	3	31	32	18	33	16	17	23	8	22	1	11	15	9	1	11	5	10	15	13	10	62	1	16	19	1	5	15	54	1	23	2	7	10	8	13	8	4	11	8	8	1	2	7	2	5	4	5	10	5	3	4	2	7	15	1	5	1	11	3	7	7	4	9	0	3	2	1	2	0	2	15	7	4	16	9	1	9	9	10	5	2	1	10	14	1	3	6	3	10	5	3	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	8	2	2	1	1	10	1	14	2	2	9	8	4	5	1	7	4	1	1	2	2	2	14	3	3	3	3	1	2	10	8	4	1	2	1	4	7	7	12	5	1	1	2	4	2	1	1	1	0	4	4	1	20	5	1	4	5	0	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	8	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	6	4	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	8.15000000000003	7.5	0.315000009536743	598.6	21.05	-2.64999999999998	23.7	14.45	3.95000000000005	15.95	0.550000000000011	846.1	80	54	9.9	231.4	184.5	224.2	210.1	29.6	20	6	6.1	39.2	22.9	-5.02635264325222	-0.70763262892106	99.4	1.1	19	137524412	0.23430153622471
GCA_036936715.1	ASM3693671v1	ASM3693671v1	Estonia	59.45	24.76	Est-0	3	31	28	16	35	16	26	23	10	22	1	12	15	9	1	11	5	10	12	14	9	57	1	14	17	1	3	16	14	2	23	2	13	9	8	15	8	4	11	8	7	1	2	7	2	5	1	5	15	4	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	4	2	1	2	1	2	14	8	3	15	9	1	7	9	10	5	2	1	10	13	1	3	5	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	3	2	11	3	2	1	1	10	1	14	1	2	9	6	4	5	2	7	4	1	1	2	3	2	18	3	3	3	3	1	2	10	7	4	1	2	1	4	6	7	11	14	1	0	2	4	2	1	1	1	1	5	4	1	22	5	1	4	8	0	4	2	1	0	5	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	6	3	2	7	2	7	1	2	2	1	1	3	4	3	1	3	1	4	2	2	1	9	2	4	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	6.05000000000001	5.3	0.187999999523163	767.8	20.95	-7.34999999999997	28.3	11.7500000000001	4.45000000000005	16.2500000000001	-3.34999999999997	670.4	81.7	30.4	31.8	226.7	100.4	215.7	141.6	NA	NA	NA	NA	NA	NA	-2.07282945293811	-1.15662624445383	99.4	1.1	13	135155182	0.228662930585969
GCA_036936845.1	ASM3693684v1	ASM3693684v1	India	34.2	76.83	Kas-1	3	31	29	17	33	16	16	21	10	21	1	11	16	9	1	11	5	10	11	13	9	111	1	13	19	1	5	16	20	1	24	2	8	7	8	13	8	4	11	6	8	1	2	7	2	5	3	5	14	4	3	4	3	7	15	1	5	1	10	3	7	7	4	9	1	3	2	1	2	1	2	15	7	3	12	9	1	5	9	10	5	2	1	10	15	1	3	5	3	12	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	5	3	2	1	1	11	1	17	2	2	9	8	4	5	2	7	4	0	1	1	3	2	19	3	3	3	3	1	2	10	7	4	1	2	1	5	6	7	12	5	1	0	2	4	2	1	1	1	1	5	4	1	20	5	1	4	7	1	4	2	1	1	4	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	2	1	4	2	2	1	8	3	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	-4.64999999999998	11.2	0.290000009536743	962.1	14.85	-23.65	38.5	-11.55	-9.84999999999997	8.55000000000001	-16.35	525.1	63.9	18.9	30.5	176.1	77	133.4	143.2	16.2	15.8	7.9	7.9	6.8	8.2	-1.30623059936381	9.09141205261604	99.4	1.1	9	136722755	0.228835573127531
GCA_036936885.1	ASM3693688v1	ASM3693688v1	Poland	52.24	21.01	Mh-0	3	31	30	18	31	16	16	23	10	22	1	11	15	10	1	11	6	10	13	13	12	66	1	14	24	1	4	16	48	2	22	2	13	7	9	15	8	4	11	8	8	1	2	7	2	5	2	5	13	5	2	4	3	7	15	1	5	1	11	3	7	7	4	9	1	3	2	1	2	1	2	16	7	3	15	9	1	8	9	10	5	2	1	9	16	1	3	5	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	3	2	11	3	2	1	1	10	1	12	2	2	9	7	4	5	2	7	4	0	1	1	3	2	19	3	3	3	3	1	2	9	8	4	1	2	1	5	6	7	12	5	1	1	2	4	2	1	1	1	1	5	4	1	20	5	1	4	5	1	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	8	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	9	4	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	8.45000000000005	7.3	0.263000011444092	741.1	23.35	-4.24999999999994	27.6	17.95	0.0500000000000114	17.95	-1.04999999999995	579.7	78.5	30.2	34.4	221.5	97	221.5	104.6	NA	NA	NA	NA	NA	NA	-4.5338068439576	-2.41471072608963	99.4	1	21	135767870	0.220507178907646
GCA_036936895.1	ASM3693689v1	ASM3693689v1	Italy	44.5	9.5	Mr-0	3	31	28	17	32	16	18	22	9	21	1	11	14	9	1	11	5	10	14	13	11	89	1	14	17	1	5	15	54	1	22	2	9	10	9	12	8	4	11	8	8	1	2	7	2	5	4	5	10	4	3	4	3	7	15	1	5	0	10	3	7	7	4	9	0	4	2	1	2	1	2	15	8	3	13	8	1	9	7	10	5	2	1	9	14	1	3	5	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	3	2	9	3	2	1	1	10	1	18	2	2	9	7	4	5	2	7	4	1	1	2	3	2	13	3	3	3	2	1	2	7	7	4	1	2	1	5	7	8	10	5	1	1	2	4	2	1	1	1	1	5	4	1	19	5	1	5	8	1	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	6	2	7	1	2	2	1	1	1	4	3	1	3	1	4	2	2	1	3	3	5	3	2	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	7.85000000000002	6.7	0.292000007629395	584.3	19.85	-3.14999999999998	23	8.65000000000003	15.65	15.65	0.650000000000034	1545.4	217	58.1	35.9	581.5	248.2	248.2	357	20.9	17	5.8	6.1	68	60.6	-0.263698445175959	-0.58589922859276	99.4	1.2	14	139368761	0.239660026826241
