"gene","assembly","group","window","repeat_class","n_te_class"
"AT4G16860","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT4G16880","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT4G16890","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",3
"AT4G16900","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",4
"AT4G16920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",4
"AT4G16920","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT4G16940","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT4G16940","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT4G16950","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT4G16950","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",4
"AT4G16950","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",1
"AT4G19720","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/tRNA",1
"AT4G20210","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",2
"AT4G23160","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",3
"AT5G03495","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT5G11565","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT5G13940","GCA_020911765.2_ASM2091176v2_genomic","Single-copy","gene_body","LTR/Ty3",1
"AT5G27530","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT5G27530","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","SINE/unknown",1
"AT5G28615","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT5G28810","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/MULE-MuDR",1
"AT5G29624","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT5G34581","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Ty3",1
"AT5G35510","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT5G36180","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT5G36180","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/unknown",3
"AT5G37910","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT5G42280","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT5G42905","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/L1",1
"AT5G43470","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G43755","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT5G45570","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/MULE-MuDR",3
"AT5G46450","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Gypsy",1
"AT5G46490","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G46500","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G46670","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT5G48110","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LINE/unknown",1
"AT5G48620","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G51530","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G51630","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT5G52115","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G58830","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","LTR/Copia",1
"AT5G61940","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT5G61950","GCA_020911765.2_ASM2091176v2_genomic","Family","gene_body","DNA/Helitron",1
"AT1G04625","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G04625","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G11145","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G11145","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G11270","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",3
"AT1G12300","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G12620","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G18760","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","SINE/tRNA",1
"AT1G20400","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G20400","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G26510","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G26515","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G26515","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G27030","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G27540","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G27580","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",2
"AT1G29005","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G29355","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",2
"AT1G30140","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G30920","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G30930","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G31370","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G31370","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G31380","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G31960","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G32430","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G33220","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G33220","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G33710","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G34440","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34490","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G34500","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G34500","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G34500","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G34520","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G34520","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G34520","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G34560","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",2
"AT1G34792","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34795","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",2
"AT1G34800","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",3
"AT1G34805","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34810","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34815","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34820","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G34825","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",8
"AT1G34830","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",7
"AT1G34840","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G34840","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",4
"AT1G34860","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G34860","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",2
"AT1G35035","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G35353","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G35353","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G35353","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G35365","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G35365","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G35610","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/MULE-MuDR",1
"AT1G36325","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G36325","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",2
"AT1G36925","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G36970","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G37020","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G37020","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G40083","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G40390","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",5
"AT1G41920","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Gypsy",1
"AT1G41920","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",6
"AT1G42525","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/MULE-MuDR",1
"AT1G42710","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G42710","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G43090","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G43145","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",5
"AT1G43415","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",3
"AT1G43680","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G43730","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G43760","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",2
"AT1G43760","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G44030","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/MULE-MuDR",1
"AT1G44050","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/MULE-MuDR",1
"AT1G44050","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",3
"AT1G44050","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G45190","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",4
"AT1G45190","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G47300","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",3
"AT1G47350","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",2
"AT1G47470","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",4
"AT1G47470","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G47470","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Ty3",1
"AT1G47497","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",4
"AT1G47497","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G47497","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",1
"AT1G47497","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","SINE/unknown",1
"AT1G47730","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
"AT1G47765","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G47770","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G48800","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G48800","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G48800","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G48820","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G49920","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",1
"AT1G50080","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G50080","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G50770","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","SINE/tRNA",1
"AT1G50820","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/Copia",3
"AT1G51805","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/unknown",1
"AT1G51810","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LINE/L1",1
"AT1G51820","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",5
"AT1G51830","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G51850","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","LTR/unknown",3
"AT1G52430","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",1
"AT1G52450","GCA_020911765.2_ASM2091176v2_genomic","Family","pm1kb","DNA/Helitron",2
