"assembly","gene","scaffold","start","end","group","win_start","win_end","window_bp","window","n_te","te_classes","te_bp","te_fraction","nearest_te_dist"
"GCA_020911765.2_ASM2091176v2_genomic","AT1G40390","CP087126.2",14458319,14460716,"Family",14458319,14460716,2398,"gene_body",4,"LTR/Ty3",2397,0.999582985821518,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G43730","CP087126.2",18692342,18693403,"Family",18692342,18693403,1062,"gene_body",0,NA,0,0,30
"GCA_020911765.2_ASM2091176v2_genomic","AT1G43760","CP087126.2",18712499,18714684,"Family",18712499,18714684,2186,"gene_body",1,"LTR/Ty3",19,0.00869167429094236,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G44941","CP087126.2",19179383,19179565,"Family",19179383,19179565,183,"gene_body",0,NA,0,0,2196
"GCA_020911765.2_ASM2091176v2_genomic","AT1G50080","CP087126.2",20757667,20757942,"Family",20757667,20757942,276,"gene_body",1,"LINE/unknown",183,0.66304347826087,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G60720","CP087126.2",24557416,24558497,"Family",24557416,24558497,1082,"gene_body",1,"LINE/unknown",578,0.534195933456562,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G02520","CP087127.2",1184841,1186215,"Family",1184841,1186215,1375,"gene_body",0,NA,0,0,743
"GCA_020911765.2_ASM2091176v2_genomic","AT2G19146","CP087127.2",11465795,11466361,"Family",11465795,11466361,567,"gene_body",0,NA,0,0,947
"GCA_020911765.2_ASM2091176v2_genomic","AT3G25720","CP087128.1",9386692,9387863,"Family",9386692,9387863,1172,"gene_body",2,"LINE/unknown",564,0.48122866894198,0
"GCA_020911765.2_ASM2091176v2_genomic","AT3G25727","CP087128.1",9399969,9400792,"Family",9399969,9400792,824,"gene_body",0,NA,0,0,262
"GCA_020911765.2_ASM2091176v2_genomic","AT3G27590","CP087128.1",10226797,10228328,"Family",10226797,10228328,1532,"gene_body",1,"DNA/Helitron",21,0.0137075718015666,0
"GCA_020911765.2_ASM2091176v2_genomic","AT4G04650","CP087129.2",2544192,2545416,"Family",2544192,2545416,1225,"gene_body",0,NA,0,0,333
"GCA_020911765.2_ASM2091176v2_genomic","AT4G05095","CP087129.2",2804000,2804416,"Family",2804000,2804416,417,"gene_body",0,NA,0,0,3642
"GCA_020911765.2_ASM2091176v2_genomic","AT4G10613","CP087129.2",10066903,10068266,"Family",10066903,10068266,1364,"gene_body",3,"LINE/unknown",818,0.599706744868035,0
"GCA_020911765.2_ASM2091176v2_genomic","AT5G11565","CP087130.2",3720701,3720958,"Family",3720701,3720958,258,"gene_body",1,"LINE/unknown",248,0.961240310077519,0
"GCA_020911765.2_ASM2091176v2_genomic","AT5G16486","CP087130.2",5396644,5397273,"Family",5396644,5397273,630,"gene_body",0,NA,0,0,7229
"GCA_020911765.2_ASM2091176v2_genomic","AT5G28615","CP087130.2",10626183,10626713,"Family",10626183,10626713,531,"gene_body",1,"LINE/unknown",147,0.27683615819209,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G06580","CP087126.2",2017625,2019902,"Family",2017625,2019902,2278,"gene_body",0,NA,0,0,36830
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12300","CP087126.2",4186660,4189897,"Family",4186660,4189897,3238,"gene_body",1,"LINE/unknown",1035,0.31964175416924,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12620","CP087126.2",4298203,4300829,"Family",4298203,4300829,2627,"gene_body",0,NA,0,0,61185
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12620","CP087126.2",4187805,4189561,"Family",4187805,4189561,1757,"gene_body",0,NA,0,0,37
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12700","CP087126.2",4327184,4330028,"Family",4327184,4330028,2845,"gene_body",0,NA,0,0,31986
"GCA_020911765.2_ASM2091176v2_genomic","AT1G12775","CP087126.2",4357493,4359580,"Family",4357493,4359580,2088,"gene_body",0,NA,0,0,2434
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62590","CP087126.2",25377494,25379812,"Family",25377494,25379812,2319,"gene_body",0,NA,0,0,1726
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63330","CP087126.2",25690372,25692548,"Family",25690372,25692548,2177,"gene_body",0,NA,0,0,45789
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62914","CP087126.2",25501878,25503726,"Family",25501878,25503726,1849,"gene_body",0,NA,0,0,2859
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63330","CP087126.2",25708077,25709795,"Family",25708077,25709795,1719,"gene_body",0,NA,0,0,28542
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62670","CP087126.2",25404820,25407386,"Family",25404820,25407386,2567,"gene_body",0,NA,0,0,5122
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62680","CP087126.2",25407581,25410551,"Family",25407581,25410551,2971,"gene_body",0,NA,0,0,1957
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62720","CP087126.2",25428094,25429712,"Family",25428094,25429712,1619,"gene_body",0,NA,0,0,8951
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62910","CP087126.2",25499511,25501704,"Family",25499511,25501704,2194,"gene_body",0,NA,0,0,2337
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62930","CP087126.2",25613593,25615329,"Family",25613593,25615329,1737,"gene_body",0,NA,0,0,32001
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62930","CP087126.2",25507098,25509250,"Family",25507098,25509250,2153,"gene_body",0,NA,0,0,277
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63130","CP087126.2",25613083,25615720,"Family",25613083,25615720,2638,"gene_body",0,NA,0,0,31491
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63150","CP087126.2",25619859,25622279,"Family",25619859,25622279,2421,"gene_body",0,NA,0,0,38267
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62914","CP087126.2",25499727,25501225,"Family",25499727,25501225,1499,"gene_body",0,NA,0,0,2553
"GCA_020911765.2_ASM2091176v2_genomic","AT1G62930","CP087126.2",25499809,25501519,"Family",25499809,25501519,1711,"gene_body",0,NA,0,0,2635
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63130","CP087126.2",25507269,25509005,"Family",25507269,25509005,1737,"gene_body",0,NA,0,0,522
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63070","CP087126.2",25585889,25587732,"Family",25585889,25587732,1844,"gene_body",0,NA,0,0,4297
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63080","CP087126.2",25588139,25591403,"Family",25588139,25591403,3265,"gene_body",0,NA,0,0,6547
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63130","CP087126.2",25499732,25501521,"Family",25499732,25501521,1790,"gene_body",0,NA,0,0,2558
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63150","CP087126.2",25499518,25501521,"Family",25499518,25501521,2004,"gene_body",0,NA,0,0,2344
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63330","CP087126.2",25377396,25379572,"Family",25377396,25379572,2177,"gene_body",0,NA,0,0,1628
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63400","CP087126.2",25707745,25710051,"Family",25707745,25710051,2307,"gene_body",0,NA,0,0,28286
"GCA_020911765.2_ASM2091176v2_genomic","AT1G63400","CP087126.2",25377854,25379898,"Family",25377854,25379898,2045,"gene_body",0,NA,0,0,2086
"GCA_020911765.2_ASM2091176v2_genomic","AT1G64583","CP087126.2",26187467,26189389,"Family",26187467,26189389,1923,"gene_body",0,NA,0,0,12396
"GCA_020911765.2_ASM2091176v2_genomic","AT3G16710","CP087128.1",5695541,5697223,"Family",5695541,5697223,1683,"gene_body",0,NA,0,0,6987
"GCA_020911765.2_ASM2091176v2_genomic","AT3G22470","CP087128.1",7971645,7973681,"Family",7971645,7973681,2037,"gene_body",0,NA,0,0,12093
"GCA_020911765.2_ASM2091176v2_genomic","AT4G26800","CP087129.2",17005901,17008180,"Family",17005901,17008180,2280,"gene_body",0,NA,0,0,4403
"GCA_020911765.2_ASM2091176v2_genomic","AT5G16640","CP087130.2",5473975,5476071,"Family",5473975,5476071,2097,"gene_body",0,NA,0,0,30864
"GCA_020911765.2_ASM2091176v2_genomic","AT5G41170","CP087130.2",19645197,19647295,"Family",19645197,19647295,2099,"gene_body",0,NA,0,0,197
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58310","CP087126.2",23830831,23832526,"Family",23830831,23832526,1696,"gene_body",0,NA,0,0,3775
"GCA_020911765.2_ASM2091176v2_genomic","AT3G03030","CP087128.1",685055,687084,"Family",685055,687084,2030,"gene_body",0,NA,0,0,29522
"GCA_020911765.2_ASM2091176v2_genomic","AT3G03040","CP087128.1",687390,689640,"Family",687390,689640,2251,"gene_body",0,NA,0,0,26966
"GCA_020911765.2_ASM2091176v2_genomic","AT3G49150","CP087128.1",20900347,20901919,"Family",20900347,20901919,1573,"gene_body",0,NA,0,0,19976
"GCA_020911765.2_ASM2091176v2_genomic","AT3G58900","CP087128.1",24454319,24456379,"Family",24454319,24456379,2061,"gene_body",0,NA,0,0,5989
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59160","CP087128.1",24556528,24558195,"Family",24556528,24558195,1668,"gene_body",0,NA,0,0,66769
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59170","CP087128.1",24559672,24561304,"Family",24559672,24561304,1633,"gene_body",0,NA,0,0,63660
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59180","CP087128.1",24562224,24563964,"Family",24562224,24563964,1741,"gene_body",0,NA,0,0,61000
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59190","CP087128.1",24565931,24568313,"Family",24565931,24568313,2383,"gene_body",0,NA,0,0,56651
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59200","CP087128.1",24568628,24570928,"Family",24568628,24570928,2301,"gene_body",0,NA,0,0,54036
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59210","CP087128.1",24570981,24573449,"Family",24570981,24573449,2469,"gene_body",0,NA,0,0,51515
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59230","CP087128.1",24577453,24579292,"Family",24577453,24579292,1840,"gene_body",0,NA,0,0,45672
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59240","CP087128.1",24580187,24581869,"Family",24580187,24581869,1683,"gene_body",0,NA,0,0,43095
"GCA_020911765.2_ASM2091176v2_genomic","AT3G59250","CP087128.1",24583075,24584789,"Family",24583075,24584789,1715,"gene_body",0,NA,0,0,40175
"GCA_020911765.2_ASM2091176v2_genomic","AT4G14096","CP087129.2",11630550,11633039,"Family",11630550,11633039,2490,"gene_body",0,NA,0,0,14138
"GCA_020911765.2_ASM2091176v2_genomic","AT4G14103","CP087129.2",11633191,11635337,"Family",11633191,11635337,2147,"gene_body",0,NA,0,0,16779
"GCA_020911765.2_ASM2091176v2_genomic","AT1G10920","CP087126.2",3647822,3651426,"Family",3647822,3651426,3605,"gene_body",0,NA,0,0,79050
"GCA_020911765.2_ASM2091176v2_genomic","AT1G53350","CP087126.2",22108938,22112229,"Family",22108938,22112229,3292,"gene_body",0,NA,0,0,1800
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58390","CP087126.2",23889526,23893331,"Family",23889526,23893331,3806,"gene_body",0,NA,0,0,2163
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58400","CP087126.2",23894583,23898579,"Family",23894583,23898579,3997,"gene_body",0,NA,0,0,883
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58410","CP087126.2",23900069,23903866,"Family",23900069,23903866,3798,"gene_body",1,"LTR/Copia",61,0.0160610847814639,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58602","CP087126.2",23945239,23964934,"Family",23945239,23964934,19696,"gene_body",13,"DNA/Helitron, DNA/MULE-MuDR, LTR/Copia",7786,0.395308692120227,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58807","CP087126.2",23990528,23995820,"Family",23990528,23995820,5293,"gene_body",0,NA,0,0,3
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58848","CP087126.2",24015266,24019162,"Family",24015266,24019162,3897,"gene_body",0,NA,0,0,53
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59124","CP087126.2",24026786,24032078,"Family",24026786,24032078,5293,"gene_body",0,NA,0,0,3
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58807","CP087126.2",23978962,23983467,"Family",23978962,23983467,4506,"gene_body",1,"LTR/Copia",146,0.0324012427873946,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58848","CP087126.2",23990574,23995936,"Family",23990574,23995936,5363,"gene_body",1,"LTR/Copia",113,0.0210702964758531,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59124","CP087126.2",24015220,24019725,"Family",24015220,24019725,4506,"gene_body",1,"LTR/Copia",146,0.0324012427873946,0
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59218","CP087126.2",24026831,24031904,"Family",24026831,24031904,5074,"gene_body",0,NA,0,0,177
"GCA_020911765.2_ASM2091176v2_genomic","AT1G58848","CP087126.2",23979008,23982904,"Family",23979008,23982904,3897,"gene_body",0,NA,0,0,53
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59218","CP087126.2",24015265,24018985,"Family",24015265,24018985,3721,"gene_body",0,NA,0,0,204
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59218","CP087126.2",23990573,23995646,"Family",23990573,23995646,5074,"gene_body",0,NA,0,0,177
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59218","CP087126.2",23979007,23982727,"Family",23979007,23982727,3721,"gene_body",0,NA,0,0,204
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59620","CP087126.2",24101150,24104603,"Family",24101150,24104603,3454,"gene_body",0,NA,0,0,12717
"GCA_020911765.2_ASM2091176v2_genomic","AT1G59780","CP087126.2",24192109,24198521,"Family",24192109,24198521,6413,"gene_body",1,"DNA/Helitron",610,0.0951192889443318,0
"GCA_020911765.2_ASM2091176v2_genomic","AT4G16095","CP087129.2",12611124,12611814,"Family",12611124,12611814,691,"gene_body",0,NA,0,0,6332
"GCA_020911765.2_ASM2091176v2_genomic","AT5G35450","CP087130.2",16832918,16837594,"Family",16832918,16837594,4677,"gene_body",0,NA,0,0,5239
"GCA_020911765.2_ASM2091176v2_genomic","AT5G43470","CP087130.2",22883317,22888220,"Family",22883317,22888220,4904,"gene_body",1,"DNA/Helitron",85,0.0173327895595432,0
"GCA_020911765.2_ASM2091176v2_genomic","AT5G43470","CP087130.2",20629265,20634166,"Family",20629265,20634166,4902,"gene_body",0,NA,0,0,6294
"GCA_020911765.2_ASM2091176v2_genomic","AT5G48620","CP087130.2",22882858,22888231,"Family",22882858,22888231,5374,"gene_body",1,"DNA/Helitron",85,0.0158168961667287,0
"GCA_020911765.2_ASM2091176v2_genomic","AT5G48620","CP087130.2",20629287,20634626,"Family",20629287,20634626,5340,"gene_body",0,NA,0,0,5834
"GCA_020911765.2_ASM2091176v2_genomic","AT1G28430","CP087126.2",10014302,10016297,"Family",10014302,10016297,1996,"gene_body",0,NA,0,0,12873
"GCA_020911765.2_ASM2091176v2_genomic","AT2G05180","CP087127.2",2383623,2385027,"Family",2383623,2385027,1405,"gene_body",0,NA,0,0,1701
"GCA_020911765.2_ASM2091176v2_genomic","AT2G14100","CP087127.2",9100505,9102393,"Family",9100505,9102393,1889,"gene_body",1,"LINE/unknown",85,0.0449973530968767,0
"GCA_020911765.2_ASM2091176v2_genomic","AT2G27000","CP087127.2",14685397,14687250,"Family",14685397,14687250,1854,"gene_body",0,NA,0,0,767
"GCA_020911765.2_ASM2091176v2_genomic","AT2G27010","CP087127.2",14688278,14689964,"Family",14688278,14689964,1687,"gene_body",0,NA,0,0,214
"GCA_020911765.2_ASM2091176v2_genomic","AT3G20080","CP087128.1",7013561,7019386,"Family",7013561,7019386,5826,"gene_body",0,NA,0,0,37
"GCA_020911765.2_ASM2091176v2_genomic","AT3G20090","CP087128.1",7021488,7024343,"Family",7021488,7024343,2856,"gene_body",0,NA,0,0,1466
"GCA_020911765.2_ASM2091176v2_genomic","AT3G20100","CP087128.1",7024518,7026593,"Family",7024518,7026593,2076,"gene_body",0,NA,0,0,4496
"GCA_020911765.2_ASM2091176v2_genomic","AT3G20110","CP087128.1",7026955,7028991,"Family",7026955,7028991,2037,"gene_body",0,NA,0,0,6933
