accession,assembly,sample_name,location,latitude,longitude,pop_name,PC1,PC2,busco_complete_pct,contig_n50_mbp,total_length_mbp,OG0000009,OG0000012,OG0000015,OG0000016,OG0000022,OG0000024,OG0000027,OG0000029,OG0000030,OG0000039,OG0000040,OG0000042,OG0000045,OG0000046,OG0000047,OG0000049,OG0000054,OG0000060,OG0000065,OG0000074,OG0000075,OG0000077,OG0000083,OG0000087,OG0000090,OG0000093,OG0000095,OG0000096,OG0000100,OG0000103,OG0000106,OG0000107,OG0000118,OG0000126,OG0000141,OG0000142,OG0000147,OG0000150,OG0000159,OG0000164,OG0000170,OG0000182,OG0000184,OG0000185,OG0000186,OG0000192,OG0000196,OG0000199,OG0000205,OG0000206,OG0000210,OG0000217,OG0000220,OG0000224,OG0000228,OG0000242,OG0000255,OG0000261,OG0000264,OG0000266,OG0000269,OG0000271,OG0000276,OG0000297,OG0000298,OG0000299,OG0000319,OG0000325,OG0000329,OG0000338,OG0000343,OG0000348,OG0000361,OG0000367,OG0000372,OG0000375,OG0000382,OG0000384,OG0000385,OG0000386,OG0000388,OG0000402,OG0000434,OG0000440,OG0000442,OG0000445,OG0000448,OG0000452,OG0000473,OG0000500,OG0000501,OG0000503,OG0000504,OG0000510,OG0000513,OG0000534,OG0000535,OG0000546,OG0000589,OG0000594,OG0000598,OG0000601,OG0000618,OG0000620,OG0000639,OG0000679,OG0000692,OG0000725,OG0000728,OG0000731,OG0000736,OG0000739,OG0000761,OG0000817,OG0000822,OG0000862,OG0000887,OG0000893,OG0000907,OG0000913,OG0000949,OG0000962,OG0001019,OG0001038,OG0001079,OG0001115,OG0001127,OG0001135,OG0001136,OG0001139,OG0001196,OG0001202,OG0001349,OG0001363,OG0001395,OG0001398,OG0001408,OG0001688,OG0001769,OG0001820,OG0001885,OG0001893,OG0001918,OG0001927,OG0001929,OG0002370,OG0002742,OG0002829,OG0002883,OG0002891,OG0002892,OG0002893,OG0002919,OG0003687,OG0003730,OG0003808,OG0003820,cec_0_5cm,cec_5_15cm,pH_0_5cm,soc_5_15cm,bio3,bio4,bio8,bio10,bio13,bio15,bio18,te_int_frac
GCA_036927255.1,ASM3692725v1,ASM3692725v1,Netherlands,52.24,4.45,Nok-1,-4.440360308,-1.360959217,99.4,13,132.638367,31,28,17,34,16,14,22,9,21,11,16,10,1,11,6,10,15,13,9,89,1,12,16,4,15,14,1,22,2,7,8,9,13,8,4,11,8,6,2,7,3,5,9,4,3,3,7,15,1,10,7,4,9,0,3,2,1,16,7,3,10,9,5,9,10,5,2,10,14,1,5,10,4,1,8,1,8,3,1,4,1,8,4,2,17,3,2,1,10,11,2,2,9,8,4,5,2,7,1,2,3,28,3,3,2,10,7,1,5,7,8,11,8,1,2,1,1,1,5,4,23,5,4,8,0,4,2,1,4,3,1,4,6,1,2,0,2,6,3,8,7,1,0,3,3,3,4,2,7,3,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.236999989,486.2,11.75,16.65,108,23.8,274.5,0.221450389
GCA_036927265.1,ASM3692726v1,ASM3692726v1,Switzerland,46.21,6.14,Ge-0,-3.329946727,0.061433168,99.4,14,132.491861,31,29,15,33,15,14,24,8,23,11,15,10,1,11,5,10,13,14,10,86,1,12,18,5,16,18,1,23,2,7,9,9,15,8,4,11,8,8,2,7,2,4,15,4,3,3,7,13,1,10,7,4,8,1,3,2,1,16,7,3,15,9,10,9,10,5,2,10,15,1,6,10,4,1,7,1,8,3,1,4,1,8,3,2,17,3,2,1,10,16,2,2,9,8,4,5,1,7,0,2,3,17,3,3,2,10,7,1,5,7,8,11,5,1,2,0,1,1,5,4,18,5,4,8,0,4,2,0,5,3,1,4,6,1,2,1,2,7,3,7,7,1,0,2,3,3,4,2,3,3,5,1,2,2,2,1,2,20.8,17.5,6.6,21,0.330999994,660.7,6.95,19.75,114.2,12.7,260.5,0.223794615
GCA_036927275.1,ASM3692727v1,ASM3692727v1,Italy,37.51,15.09,Ct-1,-3.855775991,1.328811351,99.4,13,131.229381,31,30,15,34,16,15,21,10,21,11,15,10,1,11,4,10,13,14,10,90,1,12,19,4,16,21,1,22,2,9,9,8,14,8,4,12,8,7,2,7,2,5,15,4,3,3,7,15,2,10,7,3,9,1,4,2,1,16,6,3,14,9,7,9,10,5,2,10,13,1,5,11,4,1,8,1,8,3,1,4,1,8,4,2,18,3,2,1,9,18,2,2,9,8,4,5,2,7,1,1,3,14,3,2,2,9,8,1,3,7,10,12,8,1,2,1,1,1,5,4,22,5,4,7,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,0,2,3,4,4,2,8,2,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.304999995,571.9,13.45,26.15,100.4,65,31.8,0.214532933
GCA_036927285.1,ASM3692728v1,ASM3692728v1,Spain,29.21,-13.48,Can-0,5.147860995,-2.047137878,99.4,12,129.962383,31,30,18,30,16,13,22,10,22,11,16,9,0,11,4,10,14,13,11,91,1,14,16,2,15,7,2,24,2,11,6,9,12,8,3,11,8,6,1,7,2,5,14,3,3,3,7,15,1,10,7,4,9,0,3,2,1,16,6,4,14,9,4,9,10,5,2,9,15,1,6,10,4,1,7,1,8,3,1,4,1,8,2,2,15,3,2,1,7,14,2,1,9,6,4,5,1,7,1,2,3,4,3,1,1,10,6,1,4,7,5,10,5,1,2,0,1,1,5,4,20,5,4,6,1,4,2,1,5,3,1,3,6,1,2,0,2,6,3,7,7,0,0,1,3,3,5,2,3,3,4,2,2,2,2,0,2,15.2,13.8,7.7,6.6,0.124000001,261.5,15.75,22.15,40.7,87.4,6.1,0.209547312
GCA_036927355.1,ASM3692735v1,ASM3692735v1,Spain,41.24,-3,Cant-1,7.728230843,-1.856729114,99.4,13,135.625973,30,29,15,29,15,14,23,10,22,11,15,9,0,11,5,10,12,13,10,68,1,12,14,3,14,12,2,22,2,13,8,8,12,8,4,12,7,6,2,7,4,5,11,4,2,3,7,15,1,10,7,4,9,0,2,2,0,11,6,4,13,9,8,9,10,5,2,10,13,1,5,10,4,1,8,0,8,3,1,4,1,8,4,2,13,2,2,1,10,7,2,2,9,5,4,4,1,7,0,2,3,18,3,1,2,9,8,1,4,7,6,11,5,1,2,1,1,1,5,4,20,5,4,6,0,4,2,1,5,3,0,4,6,1,2,0,2,7,3,5,7,0,0,2,3,3,5,2,3,3,5,2,2,2,2,1,2,19.8,19.4,7.7,12.4,0.370000005,649.4,7.25,20.25,72.1,34.7,88.5,0.239455034
GCA_036927365.1,ASM3692736v1,ASM3692736v1,Czech Republic,48.3,19.85,Blh-1,-3.821166333,2.002623887,99.4,14,129.606757,30,29,17,33,16,14,22,10,22,11,15,10,1,11,4,10,11,12,12,100,1,13,19,5,15,18,1,23,2,7,7,8,12,8,4,11,8,8,2,7,3,5,14,6,3,3,7,15,0,10,7,4,9,1,4,2,1,14,6,3,11,9,8,9,10,5,2,10,14,1,5,12,4,1,8,1,8,3,1,4,1,8,3,2,16,3,2,1,10,15,2,2,9,8,4,5,1,7,1,2,3,14,2,3,2,9,8,1,4,6,8,12,8,1,2,0,1,1,5,4,21,5,4,6,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,9,2,4,2,2,2,2,0,1,19.6,19.4,6.7,16.2,0.301999998,764.7,17.15,18.55,83.5,32.5,218.6,0.206703683
GCA_036927375.1,ASM3692737v1,ASM3692737v1,Ireland,53.87,-9.39,Bur-0,-3.970941565,0.283635142,99.4,14,131.802682,31,30,15,33,16,15,22,10,20,11,16,10,1,11,5,10,13,12,9,74,1,13,15,2,15,10,2,24,2,8,8,9,11,8,4,11,8,8,2,7,2,5,11,4,3,3,7,15,1,10,7,4,9,0,3,2,1,17,6,3,14,9,8,9,10,5,2,9,13,1,4,11,4,1,7,1,8,3,0,4,1,8,4,2,18,3,2,1,11,17,2,2,8,8,4,5,2,7,0,1,3,10,3,3,2,9,7,1,5,7,8,11,5,0,2,1,1,1,5,4,21,5,4,8,1,4,2,1,5,3,0,4,6,0,2,0,2,6,3,7,7,1,0,2,3,3,4,2,9,2,5,3,2,2,1,0,2,25,18.6,5.4,68,0.36099999,345.1,5.95,13.95,179.5,26.3,285.6,0.220773656
GCA_036927385.1,ASM3692738v1,ASM3692738v1,Germany,49.95,11.57,Bay-0,-5.074285853,2.404594223,99.4,14,130.22903,30,28,16,34,16,15,22,10,21,11,15,6,1,11,6,10,15,13,11,103,1,15,16,3,16,18,2,23,2,14,7,9,13,8,4,11,8,7,2,7,4,5,14,4,3,3,7,15,1,11,7,4,9,0,4,2,1,12,6,3,14,9,9,9,10,5,2,10,13,1,6,11,4,1,8,1,8,3,1,4,1,7,3,2,16,3,2,1,11,16,2,2,9,8,4,5,1,7,1,1,3,13,3,2,2,10,8,1,4,7,11,9,5,1,2,1,1,1,5,4,21,5,4,7,0,4,3,1,5,3,1,4,6,1,2,0,2,7,3,6,7,1,0,1,3,3,5,2,8,2,4,2,2,2,2,1,2,20.8,17.5,6.6,21,0.281999993,694.7,0.85,17.55,87.3,13.5,230,0.208390165
GCA_036927435.1,ASM3692743v1,ASM3692743v1,Portugal,32.74,-16.93,Are-10,15.63177468,-1.069643775,99.3,14,135.806046,31,29,17,30,16,16,20,10,22,11,16,9,0,11,5,10,13,13,13,74,1,12,13,2,14,14,2,20,2,12,6,9,12,8,3,11,7,8,2,7,3,5,6,2,2,3,8,15,1,10,7,4,9,0,2,2,0,13,6,2,13,9,6,9,10,4,2,10,15,1,4,10,4,1,8,0,8,3,1,4,1,8,4,2,16,2,2,1,8,16,2,2,7,5,3,5,2,7,0,2,3,9,3,2,2,9,8,1,5,7,7,10,5,1,2,1,1,1,5,4,21,5,4,5,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,3,3,4,1,2,2,2,1,2,19.8,19.1,5.4,45.8,0.225,413.3,8.65,17.85,429.1,60.7,190.9,0.239482652
GCA_036927455.1,ASM3692745v1,ASM3692745v1,Portugal,32.74,-16.93,Are-6,16.44777467,-1.178117919,99.3,14,134.784271,31,29,17,29,16,17,19,10,22,11,16,9,0,11,5,10,12,13,14,82,1,11,15,2,14,14,2,21,2,12,6,9,12,8,4,11,7,8,2,7,4,5,6,3,2,3,8,13,1,10,7,4,9,0,2,2,0,14,5,2,13,9,5,9,10,4,2,9,15,1,5,10,4,1,8,1,8,3,1,4,1,8,4,2,13,2,2,1,8,16,2,2,8,6,3,5,2,7,0,2,3,11,3,2,2,9,8,1,5,7,7,10,5,1,2,1,1,1,5,4,21,5,4,5,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,3,3,4,1,2,2,2,1,2,19.8,19.1,5.4,45.8,0.225,413.3,8.65,17.85,429.1,60.7,190.9,0.233720981
GCA_036927475.1,ASM3692747v1,ASM3692747v1,Portugal,32.74,-16.93,Are-2,15.73205475,-1.196104888,99.3,14,137.599959,31,29,17,30,16,16,20,10,22,11,16,9,0,11,5,10,12,13,15,70,1,11,14,2,14,14,2,21,2,12,6,9,12,8,4,11,7,6,2,7,4,5,6,2,2,3,8,15,1,10,7,4,9,0,2,2,0,14,5,2,13,9,3,9,10,4,2,9,15,1,5,10,4,1,8,1,8,3,1,4,1,8,4,2,16,2,2,1,8,16,2,2,8,6,3,5,2,7,0,2,3,11,3,2,2,9,8,1,5,7,7,9,5,1,2,1,1,1,5,4,20,5,4,5,0,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,3,3,4,1,2,2,2,0,2,19.8,19.1,5.4,45.8,0.225,413.3,8.65,17.85,429.1,60.7,190.9,0.249662255
GCA_036927485.1,ASM3692748v1,ASM3692748v1,Iran,37.5,49.37,Anz-0,-2.694465218,-1.501522979,99.4,12,137.297184,31,29,18,32,16,15,22,10,20,12,15,9,1,11,5,10,15,14,10,62,1,12,16,5,15,48,2,22,2,8,10,9,12,8,4,11,8,7,2,7,2,4,9,5,3,3,7,15,2,10,7,4,9,1,3,2,1,16,6,4,14,8,6,9,8,5,2,9,12,1,5,11,4,1,8,1,8,3,1,4,0,8,4,2,17,3,2,1,9,17,2,2,9,7,4,5,2,7,1,2,3,19,3,3,2,9,7,1,4,7,7,12,5,1,2,1,1,1,5,4,20,4,4,8,1,4,3,1,5,2,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,3,3,5,1,2,2,2,1,2,23,20.5,7.1,18.4,0.144000006,651.1,19.15,25.05,211.6,52.7,157.4,0.229944607
GCA_036927505.1,ASM3692750v1,ASM3692750v1,Armenia,40.14,44.82,Geg-14,0.761503405,8.102330966,99.4,11,131.282113,31,32,18,33,16,11,24,10,21,12,15,9,1,11,5,10,11,14,10,99,1,14,18,3,15,20,1,23,2,14,10,9,13,8,4,11,8,8,2,7,2,5,12,4,3,3,7,15,1,10,7,4,9,1,3,2,1,13,7,2,12,9,8,9,10,5,2,9,15,1,5,11,4,1,8,1,8,3,1,4,1,8,4,2,16,2,2,1,11,16,2,1,9,8,4,5,2,7,0,2,3,14,3,3,2,9,8,1,5,7,5,12,5,0,2,0,1,1,5,4,21,5,4,8,1,4,2,1,4,3,0,4,6,1,2,0,2,5,2,7,7,1,0,2,3,3,4,2,2,3,5,2,2,2,2,0,2,28.8,26.4,6.8,21.8,0.281999993,918.2,5.35,17.95,102.4,37.4,142.9,0.209337985
GCA_036936705.1,ASM3693670v1,ASM3693670v1,Germany,50.28,8.36,Db-1,-5.026352643,-0.707632629,99.4,19,137.524412,31,32,18,33,16,17,23,8,22,11,15,9,1,11,5,10,15,13,10,62,1,16,19,5,15,54,1,23,2,7,10,8,13,8,4,11,8,8,2,7,4,5,10,5,3,2,7,15,1,11,7,4,9,0,3,2,0,15,7,4,16,9,9,9,10,5,2,10,14,1,6,10,3,1,8,1,8,3,1,4,1,8,4,2,8,2,2,1,10,14,2,2,9,8,4,5,1,7,1,2,2,14,3,3,2,10,8,1,4,7,7,12,5,1,2,1,1,0,4,4,20,5,4,5,0,4,3,1,5,3,1,4,6,1,2,0,2,7,3,8,7,1,1,2,3,3,4,2,6,4,5,2,2,2,2,1,2,29.6,20,6,22.9,0.31500001,598.6,14.45,15.95,80,9.9,224.2,0.234301536
GCA_036936715.1,ASM3693671v1,ASM3693671v1,Estonia,59.45,24.76,Est-0,-2.072829453,-1.156626244,99.4,13,135.155182,31,28,16,35,16,26,23,10,22,12,15,9,1,11,5,10,12,14,9,57,1,14,17,3,16,14,2,23,2,13,9,8,15,8,4,11,8,7,2,7,1,5,15,4,3,3,7,15,2,10,7,4,9,1,4,2,1,14,8,3,15,9,7,9,10,5,2,10,13,1,5,11,4,1,8,1,8,3,1,4,1,8,3,2,11,3,2,1,10,14,1,2,9,6,4,5,2,7,1,2,3,18,3,3,2,10,7,1,4,6,7,11,14,0,2,1,1,1,5,4,22,5,4,8,0,4,2,0,5,3,0,4,6,1,2,0,2,6,3,7,7,1,1,3,3,3,4,2,9,2,4,2,2,2,2,1,2,20.8,17.5,6.6,21,0.188,767.8,11.75,16.25,81.7,31.8,215.7,0.228662931
GCA_036936845.1,ASM3693684v1,ASM3693684v1,India,34.2,76.83,Kas-1,-1.306230599,9.091412053,99.4,9,136.722755,31,29,17,33,16,16,21,10,21,11,16,9,1,11,5,10,11,13,9,111,1,13,19,5,16,20,1,24,2,8,7,8,13,8,4,11,6,8,2,7,3,5,14,4,3,3,7,15,1,10,7,4,9,1,3,2,1,15,7,3,12,9,5,9,10,5,2,10,15,1,5,12,4,1,8,1,8,3,1,4,1,8,4,2,5,3,2,1,11,17,2,2,9,8,4,5,2,7,0,1,3,19,3,3,2,10,7,1,5,6,7,12,5,0,2,1,1,1,5,4,20,5,4,7,1,4,2,1,4,3,0,4,6,1,2,0,2,7,3,7,7,1,1,2,3,2,4,2,8,3,5,2,2,2,2,1,2,16.2,15.8,7.9,8.2,0.29000001,962.1,-11.55,8.55,63.9,30.5,133.4,0.228835573
GCA_036936885.1,ASM3693688v1,ASM3693688v1,Poland,52.24,21.01,Mh-0,-4.533806844,-2.414710726,99.4,21,135.76787,31,30,18,31,16,16,23,10,22,11,15,10,1,11,6,10,13,13,12,66,1,14,24,4,16,48,2,22,2,13,7,9,15,8,4,11,8,8,2,7,2,5,13,5,2,3,7,15,1,11,7,4,9,1,3,2,1,16,7,3,15,9,8,9,10,5,2,9,16,1,5,10,4,1,8,1,8,3,1,4,1,8,3,2,11,3,2,1,10,12,2,2,9,7,4,5,2,7,0,1,3,19,3,3,2,9,8,1,5,6,7,12,5,1,2,1,1,1,5,4,20,5,4,5,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,8,7,1,0,2,3,3,4,2,9,4,5,2,2,2,2,1,2,20.8,17.5,6.6,21,0.263000011,741.1,17.95,17.95,78.5,34.4,221.5,0.220507179
