family_id	73_3a	AL08_v2_f	al1_v2_s	AL27_v1	ALR	BAM12_v2	BOR_v1	F1-14	KN003hexa_v0	KN005_v1	KN006_v1	MN47_mabs_v3	MN47_v4	Nla	NT1_v2	NT12_v2	NT8_v2_fix	NT9_v2	PU6_v3_fin	TE11_v2	TE4_v1	TE8_v1	WS1_v2_s
OG0001928	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5
OG0001929	9	11	14	14	6	9	10	4	9	12	15	13	0	10	9	9	12	9	8	7	8	12	0
OG0002178	6	5	5	5	6	5	6	5	5	5	4	5	0	5	6	6	5	6	4	5	5	5	3
OG0002370	6	5	5	6	6	4	5	4	6	7	7	7	0	6	3	5	6	3	4	4	5	4	3
OG0002564	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0
OG0002742	2	3	3	3	3	3	2	3	3	3	3	3	0	3	3	3	2	3	2	2	3	2	3
OG0002810	4	4	4	4	4	6	3	4	6	6	6	6	0	4	3	6	6	4	4	6	6	6	5
OG0002829	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0002867	6	6	5	6	6	4	6	6	6	6	6	6	0	6	6	4	5	6	3	5	5	5	6
OG0002883	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
OG0002891	2	2	3	5	2	4	4	1	6	4	6	8	0	4	4	4	3	5	4	3	4	5	3
OG0002892	4	4	4	4	4	5	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4
OG0002893	3	5	4	3	4	6	4	4	6	5	6	6	0	4	5	6	6	5	6	6	6	6	6
OG0002919	4	5	4	4	5	6	4	5	6	6	7	6	0	3	6	6	5	5	4	5	5	6	5
OG0003409	5	4	5	7	4	5	5	4	9	9	9	12	0	8	4	5	5	5	5	5	5	5	5
OG0003680	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0003687	6	4	4	6	6	6	6	6	6	6	6	6	3	6	6	6	6	4	6	4	5	4	3
OG0003691	4	5	5	3	4	4	4	3	5	5	5	6	0	3	4	4	5	4	4	4	4	4	5
OG0003730	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
OG0003767	3	5	5	4	3	4	4	3	5	5	5	5	0	3	5	5	5	4	5	5	5	4	4
OG0003807	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5
OG0003808	4	4	4	5	3	4	4	5	6	6	6	6	0	4	5	4	3	4	4	5	5	4	6
OG0003820	1	3	4	3	2	2	3	5	6	6	6	5	0	2	1	3	3	3	2	3	2	2	2
OG0004081	5	4	5	5	4	5	5	5	5	5	5	5	0	5	5	6	6	6	5	4	5	5	4
OG0004132	5	5	5	4	5	5	5	4	4	5	5	5	0	5	5	5	5	5	5	5	5	5	5
OG0004303	4	4	4	3	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4
OG0004694	5	5	5	5	5	5	5	5	6	6	5	6	0	5	5	5	5	5	5	5	5	5	5
OG0004872	4	4	0	5	5	3	5	4	5	4	5	5	0	5	3	1	3	0	4	3	0	1	3
OG0005764	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	3
